REGION,EMISSION,YEAR,VALUE
RE1,EMICH4,2022,99999999.0
RE1,EMICO2,2022,99999999.0
RE1,EMIN2O,2022,99999999.0
RE1,EMICH4,2023,99999999.0
RE1,EMICO2,2023,99999999.0
RE1,EMIN2O,2023,99999999.0
RE1,EMICH4,2024,99999999.0
RE1,EMICO2,2024,99999999.0
RE1,EMIN2O,2024,99999999.0
RE1,EMICH4,2025,99999999.0
RE1,EMICO2,2025,99999999.0
RE1,EMIN2O,2025,99999999.0
RE1,EMICH4,2026,99999999.0
RE1,EMICO2,2026,99999999.0
RE1,EMIN2O,2026,99999999.0
RE1,EMICH4,2027,99999999.0
RE1,EMICO2,2027,99999999.0
RE1,EMIN2O,2027,99999999.0
RE1,EMICH4,2028,99999999.0
RE1,EMICO2,2028,99999999.0
RE1,EMIN2O,2028,99999999.0
RE1,EMICH4,2029,99999999.0
RE1,EMICO2,2029,99999999.0
RE1,EMIN2O,2029,99999999.0
RE1,EMICH4,2030,99999999.0
RE1,EMICO2,2030,99999999.0
RE1,EMIN2O,2030,99999999.0
RE1,EMICH4,2031,99999999.0
RE1,EMICO2,2031,99999999.0
RE1,EMIN2O,2031,99999999.0
RE1,EMICH4,2032,99999999.0
RE1,EMICO2,2032,99999999.0
RE1,EMIN2O,2032,99999999.0
RE1,EMICH4,2033,99999999.0
RE1,EMICO2,2033,99999999.0
RE1,EMIN2O,2033,99999999.0
RE1,EMICH4,2034,99999999.0
RE1,EMICO2,2034,99999999.0
RE1,EMIN2O,2034,99999999.0
RE1,EMICH4,2035,99999999.0
RE1,EMICO2,2035,99999999.0
RE1,EMIN2O,2035,99999999.0
RE1,EMICH4,2036,99999999.0
RE1,EMICO2,2036,99999999.0
RE1,EMIN2O,2036,99999999.0
RE1,EMICH4,2037,99999999.0
RE1,EMICO2,2037,99999999.0
RE1,EMIN2O,2037,99999999.0
RE1,EMICH4,2038,99999999.0
RE1,EMICO2,2038,99999999.0
RE1,EMIN2O,2038,99999999.0
RE1,EMICH4,2039,99999999.0
RE1,EMICO2,2039,99999999.0
RE1,EMIN2O,2039,99999999.0
RE1,EMICH4,2040,99999999.0
RE1,EMICO2,2040,99999999.0
RE1,EMIN2O,2040,99999999.0
RE1,EMICH4,2041,99999999.0
RE1,EMICO2,2041,99999999.0
RE1,EMIN2O,2041,99999999.0
RE1,EMICH4,2042,99999999.0
RE1,EMICO2,2042,99999999.0
RE1,EMIN2O,2042,99999999.0
RE1,EMICH4,2043,99999999.0
RE1,EMICO2,2043,99999999.0
RE1,EMIN2O,2043,99999999.0
RE1,EMICH4,2044,99999999.0
RE1,EMICO2,2044,99999999.0
RE1,EMIN2O,2044,99999999.0
RE1,EMICH4,2045,99999999.0
RE1,EMICO2,2045,99999999.0
RE1,EMIN2O,2045,99999999.0
RE1,EMICH4,2046,99999999.0
RE1,EMICO2,2046,99999999.0
RE1,EMIN2O,2046,99999999.0
RE1,EMICH4,2047,99999999.0
RE1,EMICO2,2047,99999999.0
RE1,EMIN2O,2047,99999999.0
RE1,EMICH4,2048,99999999.0
RE1,EMICO2,2048,99999999.0
RE1,EMIN2O,2048,99999999.0
RE1,EMICH4,2049,99999999.0
RE1,EMICO2,2049,99999999.0
RE1,EMIN2O,2049,99999999.0
RE1,EMICH4,2050,99999999.0
RE1,EMICO2,2050,99999999.0
RE1,EMIN2O,2050,99999999.0
RE1,EMICH4,2051,99999999.0
RE1,EMICO2,2051,99999999.0
RE1,EMIN2O,2051,99999999.0
RE1,EMICH4,2052,99999999.0
RE1,EMICO2,2052,99999999.0
RE1,EMIN2O,2052,99999999.0
RE1,EMICH4,2053,99999999.0
RE1,EMICO2,2053,99999999.0
RE1,EMIN2O,2053,99999999.0
RE1,EMICH4,2054,99999999.0
RE1,EMICO2,2054,99999999.0
RE1,EMIN2O,2054,99999999.0
RE1,EMICH4,2055,99999999.0
RE1,EMICO2,2055,99999999.0
RE1,EMIN2O,2055,99999999.0
