REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
RE1,AN_DEMAGFNGS,EMICH4,1,2022,2.8e-05
RE1,AN_DEMAGFNGS,EMICO2,1,2022,0.05553911
RE1,AN_DEMAGFNGS,EMIN2O,1,2022,2.65e-05
RE1,AN_DEMAGFWOO,EMICH4,1,2022,0.00084
RE1,AN_DEMAGFWOO,EMIN2O,1,2022,0.00106
RE1,AN_DEMCONSDSL,EMICH4,1,2022,2.8e-05
RE1,AN_DEMCONSDSL,EMICO2,1,2022,0.0671851
RE1,AN_DEMCONSDSL,EMIN2O,1,2022,2.65e-05
RE1,AN_DEMCONSNGS,EMICH4,1,2022,2.8e-05
RE1,AN_DEMCONSNGS,EMICO2,1,2022,0.0671851
RE1,AN_DEMCONSNGS,EMIN2O,1,2022,2.65e-05
RE1,AN_DEMINDBGSBOI_HIG,EMICH4,1,2022,2.8e-05
RE1,AN_DEMINDBGSBOI_HIG,EMIN2O,1,2022,2.65e-05
RE1,AN_DEMINDBGSBOI_LOW,EMICH4,1,2022,2.8e-05
RE1,AN_DEMINDBGSBOI_LOW,EMIN2O,1,2022,2.65e-05
RE1,AN_DEMINDBGSBOI_MID,EMICH4,1,2022,2.8e-05
RE1,AN_DEMINDBGSBOI_MID,EMIN2O,1,2022,2.65e-05
RE1,AN_DEMINDBGSFUR_HIG,EMICH4,1,2022,2.8e-05
RE1,AN_DEMINDBGSFUR_HIG,EMIN2O,1,2022,2.65e-05
RE1,AN_DEMINDBGSFUR_LOW,EMICH4,1,2022,2.8e-05
RE1,AN_DEMINDBGSFUR_LOW,EMIN2O,1,2022,2.65e-05
RE1,AN_DEMINDBGSFUR_MID,EMICH4,1,2022,2.8e-05
RE1,AN_DEMINDBGSFUR_MID,EMIN2O,1,2022,2.65e-05
RE1,AN_DEMINDCOABOI_HIG,EMICH4,1,2022,0.00028
RE1,AN_DEMINDCOABOI_HIG,EMICO2,1,2022,0.088136063
RE1,AN_DEMINDCOABOI_HIG,EMIN2O,1,2022,0.0003975
RE1,AN_DEMINDCOABOI_LOW,EMICH4,1,2022,0.00028
RE1,AN_DEMINDCOABOI_LOW,EMICO2,1,2022,0.088136063
RE1,AN_DEMINDCOABOI_LOW,EMIN2O,1,2022,0.0003975
