REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
RE1,AN_BACKSTOP_AGFELC,AN_AGFELC,1,2022,1.0
RE1,AN_BACKSTOP_AGFHEA,AN_AGFHEA,1,2022,1.0
RE1,AN_BACKSTOP_INDCLIM,AN_INDCLIM,1,2022,1.0
RE1,AN_BACKSTOP_INDDHT,AN_INDDHT,1,2022,1.0
RE1,AN_BACKSTOP_INDIHT,AN_INDIHT,1,2022,1.0
RE1,AN_BACKSTOP_INDILU,AN_INDILU,1,2022,1.0
RE1,AN_BACKSTOP_INDMPW,AN_INDMPW,1,2022,1.0
RE1,AN_BACKSTOP_INDOTH_COA,AN_INDOTH_COA,1,2022,1.0
RE1,AN_BACKSTOP_INDOTH_ELC,AN_INDOTH_ELC,1,2022,1.0
RE1,AN_BACKSTOP_INDREF,AN_INDREF,1,2022,1.0
RE1,AN_BACKSTOP_NSEELC,AN_NSEELC,1,2022,1.0
RE1,AN_BACKSTOP_RESCLIM_RUR,AN_RESCLIM_RUR,1,2022,1.0
RE1,AN_BACKSTOP_RESCLIM_URB,AN_RESCLIM_URB,1,2022,1.0
RE1,AN_BACKSTOP_RESDHT_RUR,AN_RESDHT_RUR,1,2022,1.0
RE1,AN_BACKSTOP_RESDHT_URB,AN_RESDHT_URB,1,2022,1.0
RE1,AN_BACKSTOP_RESILU_RUR,AN_RESILU_RUR,1,2022,1.0
RE1,AN_BACKSTOP_RESILU_URB,AN_RESILU_URB,1,2022,1.0
RE1,AN_BACKSTOP_RESOTH_RUR,AN_RESOTH_RUR,1,2022,1.0
RE1,AN_BACKSTOP_RESOTH_URB,AN_RESOTH_URB,1,2022,1.0
RE1,AN_BACKSTOP_RESREF_RUR,AN_RESREF_RUR,1,2022,1.0
RE1,AN_BACKSTOP_RESREF_URB,AN_RESREF_URB,1,2022,1.0
RE1,AN_BACKSTOP_RESTV_RUR,AN_RESTV_RUR,1,2022,1.0
RE1,AN_BACKSTOP_RESTV_URB,AN_RESTV_URB,1,2022,1.0
RE1,AN_BACKSTOP_RESWHT_RUR,AN_RESWHT_RUR,1,2022,1.0
RE1,AN_BACKSTOP_RESWHT_URB,AN_RESWHT_URB,1,2022,1.0
RE1,AN_BACKSTOP_RESWSH_RUR,AN_RESWSH_RUR,1,2022,1.0
RE1,AN_BACKSTOP_RESWSH_URB,AN_RESWSH_URB,1,2022,1.0
RE1,AN_BACKSTOP_TERCLIM_CEN,AN_TERCLIM_CEN,1,2022,1.0
RE1,AN_BACKSTOP_TERCLIM_FAN,AN_TERCLIM_FAN,1,2022,1.0
RE1,AN_BACKSTOP_TERCLIM_SPL,AN_TERCLIM_SPL,1,2022,1.0
RE1,AN_BACKSTOP_TERDHT,AN_TERDHT,1,2022,1.0
RE1,AN_BACKSTOP_TERIHT,AN_TERIHT,1,2022,1.0
RE1,AN_BACKSTOP_TERILU,AN_TERILU,1,2022,1.0
RE1,AN_BACKSTOP_TERMPW,AN_TERMPW,1,2022,1.0
RE1,AN_BACKSTOP_TEROTH,AN_TEROTH,1,2022,1.0
RE1,AN_BACKSTOP_TERREF_AUC,AN_TERREF_AUC,1,2022,1.0
RE1,AN_BACKSTOP_TERREF_CEN,AN_TERREF_CEN,1,2022,1.0
RE1,AN_BACKSTOP_TRAAVI,AN_TRAAVI,1,2022,1.0
RE1,AN_BACKSTOP_TRABUS,AN_TRABUS,1,2022,1.0
RE1,AN_BACKSTOP_TRAFWD,AN_TRAFWD,1,2022,1.0
RE1,AN_BACKSTOP_TRALDV,AN_TRALDV,1,2022,1.0
