REGION,TECHNOLOGY,YEAR,VALUE
RE1,AN_PWRDSL,2022,4.372
RE1,AN_PWRHYDDAM,2022,104.215
RE1,AN_PWRHYDROR,2022,5.01
RE1,CA_PWRCOA,2022,7.879
RE1,CA_PWRFOL,2022,1.355
RE1,CA_PWRHYDDAM,2022,6.43
RE1,CA_PWRLPG,2022,0.0
RE1,CA_PWRNGS_CC,2022,13.067
RE1,CA_PWRNGS_CS,2022,1.669
RE1,CA_PWRSOLRTP,2022,0.0
RE1,CA_PWRSOLUGE,2022,0.341
RE1,NE_PWRCOA,2022,3.809
RE1,NE_PWRHYDDAM,2022,35.691
RE1,NE_PWRNGS_CC,2022,0.0
RE1,NE_PWRNGS_CS,2022,6.271
RE1,NE_PWRSOLUGE,2022,0.0
RE1,OR_PWRAFR,2022,0.167
RE1,OR_PWRBGS,2022,0.003
RE1,OR_PWRCOA,2022,0.728
RE1,OR_PWRHYDDAM,2022,30.069
RE1,OR_PWRHYDROR,2022,3.043
RE1,OR_PWRSOLUGE,2022,0.625
RE1,SO_PWRAFR,2022,2.558
RE1,SO_PWRCOA,2022,0.046
RE1,SO_PWRDSL,2022,0.058
RE1,SO_PWRHYDDAM,2022,41.113
RE1,SO_PWRHYDROR,2022,5.225
RE1,SO_PWRJET,2022,0.015
RE1,SO_PWRNGS_CS,2022,0.034
RE1,SO_PWRSOLRTP,2022,0.0
RE1,SO_PWRSOLUGE,2022,0.12
RE1,AN_PWRDSL,2023,0.773
RE1,AN_PWRHYDDAM,2023,94.877
RE1,AN_PWRHYDROR,2023,4.256
RE1,CA_PWRCOA,2023,10.804
RE1,CA_PWRFOL,2023,2.189
RE1,CA_PWRHYDDAM,2023,4.544
RE1,CA_PWRLPG,2023,0.0
RE1,CA_PWRNGS_CC,2023,19.013
RE1,CA_PWRNGS_CS,2023,3.754
RE1,CA_PWRSOLRTP,2023,0.0
RE1,CA_PWRSOLUGE,2023,0.837
RE1,NE_PWRCOA,2023,13.724
RE1,NE_PWRHYDDAM,2023,34.596
RE1,NE_PWRNGS_CC,2023,0.006
RE1,NE_PWRNGS_CS,2023,7.729
RE1,NE_PWRSOLUGE,2023,0.052
RE1,OR_PWRAFR,2023,0.187
RE1,OR_PWRBGS,2023,0.009
RE1,OR_PWRCOA,2023,2.32
RE1,OR_PWRHYDDAM,2023,36.663
RE1,OR_PWRHYDROR,2023,2.305
RE1,OR_PWRSOLUGE,2023,0.869
RE1,SO_PWRAFR,2023,2.623
RE1,SO_PWRCOA,2023,0.239
RE1,SO_PWRDSL,2023,2.906
RE1,SO_PWRHYDDAM,2023,32.55
RE1,SO_PWRHYDROR,2023,4.898
RE1,SO_PWRJET,2023,0.096
RE1,SO_PWRNGS_CS,2023,0.059
RE1,SO_PWRSOLRTP,2023,0.0
RE1,SO_PWRSOLUGE,2023,0.844
RE1,AN_PWRDSL,2024,1.509
RE1,AN_PWRHYDDAM,2024,95.553
RE1,AN_PWRHYDROR,2024,4.052
RE1,CA_PWRCOA,2024,14.65
RE1,CA_PWRFOL,2024,1.995
RE1,CA_PWRHYDDAM,2024,4.726
RE1,CA_PWRLPG,2024,0.3
RE1,CA_PWRNGS_CC,2024,34.956
RE1,CA_PWRNGS_CS,2024,3.975
RE1,CA_PWRSOLRTP,2024,0.045
RE1,CA_PWRSOLUGE,2024,3.675
RE1,NE_PWRCOA,2024,15.503
RE1,NE_PWRHYDDAM,2024,27.04
RE1,NE_PWRNGS_CC,2024,0.0
RE1,NE_PWRNGS_CS,2024,5.942
RE1,NE_PWRSOLUGE,2024,0.122
RE1,OR_PWRAFR,2024,0.251
RE1,OR_PWRBGS,2024,0.013
RE1,OR_PWRCOA,2024,3.464
RE1,OR_PWRHYDDAM,2024,30.457
RE1,OR_PWRHYDROR,2024,1.236
RE1,OR_PWRSOLUGE,2024,1.192
RE1,SO_PWRAFR,2024,2.735
RE1,SO_PWRCOA,2024,0.229
RE1,SO_PWRDSL,2024,4.44
RE1,SO_PWRHYDDAM,2024,27.881
RE1,SO_PWRHYDROR,2024,4.413
RE1,SO_PWRJET,2024,0.075
RE1,SO_PWRNGS_CS,2024,0.045
RE1,SO_PWRSOLRTP,2024,0.041
RE1,SO_PWRSOLUGE,2024,2.296
RE1,AN_PWRDSL,2025,1.409
RE1,AN_PWRHYDDAM,2025,95.553
RE1,AN_PWRHYDROR,2025,4.052
RE1,CA_PWRCOA,2025,13.674
RE1,CA_PWRFOL,2025,1.862
RE1,CA_PWRHYDDAM,2025,4.726
RE1,CA_PWRLPG,2025,0.28
RE1,CA_PWRNGS_CC,2025,32.626
RE1,CA_PWRNGS_CS,2025,3.71
RE1,CA_PWRSOLRTP,2025,0.045
RE1,CA_PWRSOLUGE,2025,3.43
RE1,NE_PWRCOA,2025,14.47
RE1,NE_PWRHYDDAM,2025,27.04
