REGION,FUEL,TIMESLICE,YEAR,VALUE
RE1,AGFELC,S101,2022,0.0
RE1,AGFELC,S101,2023,0.0
RE1,AGFELC,S101,2024,0.0
RE1,AGFELC,S101,2025,0.0
RE1,AGFELC,S101,2026,0.0
RE1,AGFELC,S101,2027,0.0
RE1,AGFELC,S101,2028,0.0
RE1,AGFELC,S101,2029,0.0
RE1,AGFELC,S101,2030,0.0
RE1,AGFELC,S101,2031,0.0
RE1,AGFELC,S101,2032,0.0
RE1,AGFELC,S101,2033,0.0
RE1,AGFELC,S101,2034,0.0
RE1,AGFELC,S101,2035,0.0
RE1,AGFELC,S101,2036,0.0
RE1,AGFELC,S101,2037,0.0
RE1,AGFELC,S101,2038,0.0
RE1,AGFELC,S101,2039,0.0
RE1,AGFELC,S101,2040,0.0
RE1,AGFELC,S101,2041,0.0
RE1,AGFELC,S101,2042,0.0
RE1,AGFELC,S101,2043,0.0
RE1,AGFELC,S101,2044,0.0
RE1,AGFELC,S101,2045,0.0
RE1,AGFELC,S101,2046,0.0
RE1,AGFELC,S101,2047,0.0
RE1,AGFELC,S101,2048,0.0
RE1,AGFELC,S101,2049,0.0
RE1,AGFELC,S101,2050,0.0
RE1,AGFELC,S101,2051,0.0
RE1,AGFELC,S101,2052,0.0
RE1,AGFELC,S101,2053,0.0
RE1,AGFELC,S101,2054,0.0
RE1,AGFELC,S102,2022,0.0
RE1,AGFELC,S102,2023,0.0
RE1,AGFELC,S102,2024,0.0
RE1,AGFELC,S102,2025,0.0
RE1,AGFELC,S102,2026,0.0
RE1,AGFELC,S102,2027,0.0
RE1,AGFELC,S102,2028,0.0
RE1,AGFELC,S102,2029,0.0
RE1,AGFELC,S102,2030,0.0
RE1,AGFELC,S102,2031,0.0
RE1,AGFELC,S102,2032,0.0
RE1,AGFELC,S102,2033,0.0
RE1,AGFELC,S102,2034,0.0
RE1,AGFELC,S102,2035,0.0
RE1,AGFELC,S102,2036,0.0
RE1,AGFELC,S102,2037,0.0
RE1,AGFELC,S102,2038,0.0
RE1,AGFELC,S102,2039,0.0
RE1,AGFELC,S102,2040,0.0
