REGION,TECHNOLOGY,YEAR,VALUE
RE1,AN_BACKSTOP_AGFELC,2022,99999.0
RE1,AN_BACKSTOP_AGFELC,2023,99999.0
RE1,AN_BACKSTOP_AGFELC,2024,99999.0
RE1,AN_BACKSTOP_AGFELC,2025,99999.0
RE1,AN_BACKSTOP_AGFELC,2026,99999.0
RE1,AN_BACKSTOP_AGFELC,2027,99999.0
RE1,AN_BACKSTOP_AGFELC,2028,99999.0
RE1,AN_BACKSTOP_AGFELC,2029,99999.0
RE1,AN_BACKSTOP_AGFELC,2030,99999.0
RE1,AN_BACKSTOP_AGFELC,2031,99999.0
RE1,AN_BACKSTOP_AGFELC,2032,99999.0
RE1,AN_BACKSTOP_AGFELC,2033,99999.0
RE1,AN_BACKSTOP_AGFELC,2034,99999.0
RE1,AN_BACKSTOP_AGFELC,2035,99999.0
RE1,AN_BACKSTOP_AGFELC,2036,99999.0
RE1,AN_BACKSTOP_AGFELC,2037,99999.0
RE1,AN_BACKSTOP_AGFELC,2038,99999.0
RE1,AN_BACKSTOP_AGFELC,2039,99999.0
RE1,AN_BACKSTOP_AGFELC,2040,99999.0
RE1,AN_BACKSTOP_AGFELC,2041,99999.0
RE1,AN_BACKSTOP_AGFELC,2042,99999.0
RE1,AN_BACKSTOP_AGFELC,2043,99999.0
RE1,AN_BACKSTOP_AGFELC,2044,99999.0
RE1,AN_BACKSTOP_AGFELC,2045,99999.0
RE1,AN_BACKSTOP_AGFELC,2046,99999.0
RE1,AN_BACKSTOP_AGFELC,2047,99999.0
RE1,AN_BACKSTOP_AGFELC,2048,99999.0
RE1,AN_BACKSTOP_AGFELC,2049,99999.0
RE1,AN_BACKSTOP_AGFELC,2050,99999.0
RE1,AN_BACKSTOP_AGFELC,2051,99999.0
RE1,AN_BACKSTOP_AGFELC,2052,99999.0
RE1,AN_BACKSTOP_AGFELC,2053,99999.0
RE1,AN_BACKSTOP_AGFELC,2054,99999.0
RE1,AN_BACKSTOP_AGFELC,2055,99999.0
RE1,AN_BACKSTOP_AGFHEA,2022,99999.0
RE1,AN_BACKSTOP_AGFHEA,2023,99999.0
RE1,AN_BACKSTOP_AGFHEA,2024,99999.0
RE1,AN_BACKSTOP_AGFHEA,2025,99999.0
RE1,AN_BACKSTOP_AGFHEA,2026,99999.0
RE1,AN_BACKSTOP_AGFHEA,2027,99999.0
RE1,AN_BACKSTOP_AGFHEA,2028,99999.0
RE1,AN_BACKSTOP_AGFHEA,2029,99999.0
RE1,AN_BACKSTOP_AGFHEA,2030,99999.0
RE1,AN_BACKSTOP_AGFHEA,2031,99999.0
RE1,AN_BACKSTOP_AGFHEA,2032,99999.0
RE1,AN_BACKSTOP_AGFHEA,2033,99999.0
RE1,AN_BACKSTOP_AGFHEA,2034,99999.0
RE1,AN_BACKSTOP_AGFHEA,2035,99999.0
RE1,AN_BACKSTOP_AGFHEA,2036,99999.0
RE1,AN_BACKSTOP_AGFHEA,2037,99999.0
RE1,AN_BACKSTOP_AGFHEA,2038,99999.0
RE1,AN_BACKSTOP_AGFHEA,2039,99999.0
RE1,AN_BACKSTOP_AGFHEA,2040,99999.0
RE1,AN_BACKSTOP_AGFHEA,2041,99999.0
RE1,AN_BACKSTOP_AGFHEA,2042,99999.0
RE1,AN_BACKSTOP_AGFHEA,2043,99999.0
RE1,AN_BACKSTOP_AGFHEA,2044,99999.0
RE1,AN_BACKSTOP_AGFHEA,2045,99999.0
RE1,AN_BACKSTOP_AGFHEA,2046,99999.0
RE1,AN_BACKSTOP_AGFHEA,2047,99999.0
RE1,AN_BACKSTOP_AGFHEA,2048,99999.0
RE1,AN_BACKSTOP_AGFHEA,2049,99999.0
RE1,AN_BACKSTOP_AGFHEA,2050,99999.0
RE1,AN_BACKSTOP_AGFHEA,2051,99999.0
RE1,AN_BACKSTOP_AGFHEA,2052,99999.0
RE1,AN_BACKSTOP_AGFHEA,2053,99999.0
RE1,AN_BACKSTOP_AGFHEA,2054,99999.0
RE1,AN_BACKSTOP_AGFHEA,2055,99999.0
RE1,AN_BACKSTOP_INDCLIM,2022,99999.0
RE1,AN_BACKSTOP_INDCLIM,2023,99999.0
RE1,AN_BACKSTOP_INDCLIM,2024,99999.0
RE1,AN_BACKSTOP_INDCLIM,2025,99999.0
RE1,AN_BACKSTOP_INDCLIM,2026,99999.0
RE1,AN_BACKSTOP_INDCLIM,2027,99999.0
RE1,AN_BACKSTOP_INDCLIM,2028,99999.0
RE1,AN_BACKSTOP_INDCLIM,2029,99999.0
RE1,AN_BACKSTOP_INDCLIM,2030,99999.0
RE1,AN_BACKSTOP_INDCLIM,2031,99999.0
RE1,AN_BACKSTOP_INDCLIM,2032,99999.0
RE1,AN_BACKSTOP_INDCLIM,2033,99999.0
RE1,AN_BACKSTOP_INDCLIM,2034,99999.0
RE1,AN_BACKSTOP_INDCLIM,2035,99999.0
RE1,AN_BACKSTOP_INDCLIM,2036,99999.0
RE1,AN_BACKSTOP_INDCLIM,2037,99999.0
RE1,AN_BACKSTOP_INDCLIM,2038,99999.0
RE1,AN_BACKSTOP_INDCLIM,2039,99999.0
RE1,AN_BACKSTOP_INDCLIM,2040,99999.0
RE1,AN_BACKSTOP_INDCLIM,2041,99999.0
RE1,AN_BACKSTOP_INDCLIM,2042,99999.0
RE1,AN_BACKSTOP_INDCLIM,2043,99999.0
