REGION,TECHNOLOGY,YEAR,VALUE
RE1,AN_DEMINDAUTBOI,2022,99999.0
RE1,AN_DEMINDAUTBOI,2023,99999.0
RE1,AN_DEMINDAUTBOI,2024,99999.0
RE1,AN_DEMINDAUTBOI,2025,99999.0
RE1,AN_DEMINDAUTBOI,2026,99999.0
RE1,AN_DEMINDAUTBOI,2027,99999.0
RE1,AN_DEMINDAUTBOI,2028,99999.0
RE1,AN_DEMINDAUTBOI,2029,99999.0
RE1,AN_DEMINDAUTBOI,2030,99999.0
RE1,AN_DEMINDAUTBOI,2031,99999.0
RE1,AN_DEMINDAUTBOI,2032,99999.0
RE1,AN_DEMINDAUTBOI,2033,99999.0
RE1,AN_DEMINDAUTBOI,2034,99999.0
RE1,AN_DEMINDAUTBOI,2035,99999.0
RE1,AN_DEMINDAUTBOI,2036,99999.0
RE1,AN_DEMINDAUTBOI,2037,99999.0
RE1,AN_DEMINDAUTBOI,2038,99999.0
RE1,AN_DEMINDAUTBOI,2039,99999.0
RE1,AN_DEMINDAUTBOI,2040,99999.0
RE1,AN_DEMINDAUTBOI,2041,99999.0
RE1,AN_DEMINDAUTBOI,2042,99999.0
RE1,AN_DEMINDAUTBOI,2043,99999.0
RE1,AN_DEMINDAUTBOI,2044,99999.0
RE1,AN_DEMINDAUTBOI,2045,99999.0
RE1,AN_DEMINDAUTBOI,2046,99999.0
RE1,AN_DEMINDAUTBOI,2047,99999.0
RE1,AN_DEMINDAUTBOI,2048,99999.0
RE1,AN_DEMINDAUTBOI,2049,99999.0
RE1,AN_DEMINDAUTBOI,2050,99999.0
RE1,AN_DEMINDAUTBOI,2051,99999.0
RE1,AN_DEMINDAUTBOI,2052,99999.0
RE1,AN_DEMINDAUTBOI,2053,99999.0
RE1,AN_DEMINDAUTBOI,2054,99999.0
RE1,AN_DEMINDAUTBOI,2055,99999.0
RE1,AN_DEMINDAUTFUR,2022,99999.0
RE1,AN_DEMINDAUTFUR,2023,99999.0
RE1,AN_DEMINDAUTFUR,2024,99999.0
RE1,AN_DEMINDAUTFUR,2025,99999.0
RE1,AN_DEMINDAUTFUR,2026,99999.0
RE1,AN_DEMINDAUTFUR,2027,99999.0
RE1,AN_DEMINDAUTFUR,2028,99999.0
RE1,AN_DEMINDAUTFUR,2029,99999.0
RE1,AN_DEMINDAUTFUR,2030,99999.0
RE1,AN_DEMINDAUTFUR,2031,99999.0
RE1,AN_DEMINDAUTFUR,2032,99999.0
RE1,AN_DEMINDAUTFUR,2033,99999.0
RE1,AN_DEMINDAUTFUR,2034,99999.0
RE1,AN_DEMINDAUTFUR,2035,99999.0
RE1,AN_DEMINDAUTFUR,2036,99999.0
RE1,AN_DEMINDAUTFUR,2037,99999.0
RE1,AN_DEMINDAUTFUR,2038,99999.0
RE1,AN_DEMINDAUTFUR,2039,99999.0
RE1,AN_DEMINDAUTFUR,2040,99999.0
RE1,AN_DEMINDAUTFUR,2041,99999.0
RE1,AN_DEMINDAUTFUR,2042,99999.0
RE1,AN_DEMINDAUTFUR,2043,99999.0
RE1,AN_DEMINDAUTFUR,2044,99999.0
RE1,AN_DEMINDAUTFUR,2045,99999.0
RE1,AN_DEMINDAUTFUR,2046,99999.0
RE1,AN_DEMINDAUTFUR,2047,99999.0
RE1,AN_DEMINDAUTFUR,2048,99999.0
RE1,AN_DEMINDAUTFUR,2049,99999.0
RE1,AN_DEMINDAUTFUR,2050,99999.0
RE1,AN_DEMINDAUTFUR,2051,99999.0
RE1,AN_DEMINDAUTFUR,2052,99999.0
RE1,AN_DEMINDAUTFUR,2053,99999.0
RE1,AN_DEMINDAUTFUR,2054,99999.0
RE1,AN_DEMINDAUTFUR,2055,99999.0
RE1,AN_MINAFR,2022,22.5
RE1,AN_MINAFR,2023,22.5
RE1,AN_MINAFR,2024,22.5
RE1,AN_MINAFR,2025,22.5
RE1,AN_MINAFR,2026,22.5
RE1,AN_MINAFR,2027,22.5
RE1,AN_MINAFR,2028,22.5
RE1,AN_MINAFR,2029,22.5
RE1,AN_MINAFR,2030,22.5
RE1,AN_MINAFR,2031,22.5
RE1,AN_MINAFR,2032,22.5
RE1,AN_MINAFR,2033,22.5
RE1,AN_MINAFR,2034,22.5
RE1,AN_MINAFR,2035,22.5
RE1,AN_MINAFR,2036,22.5
RE1,AN_MINAFR,2037,22.5
RE1,AN_MINAFR,2038,22.5
RE1,AN_MINAFR,2039,22.5
RE1,AN_MINAFR,2040,22.5
RE1,AN_MINAFR,2041,22.5
RE1,AN_MINAFR,2042,22.5
RE1,AN_MINAFR,2043,22.5
RE1,AN_MINAFR,2044,22.5
RE1,AN_MINAFR,2045,22.5
RE1,AN_MINAFR,2046,22.5
RE1,AN_MINAFR,2047,22.5
RE1,AN_MINAFR,2048,22.5
RE1,AN_MINAFR,2049,22.5
RE1,AN_MINAFR,2050,22.5
RE1,AN_MINAFR,2051,22.5
RE1,AN_MINAFR,2052,22.5
