REGION,FUEL,YEAR,VALUE
RE1,AN_AGFELC,2022,0.4537857
RE1,AN_AGFELC,2023,0.4771851
RE1,AN_AGFELC,2024,0.4849713
RE1,AN_AGFELC,2025,0.5029186
RE1,AN_AGFELC,2026,0.516717
RE1,AN_AGFELC,2027,0.5315408
RE1,AN_AGFELC,2028,0.5469911
RE1,AN_AGFELC,2029,0.5629437
RE1,AN_AGFELC,2030,0.57929
RE1,AN_AGFELC,2031,0.5960336
RE1,AN_AGFELC,2032,0.6133195
RE1,AN_AGFELC,2033,0.6311742
RE1,AN_AGFELC,2034,0.649547
RE1,AN_AGFELC,2035,0.6694715
RE1,AN_AGFELC,2036,0.6899945
RE1,AN_AGFELC,2037,0.7119658
RE1,AN_AGFELC,2038,0.7346022
RE1,AN_AGFELC,2039,0.7579243
RE1,AN_AGFELC,2040,0.781953
RE1,AN_AGFELC,2041,0.8067097
RE1,AN_AGFELC,2042,0.8347293
RE1,AN_AGFELC,2043,0.8636144
RE1,AN_AGFELC,2044,0.893391
RE1,AN_AGFELC,2045,0.9240863
RE1,AN_AGFELC,2046,0.9557281
RE1,AN_AGFELC,2047,0.9883455
RE1,AN_AGFELC,2048,1.0236888
RE1,AN_AGFELC,2049,1.0627332
RE1,AN_AGFELC,2050,1.1030277
RE1,AN_AGFELC,2051,1.1446097
RE1,AN_AGFELC,2052,1.1875175
RE1,AN_AGFELC,2053,1.2317897
RE1,AN_AGFELC,2054,1.2778321
RE1,AN_AGFHEA,2022,5.7577374
RE1,AN_AGFHEA,2023,5.9187802
RE1,AN_AGFHEA,2024,6.350602
RE1,AN_AGFHEA,2025,6.585618
RE1,AN_AGFHEA,2026,6.7663057
RE1,AN_AGFHEA,2027,6.9604204
RE1,AN_AGFHEA,2028,7.1627383
RE1,AN_AGFHEA,2029,7.3716355
RE1,AN_AGFHEA,2030,7.5856866
RE1,AN_AGFHEA,2031,7.8049412
RE1,AN_AGFHEA,2032,8.0312963
RE1,AN_AGFHEA,2033,8.2650999
RE1,AN_AGFHEA,2034,8.5056882
RE1,AN_AGFHEA,2035,8.7665951
RE1,AN_AGFHEA,2036,9.0353402
RE1,AN_AGFHEA,2037,9.3230502
RE1,AN_AGFHEA,2038,9.6194687
RE1,AN_AGFHEA,2039,9.9248673
RE1,AN_AGFHEA,2040,10.2395174
RE1,AN_AGFHEA,2041,10.5637024
RE1,AN_AGFHEA,2042,10.930613
RE1,AN_AGFHEA,2043,11.3088571
RE1,AN_AGFHEA,2044,11.6987769
RE1,AN_AGFHEA,2045,12.1007256
RE1,AN_AGFHEA,2046,12.5150676
RE1,AN_AGFHEA,2047,12.9421865
RE1,AN_AGFHEA,2048,13.4049999
RE1,AN_AGFHEA,2049,13.9162779
RE1,AN_AGFHEA,2050,14.4439268
RE1,AN_AGFHEA,2051,14.988435
RE1,AN_AGFHEA,2052,15.5503037
RE1,AN_AGFHEA,2053,16.1300394
RE1,AN_AGFHEA,2054,16.7329557
RE1,AN_INDCLIM,2022,0.06678924208177754
RE1,AN_INDCLIM,2023,0.06157021742892562
RE1,AN_INDCLIM,2024,0.05996517306786309
RE1,AN_INDCLIM,2025,0.06155097130267019
RE1,AN_INDCLIM,2026,0.0627286832919085
RE1,AN_INDCLIM,2027,0.06357815522898691
RE1,AN_INDCLIM,2028,0.06480961991097767
RE1,AN_INDCLIM,2029,0.06621327341567948
RE1,AN_INDCLIM,2030,0.06713745889085417
RE1,AN_INDCLIM,2031,0.06804319536152299
RE1,AN_INDCLIM,2032,0.06889683079241729
RE1,AN_INDCLIM,2033,0.06966242920820052
