REGION,TECHNOLOGY,YEAR,VALUE
RE1,AN_MINCOA,2022,1.0
RE1,AN_MINCOA,2023,1.0
RE1,AN_MINCOA,2024,1.0
RE1,AN_MINCOA,2025,1.0
RE1,AN_MINCOA,2026,1.0
RE1,AN_MINCOA,2027,1.0
RE1,AN_MINCOA,2028,1.0
RE1,AN_MINCOA,2029,1.0
RE1,AN_MINCOA,2030,1.0
RE1,AN_MINCOA,2031,1.0
RE1,AN_MINCOA,2032,1.0
RE1,AN_MINCOA,2033,1.0
RE1,AN_MINCOA,2034,1.0
RE1,AN_MINCOA,2035,1.0
RE1,AN_MINCOA,2036,1.0
RE1,AN_MINCOA,2037,1.0
RE1,AN_MINCOA,2038,1.0
RE1,AN_MINCOA,2039,1.0
RE1,AN_MINCOA,2040,1.0
RE1,AN_MINCOA,2041,1.0
RE1,AN_MINCOA,2042,1.0
RE1,AN_MINCOA,2043,1.0
RE1,AN_MINCOA,2044,1.0
RE1,AN_MINCOA,2045,1.0
RE1,AN_MINCOA,2046,1.0
RE1,AN_MINCOA,2047,1.0
RE1,AN_MINCOA,2048,1.0
RE1,AN_MINCOA,2049,1.0
RE1,AN_MINCOA,2050,1.0
RE1,AN_MINCOA,2051,1.0
RE1,AN_MINCOA,2052,1.0
RE1,AN_MINCOA,2053,1.0
RE1,AN_MINCOA,2054,1.0
RE1,AN_MINNGS,2022,1.0
RE1,AN_MINNGS,2023,1.0
RE1,AN_MINNGS,2024,1.0
RE1,AN_MINNGS,2025,1.0
RE1,AN_MINNGS,2026,1.0
RE1,AN_MINNGS,2027,1.0
RE1,AN_MINNGS,2028,1.0
RE1,AN_MINNGS,2029,1.0
RE1,AN_MINNGS,2030,1.0
RE1,AN_MINNGS,2031,1.0
RE1,AN_MINNGS,2032,1.0
RE1,AN_MINNGS,2033,1.0
RE1,AN_MINNGS,2034,1.0
RE1,AN_MINNGS,2035,1.0
RE1,AN_MINNGS,2036,1.0
RE1,AN_MINNGS,2037,1.0
RE1,AN_MINNGS,2038,1.0
RE1,AN_MINNGS,2039,1.0
RE1,AN_MINNGS,2040,1.0
RE1,AN_MINNGS,2041,1.0
RE1,AN_MINNGS,2042,1.0
RE1,AN_MINNGS,2043,1.0
RE1,AN_MINNGS,2044,1.0
RE1,AN_MINNGS,2045,1.0
RE1,AN_MINNGS,2046,1.0
RE1,AN_MINNGS,2047,1.0
RE1,AN_MINNGS,2048,1.0
RE1,AN_MINNGS,2049,1.0
RE1,AN_MINNGS,2050,1.0
RE1,AN_MINNGS,2051,1.0
RE1,AN_MINNGS,2052,1.0
RE1,AN_MINNGS,2053,1.0
RE1,AN_MINNGS,2054,1.0
RE1,AN_PWRAFR,2022,1.0
RE1,AN_PWRAFR,2023,1.0
RE1,AN_PWRAFR,2024,1.0
RE1,AN_PWRAFR,2025,1.0
RE1,AN_PWRAFR,2026,1.0
RE1,AN_PWRAFR,2027,1.0
RE1,AN_PWRAFR,2028,1.0
RE1,AN_PWRAFR,2029,1.0
RE1,AN_PWRAFR,2030,1.0
RE1,AN_PWRAFR,2031,1.0
RE1,AN_PWRAFR,2032,1.0
RE1,AN_PWRAFR,2033,1.0
RE1,AN_PWRAFR,2034,1.0
RE1,AN_PWRAFR,2035,1.0
RE1,AN_PWRAFR,2036,1.0
RE1,AN_PWRAFR,2037,1.0
RE1,AN_PWRAFR,2038,1.0
RE1,AN_PWRAFR,2039,1.0
RE1,AN_PWRAFR,2040,1.0
RE1,AN_PWRAFR,2041,1.0
RE1,AN_PWRAFR,2042,1.0
RE1,AN_PWRAFR,2043,1.0
RE1,AN_PWRAFR,2044,1.0
RE1,AN_PWRAFR,2045,1.0
RE1,AN_PWRAFR,2046,1.0
RE1,AN_PWRAFR,2047,1.0
RE1,AN_PWRAFR,2048,1.0
RE1,AN_PWRAFR,2049,1.0
RE1,AN_PWRAFR,2050,1.0
RE1,AN_PWRAFR,2051,1.0
RE1,AN_PWRAFR,2052,1.0
RE1,AN_PWRAFR,2053,1.0
RE1,AN_PWRAFR,2054,1.0
RE1,AN_PWRBGS,2022,1.0
RE1,AN_PWRBGS,2023,1.0
RE1,AN_PWRBGS,2024,1.0
RE1,AN_PWRBGS,2025,1.0
RE1,AN_PWRBGS,2026,1.0
RE1,AN_PWRBGS,2027,1.0
RE1,AN_PWRBGS,2028,1.0
RE1,AN_PWRBGS,2029,1.0
RE1,AN_PWRBGS,2030,1.0
RE1,AN_PWRBGS,2031,1.0
RE1,AN_PWRBGS,2032,1.0
RE1,AN_PWRBGS,2033,1.0
RE1,AN_PWRBGS,2034,1.0
RE1,AN_PWRBGS,2035,1.0
RE1,AN_PWRBGS,2036,1.0
RE1,AN_PWRBGS,2037,1.0
RE1,AN_PWRBGS,2038,1.0
RE1,AN_PWRBGS,2039,1.0
RE1,AN_PWRBGS,2040,1.0
RE1,AN_PWRBGS,2041,1.0
RE1,AN_PWRBGS,2042,1.0
RE1,AN_PWRBGS,2043,1.0
RE1,AN_PWRBGS,2044,1.0
RE1,AN_PWRBGS,2045,1.0
RE1,AN_PWRBGS,2046,1.0
RE1,AN_PWRBGS,2047,1.0
RE1,AN_PWRBGS,2048,1.0
RE1,AN_PWRBGS,2049,1.0
RE1,AN_PWRBGS,2050,1.0
RE1,AN_PWRBGS,2051,1.0
RE1,AN_PWRBGS,2052,1.0
RE1,AN_PWRBGS,2053,1.0
RE1,AN_PWRBGS,2054,1.0
RE1,AN_PWRCOA,2022,1.0
RE1,AN_PWRCOA,2023,1.0
RE1,AN_PWRCOA,2024,1.0
RE1,AN_PWRCOA,2025,1.0
RE1,AN_PWRCOA,2026,1.0
RE1,AN_PWRCOA,2027,1.0
RE1,AN_PWRCOA,2028,1.0
RE1,AN_PWRCOA,2029,1.0
RE1,AN_PWRCOA,2030,1.0
RE1,AN_PWRCOA,2031,1.0
RE1,AN_PWRCOA,2032,1.0
RE1,AN_PWRCOA,2033,1.0
RE1,AN_PWRCOA,2034,1.0
RE1,AN_PWRCOA,2035,1.0
RE1,AN_PWRCOA,2036,1.0
RE1,AN_PWRCOA,2037,1.0
RE1,AN_PWRCOA,2038,1.0
RE1,AN_PWRCOA,2039,1.0
RE1,AN_PWRCOA,2040,1.0
RE1,AN_PWRCOA,2041,1.0
RE1,AN_PWRCOA,2042,1.0
RE1,AN_PWRCOA,2043,1.0
RE1,AN_PWRCOA,2044,1.0
RE1,AN_PWRCOA,2045,1.0
RE1,AN_PWRCOA,2046,1.0
RE1,AN_PWRCOA,2047,1.0
RE1,AN_PWRCOA,2048,1.0
RE1,AN_PWRCOA,2049,1.0
RE1,AN_PWRCOA,2050,1.0
RE1,AN_PWRCOA,2051,1.0
RE1,AN_PWRCOA,2052,1.0
RE1,AN_PWRCOA,2053,1.0
RE1,AN_PWRCOA,2054,1.0
RE1,AN_PWRCOACCS,2022,1.0
RE1,AN_PWRCOACCS,2023,1.0
RE1,AN_PWRCOACCS,2024,1.0
RE1,AN_PWRCOACCS,2025,1.0
RE1,AN_PWRCOACCS,2026,1.0
RE1,AN_PWRCOACCS,2027,1.0
RE1,AN_PWRCOACCS,2028,1.0
RE1,AN_PWRCOACCS,2029,1.0
RE1,AN_PWRCOACCS,2030,1.0
RE1,AN_PWRCOACCS,2031,1.0
RE1,AN_PWRCOACCS,2032,1.0
RE1,AN_PWRCOACCS,2033,1.0
RE1,AN_PWRCOACCS,2034,1.0
RE1,AN_PWRCOACCS,2035,1.0
RE1,AN_PWRCOACCS,2036,1.0
RE1,AN_PWRCOACCS,2037,1.0
RE1,AN_PWRCOACCS,2038,1.0
RE1,AN_PWRCOACCS,2039,1.0
RE1,AN_PWRCOACCS,2040,1.0
RE1,AN_PWRCOACCS,2041,1.0
RE1,AN_PWRCOACCS,2042,1.0
RE1,AN_PWRCOACCS,2043,1.0
RE1,AN_PWRCOACCS,2044,1.0
RE1,AN_PWRCOACCS,2045,1.0
RE1,AN_PWRCOACCS,2046,1.0
RE1,AN_PWRCOACCS,2047,1.0
RE1,AN_PWRCOACCS,2048,1.0
RE1,AN_PWRCOACCS,2049,1.0
RE1,AN_PWRCOACCS,2050,1.0
RE1,AN_PWRCOACCS,2051,1.0
RE1,AN_PWRCOACCS,2052,1.0
RE1,AN_PWRCOACCS,2053,1.0
RE1,AN_PWRCOACCS,2054,1.0
RE1,AN_PWRDSL,2022,1.0
RE1,AN_PWRDSL,2023,1.0
RE1,AN_PWRDSL,2024,1.0
RE1,AN_PWRDSL,2025,1.0
RE1,AN_PWRDSL,2026,1.0
RE1,AN_PWRDSL,2027,1.0
RE1,AN_PWRDSL,2028,1.0
RE1,AN_PWRDSL,2029,1.0
RE1,AN_PWRDSL,2030,1.0
RE1,AN_PWRDSL,2031,1.0
RE1,AN_PWRDSL,2032,1.0
RE1,AN_PWRDSL,2033,1.0
RE1,AN_PWRDSL,2034,1.0
RE1,AN_PWRDSL,2035,1.0
RE1,AN_PWRDSL,2036,1.0
RE1,AN_PWRDSL,2037,1.0
RE1,AN_PWRDSL,2038,1.0
RE1,AN_PWRDSL,2039,1.0
RE1,AN_PWRDSL,2040,1.0
RE1,AN_PWRDSL,2041,1.0
RE1,AN_PWRDSL,2042,1.0
RE1,AN_PWRDSL,2043,1.0
RE1,AN_PWRDSL,2044,1.0
RE1,AN_PWRDSL,2045,1.0
RE1,AN_PWRDSL,2046,1.0
RE1,AN_PWRDSL,2047,1.0
RE1,AN_PWRDSL,2048,1.0
RE1,AN_PWRDSL,2049,1.0
RE1,AN_PWRDSL,2050,1.0
RE1,AN_PWRDSL,2051,1.0
RE1,AN_PWRDSL,2052,1.0
RE1,AN_PWRDSL,2053,1.0
RE1,AN_PWRDSL,2054,1.0
RE1,AN_PWRNGSCCS,2022,1.0
RE1,AN_PWRNGSCCS,2023,1.0
RE1,AN_PWRNGSCCS,2024,1.0
RE1,AN_PWRNGSCCS,2025,1.0
RE1,AN_PWRNGSCCS,2026,1.0
RE1,AN_PWRNGSCCS,2027,1.0
RE1,AN_PWRNGSCCS,2028,1.0
RE1,AN_PWRNGSCCS,2029,1.0
RE1,AN_PWRNGSCCS,2030,1.0
RE1,AN_PWRNGSCCS,2031,1.0
RE1,AN_PWRNGSCCS,2032,1.0
RE1,AN_PWRNGSCCS,2033,1.0
RE1,AN_PWRNGSCCS,2034,1.0
RE1,AN_PWRNGSCCS,2035,1.0
RE1,AN_PWRNGSCCS,2036,1.0
RE1,AN_PWRNGSCCS,2037,1.0
RE1,AN_PWRNGSCCS,2038,1.0
RE1,AN_PWRNGSCCS,2039,1.0
RE1,AN_PWRNGSCCS,2040,1.0
RE1,AN_PWRNGSCCS,2041,1.0
RE1,AN_PWRNGSCCS,2042,1.0
RE1,AN_PWRNGSCCS,2043,1.0
RE1,AN_PWRNGSCCS,2044,1.0
RE1,AN_PWRNGSCCS,2045,1.0
RE1,AN_PWRNGSCCS,2046,1.0
RE1,AN_PWRNGSCCS,2047,1.0
