REGION,TECHNOLOGY,VALUE
RE1,AN_BACKSTOP_AGFELC,1.0
RE1,AN_BACKSTOP_AGFHEA,1.0
RE1,AN_BACKSTOP_INDCLIM,1.0
RE1,AN_BACKSTOP_INDDHT,1.0
RE1,AN_BACKSTOP_INDIHT,1.0
RE1,AN_BACKSTOP_INDILU,1.0
RE1,AN_BACKSTOP_INDMPW,1.0
RE1,AN_BACKSTOP_INDOTH_COA,1.0
RE1,AN_BACKSTOP_INDOTH_ELC,1.0
RE1,AN_BACKSTOP_INDREF,1.0
RE1,AN_BACKSTOP_NSEELC,1.0
RE1,AN_BACKSTOP_RESCLIM_RUR,1.0
RE1,AN_BACKSTOP_RESCLIM_URB,1.0
RE1,AN_BACKSTOP_RESDHT_RUR,1.0
RE1,AN_BACKSTOP_RESDHT_URB,1.0
RE1,AN_BACKSTOP_RESILU_RUR,1.0
RE1,AN_BACKSTOP_RESILU_URB,1.0
RE1,AN_BACKSTOP_RESOTH_RUR,1.0
RE1,AN_BACKSTOP_RESOTH_URB,1.0
RE1,AN_BACKSTOP_RESREF_RUR,1.0
RE1,AN_BACKSTOP_RESREF_URB,1.0
RE1,AN_BACKSTOP_RESTV_RUR,1.0
RE1,AN_BACKSTOP_RESTV_URB,1.0
RE1,AN_BACKSTOP_RESWHT_RUR,1.0
RE1,AN_BACKSTOP_RESWHT_URB,1.0
RE1,AN_BACKSTOP_RESWSH_RUR,1.0
RE1,AN_BACKSTOP_RESWSH_URB,1.0
RE1,AN_BACKSTOP_TERCLIM_CEN,1.0
RE1,AN_BACKSTOP_TERCLIM_FAN,1.0
RE1,AN_BACKSTOP_TERCLIM_SPL,1.0
RE1,AN_BACKSTOP_TERDHT,1.0
RE1,AN_BACKSTOP_TERIHT,1.0
RE1,AN_BACKSTOP_TERILU,1.0
RE1,AN_BACKSTOP_TERMPW,1.0
RE1,AN_BACKSTOP_TEROTH,1.0
RE1,AN_BACKSTOP_TERREF_AUC,1.0
RE1,AN_BACKSTOP_TERREF_CEN,1.0
RE1,AN_BACKSTOP_TRAAVI,1.0
RE1,AN_BACKSTOP_TRABUS,1.0
RE1,AN_BACKSTOP_TRAFWD,1.0
RE1,AN_BACKSTOP_TRALDV,1.0
RE1,AN_BACKSTOP_TRAMAS,1.0
RE1,AN_BACKSTOP_TRAMET,1.0
RE1,AN_BACKSTOP_TRAMIC,1.0
RE1,AN_BACKSTOP_TRAMRT,1.0
RE1,AN_BACKSTOP_TRAMTC,1.0
RE1,AN_BACKSTOP_TRARVT,1.0
RE1,AN_BACKSTOP_TRASTT,1.0
RE1,AN_BACKSTOP_TRATAX,1.0
RE1,AN_BACKSTOP_TRATCK,1.0
RE1,AN_DEMAGFDSL,1.0
RE1,AN_DEMAGFELC,1.0
RE1,AN_DEMAGFGSL,1.0
RE1,AN_DEMAGFNGS,1.0
RE1,AN_DEMAGFWOO,1.0
RE1,AN_DEMCONSDSL,1.0
RE1,AN_DEMCONSELC,1.0
RE1,AN_DEMCONSGSL,1.0
RE1,AN_DEMCONSNGS,1.0
RE1,AN_DEMINDAUTBOI,1.0
RE1,AN_DEMINDAUTFUR,1.0
RE1,AN_DEMINDBGSBOI_HIG,1.0
RE1,AN_DEMINDBGSBOI_LOW,1.0
RE1,AN_DEMINDBGSBOI_MID,1.0
RE1,AN_DEMINDBGSFUR_HIG,1.0
RE1,AN_DEMINDBGSFUR_LOW,1.0
RE1,AN_DEMINDBGSFUR_MID,1.0
RE1,AN_DEMINDCOABOI_HIG,1.0
RE1,AN_DEMINDCOABOI_LOW,1.0
RE1,AN_DEMINDCOABOI_MID,1.0
RE1,AN_DEMINDCOAFUR_HIG,1.0
RE1,AN_DEMINDCOAFUR_LOW,1.0
RE1,AN_DEMINDCOAFUR_MID,1.0
RE1,AN_DEMINDCOAOTH_LOW,1.0
RE1,AN_DEMINDDSLBOI_HIG,1.0
RE1,AN_DEMINDDSLBOI_LOW,1.0
RE1,AN_DEMINDDSLBOI_MID,1.0
RE1,AN_DEMINDDSLFUR_HIG,1.0
RE1,AN_DEMINDDSLFUR_LOW,1.0
RE1,AN_DEMINDDSLFUR_MID,1.0
RE1,AN_DEMINDELCAIR_HIG,1.0
RE1,AN_DEMINDELCAIR_LOW,1.0
RE1,AN_DEMINDELCAIR_MID,1.0
RE1,AN_DEMINDELCBOI_HIG,1.0
RE1,AN_DEMINDELCBOI_LOW,1.0
RE1,AN_DEMINDELCBOI_MID,1.0
RE1,AN_DEMINDELCFUR_HIG,1.0
RE1,AN_DEMINDELCFUR_LOW,1.0
RE1,AN_DEMINDELCFUR_MID,1.0
RE1,AN_DEMINDELCILU_HIG,1.0
RE1,AN_DEMINDELCILU_LOW,1.0
RE1,AN_DEMINDELCILU_MID,1.0
RE1,AN_DEMINDELCMPW_HIG,1.0
RE1,AN_DEMINDELCMPW_LOW,1.0
RE1,AN_DEMINDELCMPW_MID,1.0
RE1,AN_DEMINDELCOTH_HIG,1.0
RE1,AN_DEMINDELCOTH_LOW,1.0
RE1,AN_DEMINDELCOTH_MID,1.0
RE1,AN_DEMINDELCREF_HIG,1.0
RE1,AN_DEMINDELCREF_LOW,1.0
RE1,AN_DEMINDELCREF_MID,1.0
RE1,AN_DEMINDHDGBOI_HIG,1.0
RE1,AN_DEMINDHDGBOI_LOW,1.0
RE1,AN_DEMINDLPGBOI_HIG,1.0
RE1,AN_DEMINDLPGBOI_LOW,1.0
RE1,AN_DEMINDLPGBOI_MID,1.0
RE1,AN_DEMINDLPGFUR_HIG,1.0
RE1,AN_DEMINDLPGFUR_LOW,1.0
RE1,AN_DEMINDLPGFUR_MID,1.0
RE1,AN_DEMINDNGSBOI_HIG,1.0
RE1,AN_DEMINDNGSBOI_LOW,1.0
RE1,AN_DEMINDNGSBOI_MID,1.0
RE1,AN_DEMINDNGSFURCSS,1.0
RE1,AN_DEMINDNGSFUR_HIG,1.0
RE1,AN_DEMINDNGSFUR_LOW,1.0
RE1,AN_DEMINDNGSFUR_MID,1.0
RE1,AN_DEMINDWASBOI_HIG,1.0
RE1,AN_DEMINDWASBOI_LOW,1.0
RE1,AN_DEMINDWASBOI_MID,1.0
RE1,AN_DEMINDWASFUR_HIG,1.0
RE1,AN_DEMINDWASFUR_LOW,1.0
RE1,AN_DEMINDWASFUR_MID,1.0
RE1,AN_DEMMINIDSL,1.0
RE1,AN_DEMMINIELC,1.0
RE1,AN_DEMMINIGSL,1.0
RE1,AN_DEMMININGS,1.0
RE1,AN_DEMNGSAUT,1.0
RE1,AN_DEMNSEELC,1.0
RE1,AN_DEMRESBGSCKN_MID_RUR,1.0
RE1,AN_DEMRESELCAIR_PAR_HIG_RUR,1.0
RE1,AN_DEMRESELCAIR_PAR_HIG_URB,1.0
RE1,AN_DEMRESELCAIR_PAR_LOW_RUR,1.0
RE1,AN_DEMRESELCAIR_PAR_LOW_URB,1.0
RE1,AN_DEMRESELCAIR_PAR_MID_RUR,1.0
RE1,AN_DEMRESELCAIR_PAR_MID_URB,1.0
RE1,AN_DEMRESELCAIR_POR_HIG_RUR,1.0
RE1,AN_DEMRESELCAIR_POR_HIG_URB,1.0
RE1,AN_DEMRESELCAIR_POR_LOW_RUR,1.0
RE1,AN_DEMRESELCAIR_POR_LOW_URB,1.0
RE1,AN_DEMRESELCAIR_POR_MID_RUR,1.0
RE1,AN_DEMRESELCAIR_POR_MID_URB,1.0
RE1,AN_DEMRESELCAIR_SPL_HIG_RUR,1.0
RE1,AN_DEMRESELCAIR_SPL_HIG_URB,1.0
RE1,AN_DEMRESELCAIR_SPL_LOW_RUR,1.0
RE1,AN_DEMRESELCAIR_SPL_LOW_URB,1.0
RE1,AN_DEMRESELCAIR_SPL_MID_RUR,1.0
RE1,AN_DEMRESELCAIR_SPL_MID_URB,1.0
RE1,AN_DEMRESELCCKN_HIG_RUR,1.0
RE1,AN_DEMRESELCCKN_HIG_URB,1.0
RE1,AN_DEMRESELCCKN_LOW_RUR,1.0
RE1,AN_DEMRESELCCKN_LOW_URB,1.0
RE1,AN_DEMRESELCCKN_MID_RUR,1.0
RE1,AN_DEMRESELCCKN_MID_URB,1.0
RE1,AN_DEMRESELCFAN_HIG_RUR,1.0
RE1,AN_DEMRESELCFAN_HIG_URB,1.0
RE1,AN_DEMRESELCFAN_LOW_RUR,1.0
RE1,AN_DEMRESELCFAN_LOW_URB,1.0
RE1,AN_DEMRESELCFAN_MID_RUR,1.0
RE1,AN_DEMRESELCFAN_MID_URB,1.0
RE1,AN_DEMRESELCILU_HIG_RUR,1.0
RE1,AN_DEMRESELCILU_HIG_URB,1.0
RE1,AN_DEMRESELCILU_INC_RUR,1.0
RE1,AN_DEMRESELCILU_INC_URB,1.0
RE1,AN_DEMRESELCILU_LFC_RUR,1.0
RE1,AN_DEMRESELCILU_LFC_URB,1.0
RE1,AN_DEMRESELCILU_LOW_RUR,1.0
RE1,AN_DEMRESELCILU_LOW_URB,1.0
RE1,AN_DEMRESELCILU_MID_RUR,1.0
RE1,AN_DEMRESELCILU_MID_URB,1.0
RE1,AN_DEMRESELCOTH_HIG_RUR,1.0
RE1,AN_DEMRESELCOTH_HIG_URB,1.0
RE1,AN_DEMRESELCOTH_LOW_RUR,1.0
RE1,AN_DEMRESELCOTH_LOW_URB,1.0
RE1,AN_DEMRESELCOTH_MID_RUR,1.0
RE1,AN_DEMRESELCOTH_MID_URB,1.0
RE1,AN_DEMRESELCREF_HIG_RUR,1.0
RE1,AN_DEMRESELCREF_HIG_URB,1.0
RE1,AN_DEMRESELCREF_LOW_RUR,1.0
RE1,AN_DEMRESELCREF_LOW_URB,1.0
RE1,AN_DEMRESELCREF_MID_RUR,1.0
RE1,AN_DEMRESELCREF_MID_URB,1.0
RE1,AN_DEMRESELCTV_CRT_RUR,1.0
RE1,AN_DEMRESELCTV_CRT_URB,1.0
RE1,AN_DEMRESELCTV_HIG_RUR,1.0
RE1,AN_DEMRESELCTV_HIG_URB,1.0
RE1,AN_DEMRESELCTV_LOW_RUR,1.0
RE1,AN_DEMRESELCTV_LOW_URB,1.0
RE1,AN_DEMRESELCTV_MID_RUR,1.0
RE1,AN_DEMRESELCTV_MID_URB,1.0
RE1,AN_DEMRESELCWHT_DUC_HIG_RUR,1.0
RE1,AN_DEMRESELCWHT_DUC_HIG_URB,1.0
RE1,AN_DEMRESELCWHT_DUC_LOW_RUR,1.0
RE1,AN_DEMRESELCWHT_DUC_LOW_URB,1.0
RE1,AN_DEMRESELCWHT_DUC_MID_RUR,1.0
RE1,AN_DEMRESELCWHT_DUC_MID_URB,1.0
RE1,AN_DEMRESELCWHT_PAS_HIG_RUR,1.0
RE1,AN_DEMRESELCWHT_PAS_HIG_URB,1.0
RE1,AN_DEMRESELCWHT_PAS_LOW_RUR,1.0
RE1,AN_DEMRESELCWHT_PAS_LOW_URB,1.0
RE1,AN_DEMRESELCWHT_PAS_MID_RUR,1.0
RE1,AN_DEMRESELCWHT_PAS_MID_URB,1.0
RE1,AN_DEMRESELCWHT_TAN_HIG_RUR,1.0
RE1,AN_DEMRESELCWHT_TAN_HIG_URB,1.0
RE1,AN_DEMRESELCWHT_TAN_LOW_RUR,1.0
RE1,AN_DEMRESELCWHT_TAN_LOW_URB,1.0
RE1,AN_DEMRESELCWHT_TAN_MID_RUR,1.0
RE1,AN_DEMRESELCWHT_TAN_MID_URB,1.0
