REGION,TECHNOLOGY,YEAR,VALUE
RE1,AN_MINCOA,2022,999999.0
RE1,AN_MINCOA,2023,999999.0
RE1,AN_MINCOA,2024,999999.0
RE1,AN_MINCOA,2025,999999.0
RE1,AN_MINCOA,2026,999999.0
RE1,AN_MINCOA,2027,999999.0
RE1,AN_MINCOA,2028,999999.0
RE1,AN_MINCOA,2029,999999.0
RE1,AN_MINCOA,2030,999999.0
RE1,AN_MINCOA,2031,999999.0
RE1,AN_MINCOA,2032,999999.0
RE1,AN_MINCOA,2033,999999.0
RE1,AN_MINCOA,2034,999999.0
RE1,AN_MINCOA,2035,999999.0
RE1,AN_MINCOA,2036,999999.0
RE1,AN_MINCOA,2037,999999.0
RE1,AN_MINCOA,2038,999999.0
RE1,AN_MINCOA,2039,999999.0
RE1,AN_MINCOA,2040,999999.0
RE1,AN_MINCOA,2041,999999.0
RE1,AN_MINCOA,2042,999999.0
RE1,AN_MINCOA,2043,999999.0
RE1,AN_MINCOA,2044,999999.0
RE1,AN_MINCOA,2045,999999.0
RE1,AN_MINCOA,2046,999999.0
RE1,AN_MINCOA,2047,999999.0
RE1,AN_MINCOA,2048,999999.0
RE1,AN_MINCOA,2049,999999.0
RE1,AN_MINCOA,2050,999999.0
RE1,AN_MINCOA,2051,999999.0
RE1,AN_MINCOA,2052,999999.0
RE1,AN_MINCOA,2053,999999.0
RE1,AN_MINCOA,2054,999999.0
RE1,AN_MINNGS,2022,999999.0
RE1,AN_MINNGS,2023,999999.0
RE1,AN_MINNGS,2024,999999.0
RE1,AN_MINNGS,2025,999999.0
RE1,AN_MINNGS,2026,999999.0
RE1,AN_MINNGS,2027,999999.0
RE1,AN_MINNGS,2028,999999.0
RE1,AN_MINNGS,2029,999999.0
RE1,AN_MINNGS,2030,999999.0
RE1,AN_MINNGS,2031,999999.0
RE1,AN_MINNGS,2032,999999.0
RE1,AN_MINNGS,2033,999999.0
RE1,AN_MINNGS,2034,999999.0
RE1,AN_MINNGS,2035,999999.0
RE1,AN_MINNGS,2036,999999.0
RE1,AN_MINNGS,2037,999999.0
RE1,AN_MINNGS,2038,999999.0
RE1,AN_MINNGS,2039,999999.0
RE1,AN_MINNGS,2040,999999.0
RE1,AN_MINNGS,2041,999999.0
RE1,AN_MINNGS,2042,999999.0
RE1,AN_MINNGS,2043,999999.0
RE1,AN_MINNGS,2044,999999.0
RE1,AN_MINNGS,2045,999999.0
RE1,AN_MINNGS,2046,999999.0
RE1,AN_MINNGS,2047,999999.0
RE1,AN_MINNGS,2048,999999.0
RE1,AN_MINNGS,2049,999999.0
RE1,AN_MINNGS,2050,999999.0
RE1,AN_MINNGS,2051,999999.0
RE1,AN_MINNGS,2052,999999.0
RE1,AN_MINNGS,2053,999999.0
RE1,AN_MINNGS,2054,999999.0
RE1,CA_MINCOA,2022,999999.0
RE1,CA_MINCOA,2023,999999.0
RE1,CA_MINCOA,2024,999999.0
RE1,CA_MINCOA,2025,999999.0
RE1,CA_MINCOA,2026,999999.0
RE1,CA_MINCOA,2027,999999.0
RE1,CA_MINCOA,2028,999999.0
RE1,CA_MINCOA,2029,999999.0
RE1,CA_MINCOA,2030,999999.0
RE1,CA_MINCOA,2031,999999.0
RE1,CA_MINCOA,2032,999999.0
RE1,CA_MINCOA,2033,999999.0
RE1,CA_MINCOA,2034,999999.0
RE1,CA_MINCOA,2035,999999.0
RE1,CA_MINCOA,2036,999999.0
RE1,CA_MINCOA,2037,999999.0
RE1,CA_MINCOA,2038,999999.0
RE1,CA_MINCOA,2039,999999.0
RE1,CA_MINCOA,2040,999999.0
RE1,CA_MINCOA,2041,999999.0
RE1,CA_MINCOA,2042,999999.0
RE1,CA_MINCOA,2043,999999.0
RE1,CA_MINCOA,2044,999999.0
RE1,CA_MINCOA,2045,999999.0
RE1,CA_MINCOA,2046,999999.0
RE1,CA_MINCOA,2047,999999.0
RE1,CA_MINCOA,2048,999999.0
RE1,CA_MINCOA,2049,999999.0
RE1,CA_MINCOA,2050,999999.0
RE1,CA_MINCOA,2051,999999.0
RE1,CA_MINCOA,2052,999999.0
RE1,CA_MINCOA,2053,999999.0
RE1,CA_MINCOA,2054,999999.0
RE1,CA_MINNGS,2022,999999.0
RE1,CA_MINNGS,2023,999999.0
RE1,CA_MINNGS,2024,999999.0
RE1,CA_MINNGS,2025,999999.0
RE1,CA_MINNGS,2026,999999.0
RE1,CA_MINNGS,2027,999999.0
RE1,CA_MINNGS,2028,999999.0
RE1,CA_MINNGS,2029,999999.0
RE1,CA_MINNGS,2030,999999.0
RE1,CA_MINNGS,2031,999999.0
RE1,CA_MINNGS,2032,999999.0
RE1,CA_MINNGS,2033,999999.0
RE1,CA_MINNGS,2034,999999.0
RE1,CA_MINNGS,2035,999999.0
RE1,CA_MINNGS,2036,999999.0
RE1,CA_MINNGS,2037,999999.0
RE1,CA_MINNGS,2038,999999.0
RE1,CA_MINNGS,2039,999999.0
RE1,CA_MINNGS,2040,999999.0
RE1,CA_MINNGS,2041,999999.0
RE1,CA_MINNGS,2042,999999.0
RE1,CA_MINNGS,2043,999999.0
RE1,CA_MINNGS,2044,999999.0
RE1,CA_MINNGS,2045,999999.0
RE1,CA_MINNGS,2046,999999.0
RE1,CA_MINNGS,2047,999999.0
RE1,CA_MINNGS,2048,999999.0
RE1,CA_MINNGS,2049,999999.0
RE1,CA_MINNGS,2050,999999.0
RE1,CA_MINNGS,2051,999999.0
RE1,CA_MINNGS,2052,999999.0
RE1,CA_MINNGS,2053,999999.0
RE1,CA_MINNGS,2054,999999.0
RE1,CA_UPSREG,2022,999999.0
RE1,CA_UPSREG,2023,999999.0
RE1,CA_UPSREG,2024,999999.0
RE1,CA_UPSREG,2025,999999.0
RE1,CA_UPSREG,2026,999999.0
RE1,CA_UPSREG,2027,999999.0
RE1,CA_UPSREG,2028,999999.0
RE1,CA_UPSREG,2029,999999.0
RE1,CA_UPSREG,2030,999999.0
RE1,CA_UPSREG,2031,999999.0
RE1,CA_UPSREG,2032,999999.0
RE1,CA_UPSREG,2033,999999.0
RE1,CA_UPSREG,2034,999999.0
RE1,CA_UPSREG,2035,999999.0
RE1,CA_UPSREG,2036,999999.0
RE1,CA_UPSREG,2037,999999.0
RE1,CA_UPSREG,2038,999999.0
RE1,CA_UPSREG,2039,999999.0
RE1,CA_UPSREG,2040,999999.0
RE1,CA_UPSREG,2041,999999.0
RE1,CA_UPSREG,2042,999999.0
RE1,CA_UPSREG,2043,999999.0
RE1,CA_UPSREG,2044,999999.0
RE1,CA_UPSREG,2045,999999.0
RE1,CA_UPSREG,2046,999999.0
RE1,CA_UPSREG,2047,999999.0
RE1,CA_UPSREG,2048,999999.0
RE1,CA_UPSREG,2049,999999.0
RE1,CA_UPSREG,2050,999999.0
RE1,CA_UPSREG,2051,999999.0
RE1,CA_UPSREG,2052,999999.0
RE1,CA_UPSREG,2053,999999.0
RE1,CA_UPSREG,2054,999999.0
RE1,IN_MINNGS,2022,999999.0
RE1,IN_MINNGS,2023,999999.0
RE1,IN_MINNGS,2024,999999.0
RE1,IN_MINNGS,2025,999999.0
RE1,IN_MINNGS,2026,999999.0
RE1,IN_MINNGS,2027,999999.0
RE1,IN_MINNGS,2028,999999.0
RE1,IN_MINNGS,2029,999999.0
RE1,IN_MINNGS,2030,999999.0
RE1,IN_MINNGS,2031,999999.0
RE1,IN_MINNGS,2032,999999.0
RE1,IN_MINNGS,2033,999999.0
RE1,IN_MINNGS,2034,999999.0
RE1,IN_MINNGS,2035,999999.0
RE1,IN_MINNGS,2036,999999.0
RE1,IN_MINNGS,2037,999999.0
RE1,IN_MINNGS,2038,999999.0
RE1,IN_MINNGS,2039,999999.0
RE1,IN_MINNGS,2040,999999.0
RE1,IN_MINNGS,2041,999999.0
RE1,IN_MINNGS,2042,999999.0
RE1,IN_MINNGS,2043,999999.0
RE1,IN_MINNGS,2044,999999.0
RE1,IN_MINNGS,2045,999999.0
RE1,IN_MINNGS,2046,999999.0
RE1,IN_MINNGS,2047,999999.0
RE1,IN_MINNGS,2048,999999.0
RE1,IN_MINNGS,2049,999999.0
RE1,IN_MINNGS,2050,999999.0
RE1,IN_MINNGS,2051,999999.0
RE1,IN_MINNGS,2052,999999.0
RE1,IN_MINNGS,2053,999999.0
RE1,IN_MINNGS,2054,999999.0
RE1,NE_MINCOA,2022,999999.0
RE1,NE_MINCOA,2023,999999.0
RE1,NE_MINCOA,2024,999999.0
RE1,NE_MINCOA,2025,999999.0
RE1,NE_MINCOA,2026,999999.0
RE1,NE_MINCOA,2027,999999.0
RE1,NE_MINCOA,2028,999999.0
RE1,NE_MINCOA,2029,999999.0
RE1,NE_MINCOA,2030,999999.0
RE1,NE_MINCOA,2031,999999.0
RE1,NE_MINCOA,2032,999999.0
RE1,NE_MINCOA,2033,999999.0
RE1,NE_MINCOA,2034,999999.0
RE1,NE_MINCOA,2035,999999.0
RE1,NE_MINCOA,2036,999999.0
RE1,NE_MINCOA,2037,999999.0
RE1,NE_MINCOA,2038,999999.0
RE1,NE_MINCOA,2039,999999.0
RE1,NE_MINCOA,2040,999999.0
RE1,NE_MINCOA,2041,999999.0
RE1,NE_MINCOA,2042,999999.0
RE1,NE_MINCOA,2043,999999.0
RE1,NE_MINCOA,2044,999999.0
RE1,NE_MINCOA,2045,999999.0
RE1,NE_MINCOA,2046,999999.0
RE1,NE_MINCOA,2047,999999.0
RE1,NE_MINCOA,2048,999999.0
RE1,NE_MINCOA,2049,999999.0
RE1,NE_MINCOA,2050,999999.0
RE1,NE_MINCOA,2051,999999.0
RE1,NE_MINCOA,2052,999999.0
RE1,NE_MINCOA,2053,999999.0
RE1,NE_MINCOA,2054,999999.0
RE1,NE_MINNGS,2022,999999.0
RE1,NE_MINNGS,2023,999999.0
RE1,NE_MINNGS,2024,999999.0
RE1,NE_MINNGS,2025,999999.0
RE1,NE_MINNGS,2026,999999.0
RE1,NE_MINNGS,2027,999999.0
RE1,NE_MINNGS,2028,999999.0
RE1,NE_MINNGS,2029,999999.0
RE1,NE_MINNGS,2030,999999.0
RE1,NE_MINNGS,2031,999999.0
RE1,NE_MINNGS,2032,999999.0
RE1,NE_MINNGS,2033,999999.0
RE1,NE_MINNGS,2034,999999.0
RE1,NE_MINNGS,2035,999999.0
RE1,NE_MINNGS,2036,999999.0
RE1,NE_MINNGS,2037,999999.0
RE1,NE_MINNGS,2038,999999.0
RE1,NE_MINNGS,2039,999999.0
RE1,NE_MINNGS,2040,999999.0
RE1,NE_MINNGS,2041,999999.0
RE1,NE_MINNGS,2042,999999.0
RE1,NE_MINNGS,2043,999999.0
RE1,NE_MINNGS,2044,999999.0
RE1,NE_MINNGS,2045,999999.0
RE1,NE_MINNGS,2046,999999.0
RE1,NE_MINNGS,2047,999999.0
RE1,NE_MINNGS,2048,999999.0
RE1,NE_MINNGS,2049,999999.0
RE1,NE_MINNGS,2050,999999.0
RE1,NE_MINNGS,2051,999999.0
RE1,NE_MINNGS,2052,999999.0
RE1,NE_MINNGS,2053,999999.0
RE1,NE_MINNGS,2054,999999.0
RE1,OR_MINCOA,2022,999999.0
RE1,OR_MINCOA,2023,999999.0
RE1,OR_MINCOA,2024,999999.0
RE1,OR_MINCOA,2025,999999.0
RE1,OR_MINCOA,2026,999999.0
RE1,OR_MINCOA,2027,999999.0
RE1,OR_MINCOA,2028,999999.0
RE1,OR_MINCOA,2029,999999.0
RE1,OR_MINCOA,2030,999999.0
RE1,OR_MINCOA,2031,999999.0
RE1,OR_MINCOA,2032,999999.0
RE1,OR_MINCOA,2033,999999.0
RE1,OR_MINCOA,2034,999999.0
RE1,OR_MINCOA,2035,999999.0
RE1,OR_MINCOA,2036,999999.0
RE1,OR_MINCOA,2037,999999.0
RE1,OR_MINCOA,2038,999999.0
RE1,OR_MINCOA,2039,999999.0
RE1,OR_MINCOA,2040,999999.0
RE1,OR_MINCOA,2041,999999.0
RE1,OR_MINCOA,2042,999999.0
RE1,OR_MINCOA,2043,999999.0
RE1,OR_MINCOA,2044,999999.0
RE1,OR_MINCOA,2045,999999.0
RE1,OR_MINCOA,2046,999999.0
RE1,OR_MINCOA,2047,999999.0
RE1,OR_MINCOA,2048,999999.0
RE1,OR_MINCOA,2049,999999.0
RE1,OR_MINCOA,2050,999999.0
RE1,OR_MINCOA,2051,999999.0
RE1,OR_MINCOA,2052,999999.0
RE1,OR_MINCOA,2053,999999.0
RE1,OR_MINCOA,2054,999999.0
RE1,OR_MINNGS,2022,999999.0
RE1,OR_MINNGS,2023,999999.0
RE1,OR_MINNGS,2024,999999.0
RE1,OR_MINNGS,2025,999999.0
RE1,OR_MINNGS,2026,999999.0
RE1,OR_MINNGS,2027,999999.0
RE1,OR_MINNGS,2028,999999.0
RE1,OR_MINNGS,2029,999999.0
RE1,OR_MINNGS,2030,999999.0
RE1,OR_MINNGS,2031,999999.0
RE1,OR_MINNGS,2032,999999.0
RE1,OR_MINNGS,2033,999999.0
RE1,OR_MINNGS,2034,999999.0
RE1,OR_MINNGS,2035,999999.0
RE1,OR_MINNGS,2036,999999.0
RE1,OR_MINNGS,2037,999999.0
RE1,OR_MINNGS,2038,999999.0
RE1,OR_MINNGS,2039,999999.0
RE1,OR_MINNGS,2040,999999.0
RE1,OR_MINNGS,2041,999999.0
RE1,OR_MINNGS,2042,999999.0
RE1,OR_MINNGS,2043,999999.0
RE1,OR_MINNGS,2044,999999.0
RE1,OR_MINNGS,2045,999999.0
RE1,OR_MINNGS,2046,999999.0
RE1,OR_MINNGS,2047,999999.0
RE1,OR_MINNGS,2048,999999.0
RE1,OR_MINNGS,2049,999999.0
RE1,OR_MINNGS,2050,999999.0
RE1,OR_MINNGS,2051,999999.0
RE1,OR_MINNGS,2052,999999.0
RE1,OR_MINNGS,2053,999999.0
RE1,OR_MINNGS,2054,999999.0
RE1,SE_MINNGS,2022,999999.0
RE1,SE_MINNGS,2023,999999.0
RE1,SE_MINNGS,2024,999999.0
RE1,SE_MINNGS,2025,999999.0
RE1,SE_MINNGS,2026,999999.0
RE1,SE_MINNGS,2027,999999.0
RE1,SE_MINNGS,2028,999999.0
RE1,SE_MINNGS,2029,999999.0
RE1,SE_MINNGS,2030,999999.0
RE1,SE_MINNGS,2031,999999.0
RE1,SE_MINNGS,2032,999999.0
RE1,SE_MINNGS,2033,999999.0
RE1,SE_MINNGS,2034,999999.0
RE1,SE_MINNGS,2035,999999.0
RE1,SE_MINNGS,2036,999999.0
RE1,SE_MINNGS,2037,999999.0
RE1,SE_MINNGS,2038,999999.0
RE1,SE_MINNGS,2039,999999.0
RE1,SE_MINNGS,2040,999999.0
RE1,SE_MINNGS,2041,999999.0
RE1,SE_MINNGS,2042,999999.0
RE1,SE_MINNGS,2043,999999.0
RE1,SE_MINNGS,2044,999999.0
RE1,SE_MINNGS,2045,999999.0
RE1,SE_MINNGS,2046,999999.0
RE1,SE_MINNGS,2047,999999.0
RE1,SE_MINNGS,2048,999999.0
RE1,SE_MINNGS,2049,999999.0
RE1,SE_MINNGS,2050,999999.0
RE1,SE_MINNGS,2051,999999.0
RE1,SE_MINNGS,2052,999999.0
RE1,SE_MINNGS,2053,999999.0
RE1,SE_MINNGS,2054,999999.0
RE1,SO_MINCOA,2022,999999.0
RE1,SO_MINCOA,2023,999999.0
RE1,SO_MINCOA,2024,999999.0
RE1,SO_MINCOA,2025,999999.0
RE1,SO_MINCOA,2026,999999.0
RE1,SO_MINCOA,2027,999999.0
RE1,SO_MINCOA,2028,999999.0
RE1,SO_MINCOA,2029,999999.0
RE1,SO_MINCOA,2030,999999.0
RE1,SO_MINCOA,2031,999999.0
RE1,SO_MINCOA,2032,999999.0
RE1,SO_MINCOA,2033,999999.0
RE1,SO_MINCOA,2034,999999.0
RE1,SO_MINCOA,2035,999999.0
RE1,SO_MINCOA,2036,999999.0
RE1,SO_MINCOA,2037,999999.0
RE1,SO_MINCOA,2038,999999.0
RE1,SO_MINCOA,2039,999999.0
RE1,SO_MINCOA,2040,999999.0
RE1,SO_MINCOA,2041,999999.0
RE1,SO_MINCOA,2042,999999.0
RE1,SO_MINCOA,2043,999999.0
RE1,SO_MINCOA,2044,999999.0
RE1,SO_MINCOA,2045,999999.0
RE1,SO_MINCOA,2046,999999.0
RE1,SO_MINCOA,2047,999999.0
RE1,SO_MINCOA,2048,999999.0
RE1,SO_MINCOA,2049,999999.0
RE1,SO_MINCOA,2050,999999.0
RE1,SO_MINCOA,2051,999999.0
RE1,SO_MINCOA,2052,999999.0
RE1,SO_MINCOA,2053,999999.0
RE1,SO_MINCOA,2054,999999.0
RE1,SO_MINNGS,2022,999999.0
RE1,SO_MINNGS,2023,999999.0
RE1,SO_MINNGS,2024,999999.0
RE1,SO_MINNGS,2025,999999.0
RE1,SO_MINNGS,2026,999999.0
RE1,SO_MINNGS,2027,999999.0
RE1,SO_MINNGS,2028,999999.0
RE1,SO_MINNGS,2029,999999.0
RE1,SO_MINNGS,2030,999999.0
RE1,SO_MINNGS,2031,999999.0
RE1,SO_MINNGS,2032,999999.0
RE1,SO_MINNGS,2033,999999.0
RE1,SO_MINNGS,2034,999999.0
RE1,SO_MINNGS,2035,999999.0
RE1,SO_MINNGS,2036,999999.0
RE1,SO_MINNGS,2037,999999.0
RE1,SO_MINNGS,2038,999999.0
RE1,SO_MINNGS,2039,999999.0
RE1,SO_MINNGS,2040,999999.0
RE1,SO_MINNGS,2041,999999.0
RE1,SO_MINNGS,2042,999999.0
RE1,SO_MINNGS,2043,999999.0
RE1,SO_MINNGS,2044,999999.0
RE1,SO_MINNGS,2045,999999.0
RE1,SO_MINNGS,2046,999999.0
RE1,SO_MINNGS,2047,999999.0
RE1,SO_MINNGS,2048,999999.0
RE1,SO_MINNGS,2049,999999.0
RE1,SO_MINNGS,2050,999999.0
RE1,SO_MINNGS,2051,999999.0
RE1,SO_MINNGS,2052,999999.0
RE1,SO_MINNGS,2053,999999.0
RE1,SO_MINNGS,2054,999999.0
RE1,SO_UPSREG,2022,999999.0
RE1,SO_UPSREG,2023,999999.0
RE1,SO_UPSREG,2024,999999.0
RE1,SO_UPSREG,2025,999999.0
RE1,SO_UPSREG,2026,999999.0
RE1,SO_UPSREG,2027,999999.0
RE1,SO_UPSREG,2028,999999.0
RE1,SO_UPSREG,2029,999999.0
RE1,SO_UPSREG,2030,999999.0
RE1,SO_UPSREG,2031,999999.0
RE1,SO_UPSREG,2032,999999.0
RE1,SO_UPSREG,2033,999999.0
RE1,SO_UPSREG,2034,999999.0
RE1,SO_UPSREG,2035,999999.0
RE1,SO_UPSREG,2036,999999.0
RE1,SO_UPSREG,2037,999999.0
RE1,SO_UPSREG,2038,999999.0
RE1,SO_UPSREG,2039,999999.0
RE1,SO_UPSREG,2040,999999.0
RE1,SO_UPSREG,2041,999999.0
RE1,SO_UPSREG,2042,999999.0
RE1,SO_UPSREG,2043,999999.0
RE1,SO_UPSREG,2044,999999.0
RE1,SO_UPSREG,2045,999999.0
RE1,SO_UPSREG,2046,999999.0
RE1,SO_UPSREG,2047,999999.0
RE1,SO_UPSREG,2048,999999.0
RE1,SO_UPSREG,2049,999999.0
RE1,SO_UPSREG,2050,999999.0
RE1,SO_UPSREG,2051,999999.0
RE1,SO_UPSREG,2052,999999.0
RE1,SO_UPSREG,2053,999999.0
RE1,SO_UPSREG,2054,999999.0
