REGION,TECHNOLOGY,YEAR,VALUE
RE1,AN_DEMINDAUTBOI,2022,0.0
RE1,AN_DEMINDAUTBOI,2023,0.0
RE1,AN_DEMINDAUTBOI,2024,0.0
RE1,AN_DEMINDAUTBOI,2025,0.0
RE1,AN_DEMINDAUTBOI,2026,0.0
RE1,AN_DEMINDAUTBOI,2027,0.0
RE1,AN_DEMINDAUTBOI,2028,0.0
RE1,AN_DEMINDAUTBOI,2029,0.0
RE1,AN_DEMINDAUTBOI,2030,0.0
RE1,AN_DEMINDAUTBOI,2031,0.0
RE1,AN_DEMINDAUTBOI,2032,0.0
RE1,AN_DEMINDAUTBOI,2033,0.0
RE1,AN_DEMINDAUTBOI,2034,0.0
RE1,AN_DEMINDAUTBOI,2035,0.0
RE1,AN_DEMINDAUTBOI,2036,0.0
RE1,AN_DEMINDAUTBOI,2037,0.0
RE1,AN_DEMINDAUTBOI,2038,0.0
RE1,AN_DEMINDAUTBOI,2039,0.0
RE1,AN_DEMINDAUTBOI,2040,0.0
RE1,AN_DEMINDAUTBOI,2041,0.0
RE1,AN_DEMINDAUTBOI,2042,0.0
RE1,AN_DEMINDAUTBOI,2043,0.0
RE1,AN_DEMINDAUTBOI,2044,0.0
RE1,AN_DEMINDAUTBOI,2045,0.0
RE1,AN_DEMINDAUTBOI,2046,0.0
RE1,AN_DEMINDAUTBOI,2047,0.0
RE1,AN_DEMINDAUTBOI,2048,0.0
RE1,AN_DEMINDAUTBOI,2049,0.0
RE1,AN_DEMINDAUTBOI,2050,0.0
RE1,AN_DEMINDAUTBOI,2051,0.0
RE1,AN_DEMINDAUTBOI,2052,0.0
RE1,AN_DEMINDAUTBOI,2053,0.0
RE1,AN_DEMINDAUTBOI,2054,0.0
RE1,AN_DEMINDAUTFUR,2022,0.0
RE1,AN_DEMINDAUTFUR,2023,0.0
RE1,AN_DEMINDAUTFUR,2024,0.0
RE1,AN_DEMINDAUTFUR,2025,0.0
RE1,AN_DEMINDAUTFUR,2026,0.0
RE1,AN_DEMINDAUTFUR,2027,0.0
RE1,AN_DEMINDAUTFUR,2028,0.0
RE1,AN_DEMINDAUTFUR,2029,0.0
RE1,AN_DEMINDAUTFUR,2030,0.0
RE1,AN_DEMINDAUTFUR,2031,0.0
RE1,AN_DEMINDAUTFUR,2032,0.0
RE1,AN_DEMINDAUTFUR,2033,0.0
RE1,AN_DEMINDAUTFUR,2034,0.0
RE1,AN_DEMINDAUTFUR,2035,0.0
RE1,AN_DEMINDAUTFUR,2036,0.0
RE1,AN_DEMINDAUTFUR,2037,0.0
RE1,AN_DEMINDAUTFUR,2038,0.0
RE1,AN_DEMINDAUTFUR,2039,0.0
RE1,AN_DEMINDAUTFUR,2040,0.0
RE1,AN_DEMINDAUTFUR,2041,0.0
RE1,AN_DEMINDAUTFUR,2042,0.0
RE1,AN_DEMINDAUTFUR,2043,0.0
RE1,AN_DEMINDAUTFUR,2044,0.0
RE1,AN_DEMINDAUTFUR,2045,0.0
RE1,AN_DEMINDAUTFUR,2046,0.0
RE1,AN_DEMINDAUTFUR,2047,0.0
RE1,AN_DEMINDAUTFUR,2048,0.0
RE1,AN_DEMINDAUTFUR,2049,0.0
RE1,AN_DEMINDAUTFUR,2050,0.0
RE1,AN_DEMINDAUTFUR,2051,0.0
RE1,AN_DEMINDAUTFUR,2052,0.0
RE1,AN_DEMINDAUTFUR,2053,0.0
RE1,AN_DEMINDAUTFUR,2054,0.0
RE1,AN_DEMINDCOABOI_HIG,2022,0.0
RE1,AN_DEMINDCOABOI_HIG,2023,0.0
RE1,AN_DEMINDCOABOI_HIG,2024,0.0
RE1,AN_DEMINDCOABOI_HIG,2025,0.1999440938441303
RE1,AN_DEMINDCOABOI_HIG,2026,0.2001172392200231
RE1,AN_DEMINDCOABOI_HIG,2027,0.2005177217089877
RE1,AN_DEMINDCOABOI_HIG,2028,0.2009205411447489
RE1,AN_DEMINDCOABOI_HIG,2029,0.2016019471220597
RE1,AN_DEMINDCOABOI_HIG,2030,0.2025904610781409
RE1,AN_DEMINDCOABOI_HIG,2031,0.204382448539847
RE1,AN_DEMINDCOABOI_HIG,2032,0.2062784166047752
RE1,AN_DEMINDCOABOI_HIG,2033,0.2085474871275826
RE1,AN_DEMINDCOABOI_HIG,2034,0.2122037621221557
RE1,AN_DEMINDCOABOI_HIG,2035,0.2173489495050762
RE1,AN_DEMINDCOABOI_HIG,2036,0.2237922101356261
RE1,AN_DEMINDCOABOI_HIG,2037,0.232323088964416
RE1,AN_DEMINDCOABOI_HIG,2038,0.2437326055060982
RE1,AN_DEMINDCOABOI_HIG,2039,0.2582775135319874
RE1,AN_DEMINDCOABOI_HIG,2040,0.2769974470134327
RE1,AN_DEMINDCOABOI_HIG,2041,0.2998892194003026
RE1,AN_DEMINDCOABOI_HIG,2042,0.3271249518452247
RE1,AN_DEMINDCOABOI_HIG,2043,0.3582782342414137
RE1,AN_DEMINDCOABOI_HIG,2044,0.3931271458498688
RE1,AN_DEMINDCOABOI_HIG,2045,0.4295258760384017
RE1,AN_DEMINDCOABOI_HIG,2046,0.4658662067509274
RE1,AN_DEMINDCOABOI_HIG,2047,0.5003677171959906
RE1,AN_DEMINDCOABOI_HIG,2048,0.5317336512003097
RE1,AN_DEMINDCOABOI_HIG,2049,0.558921832686564
RE1,AN_DEMINDCOABOI_HIG,2050,0.5816756899284387
RE1,AN_DEMINDCOABOI_HIG,2051,0.599996222688879
RE1,AN_DEMINDCOABOI_HIG,2052,0.6144053931712526
RE1,AN_DEMINDCOABOI_HIG,2053,0.6256924428722285
RE1,AN_DEMINDCOABOI_HIG,2054,0.6341305246567769
RE1,AN_DEMINDCOABOI_LOW,2022,0.0
RE1,AN_DEMINDCOABOI_LOW,2023,0.0
RE1,AN_DEMINDCOABOI_LOW,2024,0.0
RE1,AN_DEMINDCOABOI_LOW,2025,0.198897266127669
RE1,AN_DEMINDCOABOI_LOW,2026,0.1985476922457484
RE1,AN_DEMINDCOABOI_LOW,2027,0.1981648410109683
RE1,AN_DEMINDCOABOI_LOW,2028,0.1977852401125812
RE1,AN_DEMINDCOABOI_LOW,2029,0.1974236684252293
RE1,AN_DEMINDCOABOI_LOW,2030,0.1968469170785029
RE1,AN_DEMINDCOABOI_LOW,2031,0.1967933435364468
RE1,AN_DEMINDCOABOI_LOW,2032,0.1958207022014913
RE1,AN_DEMINDCOABOI_LOW,2033,0.194191902907286
RE1,AN_DEMINDCOABOI_LOW,2034,0.1928887825440014
RE1,AN_DEMINDCOABOI_LOW,2035,0.190702804253252
RE1,AN_DEMINDCOABOI_LOW,2036,0.1880167926460335
RE1,AN_DEMINDCOABOI_LOW,2037,0.1840312109212509
RE1,AN_DEMINDCOABOI_LOW,2038,0.1792765524439931
RE1,AN_DEMINDCOABOI_LOW,2039,0.1729676681532401
