REGION,TECHNOLOGY,VALUE
RE1,AN_BACKSTOP_AGFELC,999999.0
RE1,AN_BACKSTOP_AGFHEA,999999.0
RE1,AN_BACKSTOP_INDCLIM,999999.0
RE1,AN_BACKSTOP_INDDHT,999999.0
RE1,AN_BACKSTOP_INDIHT,999999.0
RE1,AN_BACKSTOP_INDILU,999999.0
RE1,AN_BACKSTOP_INDMPW,999999.0
RE1,AN_BACKSTOP_INDOTH_COA,999999.0
RE1,AN_BACKSTOP_INDOTH_ELC,999999.0
RE1,AN_BACKSTOP_INDREF,999999.0
RE1,AN_BACKSTOP_NSEELC,999999.0
RE1,AN_BACKSTOP_RESCLIM_RUR,999999.0
RE1,AN_BACKSTOP_RESCLIM_URB,999999.0
RE1,AN_BACKSTOP_RESDHT_RUR,999999.0
RE1,AN_BACKSTOP_RESDHT_URB,999999.0
RE1,AN_BACKSTOP_RESILU_RUR,999999.0
RE1,AN_BACKSTOP_RESILU_URB,999999.0
RE1,AN_BACKSTOP_RESOTH_RUR,999999.0
RE1,AN_BACKSTOP_RESOTH_URB,999999.0
RE1,AN_BACKSTOP_RESREF_RUR,999999.0
RE1,AN_BACKSTOP_RESREF_URB,999999.0
RE1,AN_BACKSTOP_RESTV_RUR,999999.0
RE1,AN_BACKSTOP_RESTV_URB,999999.0
RE1,AN_BACKSTOP_RESWHT_RUR,999999.0
RE1,AN_BACKSTOP_RESWHT_URB,999999.0
RE1,AN_BACKSTOP_RESWSH_RUR,999999.0
RE1,AN_BACKSTOP_RESWSH_URB,999999.0
RE1,AN_BACKSTOP_TERCLIM_CEN,999999.0
RE1,AN_BACKSTOP_TERCLIM_FAN,999999.0
RE1,AN_BACKSTOP_TERCLIM_SPL,999999.0
RE1,AN_BACKSTOP_TERDHT,999999.0
RE1,AN_BACKSTOP_TERIHT,999999.0
RE1,AN_BACKSTOP_TERILU,999999.0
RE1,AN_BACKSTOP_TERMPW,999999.0
RE1,AN_BACKSTOP_TEROTH,999999.0
RE1,AN_BACKSTOP_TERREF_AUC,999999.0
RE1,AN_BACKSTOP_TERREF_CEN,999999.0
RE1,AN_BACKSTOP_TRAAVI,999999.0
RE1,AN_BACKSTOP_TRABUS,999999.0
RE1,AN_BACKSTOP_TRAFWD,999999.0
RE1,AN_BACKSTOP_TRALDV,999999.0
RE1,AN_BACKSTOP_TRAMAS,999999.0
RE1,AN_BACKSTOP_TRAMET,999999.0
RE1,AN_BACKSTOP_TRAMIC,999999.0
RE1,AN_BACKSTOP_TRAMRT,999999.0
