REGION,FUEL,YEAR,VALUE
RE1,AN_AGFELC,2022,0.0
RE1,AN_AGFELC,2023,0.0
RE1,AN_AGFELC,2024,0.0
RE1,AN_AGFELC,2025,0.0
RE1,AN_AGFELC,2026,0.0
RE1,AN_AGFELC,2027,0.0
RE1,AN_AGFELC,2028,0.0
RE1,AN_AGFELC,2029,0.0
RE1,AN_AGFELC,2030,0.0
RE1,AN_AGFELC,2031,0.0
RE1,AN_AGFELC,2032,0.0
RE1,AN_AGFELC,2033,0.0
RE1,AN_AGFELC,2034,0.0
RE1,AN_AGFELC,2035,0.0
RE1,AN_AGFELC,2036,0.0
RE1,AN_AGFELC,2037,0.0
RE1,AN_AGFELC,2038,0.0
RE1,AN_AGFELC,2039,0.0
RE1,AN_AGFELC,2040,0.0
RE1,AN_AGFELC,2041,0.0
RE1,AN_AGFELC,2042,0.0
RE1,AN_AGFELC,2043,0.0
RE1,AN_AGFELC,2044,0.0
RE1,AN_AGFELC,2045,0.0
RE1,AN_AGFELC,2046,0.0
RE1,AN_AGFELC,2047,0.0
RE1,AN_AGFELC,2048,0.0
RE1,AN_AGFELC,2049,0.0
RE1,AN_AGFELC,2050,0.0
RE1,AN_AGFELC,2051,0.0
RE1,AN_AGFELC,2052,0.0
RE1,AN_AGFELC,2053,0.0
RE1,AN_AGFELC,2054,0.0
RE1,AN_AGFHEA,2022,5.757737402969179
RE1,AN_AGFHEA,2023,5.918780162876052
RE1,AN_AGFHEA,2024,6.350601913585652
RE1,AN_AGFHEA,2025,6.585617955565517
RE1,AN_AGFHEA,2026,6.76630561192064
RE1,AN_AGFHEA,2027,6.960420303869359
RE1,AN_AGFHEA,2028,7.162738271835699
RE1,AN_AGFHEA,2029,7.371635435559002
RE1,AN_AGFHEA,2030,7.585686518806627
RE1,AN_AGFHEA,2031,7.804941173265422
RE1,AN_AGFHEA,2032,8.031296267209513
RE1,AN_AGFHEA,2033,8.265099827236655
RE1,AN_AGFHEA,2034,8.50568813859683
RE1,AN_AGFHEA,2035,8.766594989833179
RE1,AN_AGFHEA,2036,9.035340174634936
RE1,AN_AGFHEA,2037,9.323050085298293
RE1,AN_AGFHEA,2038,9.619468625192798
RE1,AN_AGFHEA,2039,9.92486720942099
RE1,AN_AGFHEA,2040,10.23951736213855
RE1,AN_AGFHEA,2041,10.56370230813233
RE1,AN_AGFHEA,2042,10.93061291985022
RE1,AN_AGFHEA,2043,11.30885697126095
RE1,AN_AGFHEA,2044,11.6987768003505
RE1,AN_AGFHEA,2045,12.1007255555026
RE1,AN_AGFHEA,2046,12.51506755027293
RE1,AN_AGFHEA,2047,12.94218639121534
RE1,AN_AGFHEA,2048,13.40499982463255
RE1,AN_AGFHEA,2049,13.91627783045394
RE1,AN_AGFHEA,2050,14.44392673233616
RE1,AN_AGFHEA,2051,14.98843492016319
RE1,AN_AGFHEA,2052,15.55030357816706
RE1,AN_AGFHEA,2053,16.13003928628966
RE1,AN_AGFHEA,2054,16.7329555883771
RE1,AN_INDCLIM,2022,0.0
RE1,AN_INDCLIM,2023,0.0
RE1,AN_INDCLIM,2024,0.0
RE1,AN_INDCLIM,2025,0.0
RE1,AN_INDCLIM,2026,0.0
RE1,AN_INDCLIM,2027,0.0
RE1,AN_INDCLIM,2028,0.0
RE1,AN_INDCLIM,2029,0.0
RE1,AN_INDCLIM,2030,0.0
RE1,AN_INDCLIM,2031,0.0
RE1,AN_INDCLIM,2032,0.0
RE1,AN_INDCLIM,2033,0.0
RE1,AN_INDCLIM,2034,0.0
RE1,AN_INDCLIM,2035,0.0
RE1,AN_INDCLIM,2036,0.0
RE1,AN_INDCLIM,2037,0.0
RE1,AN_INDCLIM,2038,0.0
RE1,AN_INDCLIM,2039,0.0
RE1,AN_INDCLIM,2040,0.0
RE1,AN_INDCLIM,2041,0.0
RE1,AN_INDCLIM,2042,0.0
RE1,AN_INDCLIM,2043,0.0
RE1,AN_INDCLIM,2044,0.0
RE1,AN_INDCLIM,2045,0.0
