REGION,EMISSION,YEAR,VALUE
RE1,EMICH4,2022,9.99999999999999e+16
RE1,EMICH4,2023,9.99999999999999e+16
RE1,EMICH4,2024,9.99999999999999e+16
RE1,EMICH4,2025,9.99999999999999e+16
RE1,EMICH4,2026,9.99999999999999e+16
RE1,EMICH4,2027,9.99999999999999e+16
RE1,EMICH4,2028,9.99999999999999e+16
RE1,EMICH4,2029,9.99999999999999e+16
RE1,EMICH4,2030,9.99999999999999e+16
RE1,EMICH4,2031,9.99999999999999e+16
RE1,EMICH4,2032,9.99999999999999e+16
RE1,EMICH4,2033,9.99999999999999e+16
RE1,EMICH4,2034,9.99999999999999e+16
RE1,EMICH4,2035,9.99999999999999e+16
RE1,EMICH4,2036,9.99999999999999e+16
RE1,EMICH4,2037,9.99999999999999e+16
RE1,EMICH4,2038,9.99999999999999e+16
RE1,EMICH4,2039,9.99999999999999e+16
RE1,EMICH4,2040,9.99999999999999e+16
RE1,EMICH4,2041,9.99999999999999e+16
RE1,EMICH4,2042,9.99999999999999e+16
RE1,EMICH4,2043,9.99999999999999e+16
RE1,EMICH4,2044,9.99999999999999e+16
RE1,EMICH4,2045,9.99999999999999e+16
RE1,EMICH4,2046,9.99999999999999e+16
RE1,EMICH4,2047,9.99999999999999e+16
RE1,EMICH4,2048,9.99999999999999e+16
RE1,EMICH4,2049,9.99999999999999e+16
RE1,EMICH4,2050,9.99999999999999e+16
RE1,EMICH4,2051,9.99999999999999e+16
RE1,EMICH4,2052,9.99999999999999e+16
RE1,EMICH4,2053,9.99999999999999e+16
RE1,EMICH4,2054,9.99999999999999e+16
RE1,EMICO2,2022,9.99999999999999e+16
RE1,EMICO2,2023,9.99999999999999e+16
RE1,EMICO2,2024,9.99999999999999e+16
RE1,EMICO2,2025,9.99999999999999e+16
RE1,EMICO2,2026,9.99999999999999e+16
RE1,EMICO2,2027,9.99999999999999e+16
RE1,EMICO2,2028,9.99999999999999e+16
RE1,EMICO2,2029,9.99999999999999e+16
RE1,EMICO2,2030,9.99999999999999e+16
RE1,EMICO2,2031,9.99999999999999e+16
RE1,EMICO2,2032,9.99999999999999e+16
RE1,EMICO2,2033,9.99999999999999e+16
RE1,EMICO2,2034,9.99999999999999e+16
RE1,EMICO2,2035,72.290197713
RE1,EMICO2,2036,66.723298269
RE1,EMICO2,2037,61.199708427
RE1,EMICO2,2038,54.745636204
RE1,EMICO2,2039,49.20177714
RE1,EMICO2,2040,43.341429845
RE1,EMICO2,2041,41.198533153
RE1,EMICO2,2042,38.892813519
RE1,EMICO2,2043,36.555074339
RE1,EMICO2,2044,34.060276838
RE1,EMICO2,2045,31.629722607
RE1,EMICO2,2046,29.353687901
RE1,EMICO2,2047,27.0774805
RE1,EMICO2,2048,24.852421188
RE1,EMICO2,2049,22.470710987
RE1,EMICO2,2050,20.134972635
RE1,EMICO2,2051,20.295858438
RE1,EMICO2,2052,20.505981258
RE1,EMICO2,2053,20.71951806
RE1,EMICO2,2054,21.3
RE1,EMIN2O,2022,9.99999999999999e+16
RE1,EMIN2O,2023,9.99999999999999e+16
RE1,EMIN2O,2024,9.99999999999999e+16
RE1,EMIN2O,2025,9.99999999999999e+16
RE1,EMIN2O,2026,9.99999999999999e+16
RE1,EMIN2O,2027,9.99999999999999e+16
RE1,EMIN2O,2028,9.99999999999999e+16
RE1,EMIN2O,2029,9.99999999999999e+16
RE1,EMIN2O,2030,9.99999999999999e+16
RE1,EMIN2O,2031,9.99999999999999e+16
RE1,EMIN2O,2032,9.99999999999999e+16
RE1,EMIN2O,2033,9.99999999999999e+16
RE1,EMIN2O,2034,9.99999999999999e+16
RE1,EMIN2O,2035,9.99999999999999e+16
RE1,EMIN2O,2036,9.99999999999999e+16
RE1,EMIN2O,2037,9.99999999999999e+16
RE1,EMIN2O,2038,9.99999999999999e+16
RE1,EMIN2O,2039,9.99999999999999e+16
RE1,EMIN2O,2040,9.99999999999999e+16
RE1,EMIN2O,2041,9.99999999999999e+16
RE1,EMIN2O,2042,9.99999999999999e+16
RE1,EMIN2O,2043,9.99999999999999e+16
RE1,EMIN2O,2044,9.99999999999999e+16
RE1,EMIN2O,2045,9.99999999999999e+16
RE1,EMIN2O,2046,9.99999999999999e+16
RE1,EMIN2O,2047,9.99999999999999e+16
RE1,EMIN2O,2048,9.99999999999999e+16
RE1,EMIN2O,2049,9.99999999999999e+16
RE1,EMIN2O,2050,9.99999999999999e+16
RE1,EMIN2O,2051,9.99999999999999e+16
RE1,EMIN2O,2052,9.99999999999999e+16
RE1,EMIN2O,2053,9.99999999999999e+16
RE1,EMIN2O,2054,9.99999999999999e+16
