REGION,TECHNOLOGY,YEAR,VALUE
RE1,AN_DEMAGFDSL,2022,0.5534432394411917
RE1,AN_DEMAGFDSL,2023,0.5700465366244274
RE1,AN_DEMAGFDSL,2024,0.5871479327231602
RE1,AN_DEMAGFDSL,2025,0.6047623707048551
RE1,AN_DEMAGFDSL,2026,0.6229052418260007
RE1,AN_DEMAGFDSL,2027,0.6415923990807807
RE1,AN_DEMAGFDSL,2028,0.6608401710532041
RE1,AN_DEMAGFDSL,2029,0.6806653761848003
RE1,AN_DEMAGFDSL,2030,0.7010853374703443
RE1,AN_DEMAGFDSL,2031,0.7221178975944547
RE1,AN_DEMAGFDSL,2032,0.7437814345222883
RE1,AN_DEMAGFDSL,2033,0.7660948775579569
RE1,AN_DEMAGFDSL,2034,0.7890777238846957
RE1,AN_DEMAGFDSL,2035,0.8127500556012366
RE1,AN_DEMAGFDSL,2036,0.8371325572692737
RE1,AN_DEMAGFDSL,2037,0.862246533987352
RE1,AN_DEMAGFDSL,2038,0.8881139300069726
RE1,AN_DEMAGFDSL,2039,0.9147573479071818
RE1,AN_DEMAGFDSL,2040,0.9422000683443973
RE1,AN_DEMAGFDSL,2041,0.9704660703947292
RE1,AN_DEMAGFDSL,2042,0.9995800525065711
RE1,AN_DEMAGFDSL,2043,1.029567454081768
RE1,AN_DEMAGFDSL,2044,1.060454477704221
RE1,AN_DEMAGFDSL,2045,1.092268112035348
RE1,AN_DEMAGFDSL,2046,1.125036155396408
RE1,AN_DEMAGFDSL,2047,1.158787240058301
RE1,AN_DEMAGFDSL,2048,1.19355085726005
RE1,AN_DEMAGFDSL,2049,1.229357382977851
RE1,AN_DEMAGFDSL,2050,1.266238104467187
RE1,AN_DEMAGFDSL,2051,1.304225247601203
RE1,AN_DEMAGFDSL,2052,1.343352005029239
RE1,AN_DEMAGFDSL,2053,1.343352005029239
RE1,AN_DEMAGFDSL,2054,1.343352005029239
RE1,AN_DEMAGFELC,2022,0.0
RE1,AN_DEMAGFELC,2023,0.0
RE1,AN_DEMAGFELC,2024,0.0
RE1,AN_DEMAGFELC,2025,0.0
RE1,AN_DEMAGFELC,2026,0.0
RE1,AN_DEMAGFELC,2027,0.0
RE1,AN_DEMAGFELC,2028,0.0
RE1,AN_DEMAGFELC,2029,0.0
RE1,AN_DEMAGFELC,2030,0.0
RE1,AN_DEMAGFELC,2031,0.0
RE1,AN_DEMAGFELC,2032,0.0
RE1,AN_DEMAGFELC,2033,0.0
RE1,AN_DEMAGFELC,2034,0.0
RE1,AN_DEMAGFELC,2035,0.0
RE1,AN_DEMAGFELC,2036,0.0
RE1,AN_DEMAGFELC,2037,0.0
RE1,AN_DEMAGFELC,2038,0.0
RE1,AN_DEMAGFELC,2039,0.0
RE1,AN_DEMAGFELC,2040,0.0
RE1,AN_DEMAGFELC,2041,0.0
RE1,AN_DEMAGFELC,2042,0.0
RE1,AN_DEMAGFELC,2043,0.0
RE1,AN_DEMAGFELC,2044,0.0
RE1,AN_DEMAGFELC,2045,0.0
RE1,AN_DEMAGFELC,2046,0.0
RE1,AN_DEMAGFELC,2047,0.0
RE1,AN_DEMAGFELC,2048,0.0
RE1,AN_DEMAGFELC,2049,0.0
RE1,AN_DEMAGFELC,2050,0.0
RE1,AN_DEMAGFELC,2051,0.0
RE1,AN_DEMAGFELC,2052,0.0
RE1,AN_DEMAGFELC,2053,0.0
RE1,AN_DEMAGFELC,2054,0.0
RE1,AN_DEMAGFGSL,2022,0.5534432394411917
RE1,AN_DEMAGFGSL,2023,0.5700465366244274
RE1,AN_DEMAGFGSL,2024,0.5871479327231602
RE1,AN_DEMAGFGSL,2025,0.6047623707048551
RE1,AN_DEMAGFGSL,2026,0.6229052418260007
RE1,AN_DEMAGFGSL,2027,0.6415923990807807
RE1,AN_DEMAGFGSL,2028,0.6608401710532041
RE1,AN_DEMAGFGSL,2029,0.6806653761848003
RE1,AN_DEMAGFGSL,2030,0.7010853374703443
RE1,AN_DEMAGFGSL,2031,0.7221178975944547
RE1,AN_DEMAGFGSL,2032,0.7437814345222883
RE1,AN_DEMAGFGSL,2033,0.7660948775579569
RE1,AN_DEMAGFGSL,2034,0.7890777238846957
RE1,AN_DEMAGFGSL,2035,0.8127500556012366
RE1,AN_DEMAGFGSL,2036,0.8371325572692737
RE1,AN_DEMAGFGSL,2037,0.862246533987352
RE1,AN_DEMAGFGSL,2038,0.8881139300069726
RE1,AN_DEMAGFGSL,2039,0.9147573479071818
RE1,AN_DEMAGFGSL,2040,0.9422000683443973
RE1,AN_DEMAGFGSL,2041,0.9704660703947292
RE1,AN_DEMAGFGSL,2042,0.9995800525065711
RE1,AN_DEMAGFGSL,2043,1.029567454081768
RE1,AN_DEMAGFGSL,2044,1.060454477704221
RE1,AN_DEMAGFGSL,2045,1.092268112035348
RE1,AN_DEMAGFGSL,2046,1.125036155396408
RE1,AN_DEMAGFGSL,2047,1.158787240058301
RE1,AN_DEMAGFGSL,2048,1.19355085726005
RE1,AN_DEMAGFGSL,2049,1.229357382977851
RE1,AN_DEMAGFGSL,2050,1.266238104467187
RE1,AN_DEMAGFGSL,2051,1.304225247601203
RE1,AN_DEMAGFGSL,2052,1.343352005029239
RE1,AN_DEMAGFGSL,2053,1.343352005029239
RE1,AN_DEMAGFGSL,2054,1.343352005029239
RE1,AN_DEMAGFNGS,2022,0.5534432394411917
RE1,AN_DEMAGFNGS,2023,0.5700465366244274
RE1,AN_DEMAGFNGS,2024,0.5871479327231602
RE1,AN_DEMAGFNGS,2025,0.6047623707048551
RE1,AN_DEMAGFNGS,2026,0.6229052418260007
RE1,AN_DEMAGFNGS,2027,0.6415923990807807
RE1,AN_DEMAGFNGS,2028,0.6608401710532041
RE1,AN_DEMAGFNGS,2029,0.6806653761848003
RE1,AN_DEMAGFNGS,2030,0.7010853374703443
RE1,AN_DEMAGFNGS,2031,0.7221178975944547
RE1,AN_DEMAGFNGS,2032,0.7437814345222883
RE1,AN_DEMAGFNGS,2033,0.7660948775579569
RE1,AN_DEMAGFNGS,2034,0.7890777238846957
RE1,AN_DEMAGFNGS,2035,0.8127500556012366
RE1,AN_DEMAGFNGS,2036,0.8371325572692737
RE1,AN_DEMAGFNGS,2037,0.862246533987352
RE1,AN_DEMAGFNGS,2038,0.8881139300069726
RE1,AN_DEMAGFNGS,2039,0.9147573479071818
RE1,AN_DEMAGFNGS,2040,0.9422000683443973
RE1,AN_DEMAGFNGS,2041,0.9704660703947292
RE1,AN_DEMAGFNGS,2042,0.9995800525065711
RE1,AN_DEMAGFNGS,2043,1.029567454081768
RE1,AN_DEMAGFNGS,2044,1.060454477704221
RE1,AN_DEMAGFNGS,2045,1.092268112035348
RE1,AN_DEMAGFNGS,2046,1.125036155396408
RE1,AN_DEMAGFNGS,2047,1.158787240058301
RE1,AN_DEMAGFNGS,2048,1.19355085726005
RE1,AN_DEMAGFNGS,2049,1.229357382977851
RE1,AN_DEMAGFNGS,2050,1.266238104467187
RE1,AN_DEMAGFNGS,2051,1.304225247601203
RE1,AN_DEMAGFNGS,2052,1.343352005029239
RE1,AN_DEMAGFNGS,2053,1.343352005029239
RE1,AN_DEMAGFNGS,2054,1.343352005029239
RE1,AN_DEMAGFWOO,2022,0.5534432394411917
RE1,AN_DEMAGFWOO,2023,0.5700465366244274
RE1,AN_DEMAGFWOO,2024,0.5871479327231602
RE1,AN_DEMAGFWOO,2025,0.6047623707048551
RE1,AN_DEMAGFWOO,2026,0.6229052418260007
RE1,AN_DEMAGFWOO,2027,0.6415923990807807
RE1,AN_DEMAGFWOO,2028,0.6608401710532041
RE1,AN_DEMAGFWOO,2029,0.6806653761848003
RE1,AN_DEMAGFWOO,2030,0.7010853374703443
RE1,AN_DEMAGFWOO,2031,0.7221178975944547
RE1,AN_DEMAGFWOO,2032,0.7437814345222883
RE1,AN_DEMAGFWOO,2033,0.7660948775579569
RE1,AN_DEMAGFWOO,2034,0.7890777238846957
RE1,AN_DEMAGFWOO,2035,0.8127500556012366
RE1,AN_DEMAGFWOO,2036,0.8371325572692737
RE1,AN_DEMAGFWOO,2037,0.862246533987352
RE1,AN_DEMAGFWOO,2038,0.8881139300069726
RE1,AN_DEMAGFWOO,2039,0.9147573479071818
RE1,AN_DEMAGFWOO,2040,0.9422000683443973
RE1,AN_DEMAGFWOO,2041,0.9704660703947292
RE1,AN_DEMAGFWOO,2042,0.9995800525065711
RE1,AN_DEMAGFWOO,2043,1.029567454081768
RE1,AN_DEMAGFWOO,2044,1.060454477704221
RE1,AN_DEMAGFWOO,2045,1.092268112035348
RE1,AN_DEMAGFWOO,2046,1.125036155396408
RE1,AN_DEMAGFWOO,2047,1.158787240058301
RE1,AN_DEMAGFWOO,2048,1.19355085726005
RE1,AN_DEMAGFWOO,2049,1.229357382977851
RE1,AN_DEMAGFWOO,2050,1.266238104467187
RE1,AN_DEMAGFWOO,2051,1.304225247601203
RE1,AN_DEMAGFWOO,2052,1.343352005029239
RE1,AN_DEMAGFWOO,2053,1.343352005029239
RE1,AN_DEMAGFWOO,2054,1.343352005029239
RE1,AN_DEMINDAUTBOI,2022,0.0
RE1,AN_DEMINDAUTBOI,2023,0.0
RE1,AN_DEMINDAUTBOI,2024,0.0
RE1,AN_DEMINDAUTBOI,2025,0.0
RE1,AN_DEMINDAUTBOI,2026,0.0
RE1,AN_DEMINDAUTBOI,2027,0.0
RE1,AN_DEMINDAUTBOI,2028,0.0
RE1,AN_DEMINDAUTBOI,2029,0.0
RE1,AN_DEMINDAUTBOI,2030,0.0
RE1,AN_DEMINDAUTBOI,2031,0.0
RE1,AN_DEMINDAUTBOI,2032,0.0
RE1,AN_DEMINDAUTBOI,2033,0.0
RE1,AN_DEMINDAUTBOI,2034,0.0
RE1,AN_DEMINDAUTBOI,2035,0.0
RE1,AN_DEMINDAUTBOI,2036,0.0
RE1,AN_DEMINDAUTBOI,2037,0.0
RE1,AN_DEMINDAUTBOI,2038,0.0
RE1,AN_DEMINDAUTBOI,2039,0.0
RE1,AN_DEMINDAUTBOI,2040,0.0
RE1,AN_DEMINDAUTBOI,2041,0.0
RE1,AN_DEMINDAUTBOI,2042,0.0
RE1,AN_DEMINDAUTBOI,2043,0.0
RE1,AN_DEMINDAUTBOI,2044,0.0
RE1,AN_DEMINDAUTBOI,2045,0.0
RE1,AN_DEMINDAUTBOI,2046,0.0
RE1,AN_DEMINDAUTBOI,2047,0.0
RE1,AN_DEMINDAUTBOI,2048,0.0
RE1,AN_DEMINDAUTBOI,2049,0.0
RE1,AN_DEMINDAUTBOI,2050,0.0
RE1,AN_DEMINDAUTBOI,2051,0.0
RE1,AN_DEMINDAUTBOI,2052,0.0
RE1,AN_DEMINDAUTBOI,2053,0.0
RE1,AN_DEMINDAUTBOI,2054,0.0
RE1,AN_DEMINDAUTFUR,2022,0.0
RE1,AN_DEMINDAUTFUR,2023,0.0
RE1,AN_DEMINDAUTFUR,2024,0.0
RE1,AN_DEMINDAUTFUR,2025,0.0
RE1,AN_DEMINDAUTFUR,2026,0.0
RE1,AN_DEMINDAUTFUR,2027,0.0
RE1,AN_DEMINDAUTFUR,2028,0.0
RE1,AN_DEMINDAUTFUR,2029,0.0
RE1,AN_DEMINDAUTFUR,2030,0.0
RE1,AN_DEMINDAUTFUR,2031,0.0
RE1,AN_DEMINDAUTFUR,2032,0.0
RE1,AN_DEMINDAUTFUR,2033,0.0
RE1,AN_DEMINDAUTFUR,2034,0.0
RE1,AN_DEMINDAUTFUR,2035,0.0
RE1,AN_DEMINDAUTFUR,2036,0.0
RE1,AN_DEMINDAUTFUR,2037,0.0
RE1,AN_DEMINDAUTFUR,2038,0.0
RE1,AN_DEMINDAUTFUR,2039,0.0
RE1,AN_DEMINDAUTFUR,2040,0.0
RE1,AN_DEMINDAUTFUR,2041,0.0
RE1,AN_DEMINDAUTFUR,2042,0.0
RE1,AN_DEMINDAUTFUR,2043,0.0
RE1,AN_DEMINDAUTFUR,2044,0.0
RE1,AN_DEMINDAUTFUR,2045,0.0
RE1,AN_DEMINDAUTFUR,2046,0.0
RE1,AN_DEMINDAUTFUR,2047,0.0
RE1,AN_DEMINDAUTFUR,2048,0.0
RE1,AN_DEMINDAUTFUR,2049,0.0
RE1,AN_DEMINDAUTFUR,2050,0.0
RE1,AN_DEMINDAUTFUR,2051,0.0
RE1,AN_DEMINDAUTFUR,2052,0.0
RE1,AN_DEMINDAUTFUR,2053,0.0
RE1,AN_DEMINDAUTFUR,2054,0.0
RE1,AN_DEMINDBGSBOI_HIG,2022,3.213
RE1,AN_DEMINDBGSBOI_HIG,2023,3.213
RE1,AN_DEMINDBGSBOI_HIG,2024,3.213
RE1,AN_DEMINDBGSBOI_HIG,2025,3.213
RE1,AN_DEMINDBGSBOI_HIG,2026,3.213
RE1,AN_DEMINDBGSBOI_HIG,2027,3.213
RE1,AN_DEMINDBGSBOI_HIG,2028,3.213
RE1,AN_DEMINDBGSBOI_HIG,2029,3.213
RE1,AN_DEMINDBGSBOI_HIG,2030,3.213
RE1,AN_DEMINDBGSBOI_HIG,2031,3.213
RE1,AN_DEMINDBGSBOI_HIG,2032,3.213
RE1,AN_DEMINDBGSBOI_HIG,2033,3.213
RE1,AN_DEMINDBGSBOI_HIG,2034,3.213
RE1,AN_DEMINDBGSBOI_HIG,2035,3.213
RE1,AN_DEMINDBGSBOI_HIG,2036,3.213
RE1,AN_DEMINDBGSBOI_HIG,2037,3.213
RE1,AN_DEMINDBGSBOI_HIG,2038,3.213
RE1,AN_DEMINDBGSBOI_HIG,2039,3.213
RE1,AN_DEMINDBGSBOI_HIG,2040,3.213
RE1,AN_DEMINDBGSBOI_HIG,2041,3.213
RE1,AN_DEMINDBGSBOI_HIG,2042,3.213
RE1,AN_DEMINDBGSBOI_HIG,2043,3.213
RE1,AN_DEMINDBGSBOI_HIG,2044,3.213
RE1,AN_DEMINDBGSBOI_HIG,2045,3.213
RE1,AN_DEMINDBGSBOI_HIG,2046,3.213
RE1,AN_DEMINDBGSBOI_HIG,2047,3.213
RE1,AN_DEMINDBGSBOI_HIG,2048,3.213
RE1,AN_DEMINDBGSBOI_HIG,2049,3.213
RE1,AN_DEMINDBGSBOI_HIG,2050,3.213
RE1,AN_DEMINDBGSBOI_HIG,2051,3.213
RE1,AN_DEMINDBGSBOI_HIG,2052,3.213
RE1,AN_DEMINDBGSBOI_HIG,2053,3.213
RE1,AN_DEMINDBGSBOI_HIG,2054,3.213
