REGION,TECHNOLOGY,YEAR,VALUE
RE1,AN_MINBAG,2022,999999.0
RE1,AN_MINBAG,2023,999999.0
RE1,AN_MINBAG,2024,999999.0
RE1,AN_MINBAG,2025,999999.0
RE1,AN_MINBAG,2026,999999.0
RE1,AN_MINBAG,2027,999999.0
RE1,AN_MINBAG,2028,999999.0
RE1,AN_MINBAG,2029,999999.0
RE1,AN_MINBAG,2030,999999.0
RE1,AN_MINBAG,2031,999999.0
RE1,AN_MINBAG,2032,999999.0
RE1,AN_MINBAG,2033,999999.0
RE1,AN_MINBAG,2034,999999.0
RE1,AN_MINBAG,2035,999999.0
RE1,AN_MINBAG,2036,999999.0
RE1,AN_MINBAG,2037,999999.0
RE1,AN_MINBAG,2038,999999.0
RE1,AN_MINBAG,2039,999999.0
RE1,AN_MINBAG,2040,999999.0
RE1,AN_MINBAG,2041,999999.0
RE1,AN_MINBAG,2042,999999.0
RE1,AN_MINBAG,2043,999999.0
RE1,AN_MINBAG,2044,999999.0
RE1,AN_MINBAG,2045,999999.0
RE1,AN_MINBAG,2046,999999.0
RE1,AN_MINBAG,2047,999999.0
RE1,AN_MINBAG,2048,999999.0
RE1,AN_MINBAG,2049,999999.0
RE1,AN_MINBAG,2050,999999.0
RE1,AN_MINBAG,2051,999999.0
RE1,AN_MINBAG,2052,999999.0
RE1,AN_MINBAG,2053,999999.0
RE1,AN_MINBAG,2054,999999.0
RE1,AN_MINCOA,2022,999999.0
RE1,AN_MINCOA,2023,999999.0
RE1,AN_MINCOA,2024,999999.0
RE1,AN_MINCOA,2025,999999.0
RE1,AN_MINCOA,2026,999999.0
RE1,AN_MINCOA,2027,999999.0
RE1,AN_MINCOA,2028,999999.0
RE1,AN_MINCOA,2029,999999.0
RE1,AN_MINCOA,2030,999999.0
RE1,AN_MINCOA,2031,999999.0
RE1,AN_MINCOA,2032,999999.0
RE1,AN_MINCOA,2033,999999.0
RE1,AN_MINCOA,2034,999999.0
RE1,AN_MINCOA,2035,999999.0
RE1,AN_MINCOA,2036,999999.0
RE1,AN_MINCOA,2037,999999.0
RE1,AN_MINCOA,2038,999999.0
RE1,AN_MINCOA,2039,999999.0
RE1,AN_MINCOA,2040,999999.0
RE1,AN_MINCOA,2041,999999.0
RE1,AN_MINCOA,2042,999999.0
RE1,AN_MINCOA,2043,999999.0
RE1,AN_MINCOA,2044,999999.0
RE1,AN_MINCOA,2045,999999.0
RE1,AN_MINCOA,2046,999999.0
RE1,AN_MINCOA,2047,999999.0
RE1,AN_MINCOA,2048,999999.0
RE1,AN_MINCOA,2049,999999.0
RE1,AN_MINCOA,2050,999999.0
RE1,AN_MINCOA,2051,999999.0
RE1,AN_MINCOA,2052,999999.0
RE1,AN_MINCOA,2053,999999.0
RE1,AN_MINCOA,2054,999999.0
RE1,AN_MINNGS,2022,999999.0
RE1,AN_MINNGS,2023,999999.0
RE1,AN_MINNGS,2024,999999.0
RE1,AN_MINNGS,2025,999999.0
RE1,AN_MINNGS,2026,999999.0
RE1,AN_MINNGS,2027,999999.0
RE1,AN_MINNGS,2028,999999.0
RE1,AN_MINNGS,2029,999999.0
RE1,AN_MINNGS,2030,999999.0
RE1,AN_MINNGS,2031,999999.0
RE1,AN_MINNGS,2032,999999.0
RE1,AN_MINNGS,2033,999999.0
RE1,AN_MINNGS,2034,999999.0
RE1,AN_MINNGS,2035,999999.0
RE1,AN_MINNGS,2036,999999.0
RE1,AN_MINNGS,2037,999999.0
RE1,AN_MINNGS,2038,999999.0
RE1,AN_MINNGS,2039,999999.0
RE1,AN_MINNGS,2040,999999.0
RE1,AN_MINNGS,2041,999999.0
RE1,AN_MINNGS,2042,999999.0
RE1,AN_MINNGS,2043,999999.0
RE1,AN_MINNGS,2044,999999.0
RE1,AN_MINNGS,2045,999999.0
RE1,AN_MINNGS,2046,999999.0
RE1,AN_MINNGS,2047,999999.0
RE1,AN_MINNGS,2048,999999.0
RE1,AN_MINNGS,2049,999999.0
RE1,AN_MINNGS,2050,999999.0
RE1,AN_MINNGS,2051,999999.0
RE1,AN_MINNGS,2052,999999.0
RE1,AN_MINNGS,2053,999999.0
RE1,AN_MINNGS,2054,999999.0
RE1,AN_MINOIL_1LIV,2022,999999.0
RE1,AN_MINOIL_1LIV,2023,999999.0
RE1,AN_MINOIL_1LIV,2024,999999.0
RE1,AN_MINOIL_1LIV,2025,999999.0
RE1,AN_MINOIL_1LIV,2026,999999.0
RE1,AN_MINOIL_1LIV,2027,999999.0
RE1,AN_MINOIL_1LIV,2028,999999.0
RE1,AN_MINOIL_1LIV,2029,999999.0
RE1,AN_MINOIL_1LIV,2030,999999.0
RE1,AN_MINOIL_1LIV,2031,999999.0
RE1,AN_MINOIL_1LIV,2032,999999.0
RE1,AN_MINOIL_1LIV,2033,999999.0
RE1,AN_MINOIL_1LIV,2034,999999.0
RE1,AN_MINOIL_1LIV,2035,999999.0
RE1,AN_MINOIL_1LIV,2036,999999.0
RE1,AN_MINOIL_1LIV,2037,999999.0
RE1,AN_MINOIL_1LIV,2038,999999.0
RE1,AN_MINOIL_1LIV,2039,999999.0
RE1,AN_MINOIL_1LIV,2040,999999.0
RE1,AN_MINOIL_1LIV,2041,999999.0
RE1,AN_MINOIL_1LIV,2042,999999.0
RE1,AN_MINOIL_1LIV,2043,999999.0
RE1,AN_MINOIL_1LIV,2044,999999.0
RE1,AN_MINOIL_1LIV,2045,999999.0
RE1,AN_MINOIL_1LIV,2046,999999.0
RE1,AN_MINOIL_1LIV,2047,999999.0
RE1,AN_MINOIL_1LIV,2048,999999.0
RE1,AN_MINOIL_1LIV,2049,999999.0
RE1,AN_MINOIL_1LIV,2050,999999.0
RE1,AN_MINOIL_1LIV,2051,999999.0
RE1,AN_MINOIL_1LIV,2052,999999.0
RE1,AN_MINOIL_1LIV,2053,999999.0
RE1,AN_MINOIL_1LIV,2054,999999.0
RE1,AN_MINOIL_2MID,2022,999999.0
RE1,AN_MINOIL_2MID,2023,999999.0
RE1,AN_MINOIL_2MID,2024,999999.0
RE1,AN_MINOIL_2MID,2025,999999.0
RE1,AN_MINOIL_2MID,2026,999999.0
RE1,AN_MINOIL_2MID,2027,999999.0
