REGION,TECHNOLOGY,YEAR,VALUE
RE1,AN_MINBAG,2022,0.0
RE1,AN_MINBAG,2023,0.0
RE1,AN_MINBAG,2024,0.0
RE1,AN_MINBAG,2025,0.0
RE1,AN_MINBAG,2026,0.0
RE1,AN_MINBAG,2027,0.0
RE1,AN_MINBAG,2028,0.0
RE1,AN_MINBAG,2029,0.0
RE1,AN_MINBAG,2030,0.0
RE1,AN_MINBAG,2031,0.0
RE1,AN_MINBAG,2032,0.0
RE1,AN_MINBAG,2033,0.0
RE1,AN_MINBAG,2034,0.0
RE1,AN_MINBAG,2035,0.0
RE1,AN_MINBAG,2036,0.0
RE1,AN_MINBAG,2037,0.0
RE1,AN_MINBAG,2038,0.0
RE1,AN_MINBAG,2039,0.0
RE1,AN_MINBAG,2040,0.0
RE1,AN_MINBAG,2041,0.0
RE1,AN_MINBAG,2042,0.0
RE1,AN_MINBAG,2043,0.0
RE1,AN_MINBAG,2044,0.0
RE1,AN_MINBAG,2045,0.0
RE1,AN_MINBAG,2046,0.0
RE1,AN_MINBAG,2047,0.0
RE1,AN_MINBAG,2048,0.0
RE1,AN_MINBAG,2049,0.0
RE1,AN_MINBAG,2050,0.0
RE1,AN_MINBAG,2051,0.0
RE1,AN_MINBAG,2052,0.0
RE1,AN_MINBAG,2053,0.0
RE1,AN_MINBAG,2054,0.0
RE1,AN_MINCOA,2022,0.0
RE1,AN_MINCOA,2023,0.0
RE1,AN_MINCOA,2024,0.0
RE1,AN_MINCOA,2025,0.0
RE1,AN_MINCOA,2026,0.0
RE1,AN_MINCOA,2027,0.0
RE1,AN_MINCOA,2028,0.0
RE1,AN_MINCOA,2029,0.0
RE1,AN_MINCOA,2030,0.0
RE1,AN_MINCOA,2031,0.0
RE1,AN_MINCOA,2032,0.0
RE1,AN_MINCOA,2033,0.0
RE1,AN_MINCOA,2034,0.0
RE1,AN_MINCOA,2035,0.0
RE1,AN_MINCOA,2036,0.0
RE1,AN_MINCOA,2037,0.0
RE1,AN_MINCOA,2038,0.0
RE1,AN_MINCOA,2039,0.0
RE1,AN_MINCOA,2040,0.0
RE1,AN_MINCOA,2041,0.0
RE1,AN_MINCOA,2042,0.0
RE1,AN_MINCOA,2043,0.0
RE1,AN_MINCOA,2044,0.0
RE1,AN_MINCOA,2045,0.0
RE1,AN_MINCOA,2046,0.0
RE1,AN_MINCOA,2047,0.0
RE1,AN_MINCOA,2048,0.0
RE1,AN_MINCOA,2049,0.0
RE1,AN_MINCOA,2050,0.0
RE1,AN_MINCOA,2051,0.0
RE1,AN_MINCOA,2052,0.0
RE1,AN_MINCOA,2053,0.0
RE1,AN_MINCOA,2054,0.0
RE1,AN_MINNGS,2022,0.0
RE1,AN_MINNGS,2023,0.0
RE1,AN_MINNGS,2024,0.0
RE1,AN_MINNGS,2025,0.0
RE1,AN_MINNGS,2026,0.0
RE1,AN_MINNGS,2027,0.0
RE1,AN_MINNGS,2028,0.0
RE1,AN_MINNGS,2029,0.0
RE1,AN_MINNGS,2030,0.0
RE1,AN_MINNGS,2031,0.0
RE1,AN_MINNGS,2032,0.0
RE1,AN_MINNGS,2033,0.0
RE1,AN_MINNGS,2034,0.0
RE1,AN_MINNGS,2035,0.0
RE1,AN_MINNGS,2036,0.0
RE1,AN_MINNGS,2037,0.0
RE1,AN_MINNGS,2038,0.0
RE1,AN_MINNGS,2039,0.0
RE1,AN_MINNGS,2040,0.0
RE1,AN_MINNGS,2041,0.0
RE1,AN_MINNGS,2042,0.0
RE1,AN_MINNGS,2043,0.0
RE1,AN_MINNGS,2044,0.0
RE1,AN_MINNGS,2045,0.0
RE1,AN_MINNGS,2046,0.0
RE1,AN_MINNGS,2047,0.0
RE1,AN_MINNGS,2048,0.0
RE1,AN_MINNGS,2049,0.0
RE1,AN_MINNGS,2050,0.0
RE1,AN_MINNGS,2051,0.0
RE1,AN_MINNGS,2052,0.0
RE1,AN_MINNGS,2053,0.0
RE1,AN_MINNGS,2054,0.0
RE1,AN_MINOIL_1LIV,2022,0.0
RE1,AN_MINOIL_1LIV,2023,0.0
RE1,AN_MINOIL_1LIV,2024,0.0
RE1,AN_MINOIL_1LIV,2025,0.0
RE1,AN_MINOIL_1LIV,2026,0.0
RE1,AN_MINOIL_1LIV,2027,0.0
RE1,AN_MINOIL_1LIV,2028,0.0
RE1,AN_MINOIL_1LIV,2029,0.0
RE1,AN_MINOIL_1LIV,2030,0.0
RE1,AN_MINOIL_1LIV,2031,0.0
RE1,AN_MINOIL_1LIV,2032,0.0
RE1,AN_MINOIL_1LIV,2033,0.0
RE1,AN_MINOIL_1LIV,2034,0.0
RE1,AN_MINOIL_1LIV,2035,0.0
RE1,AN_MINOIL_1LIV,2036,0.0
RE1,AN_MINOIL_1LIV,2037,0.0
RE1,AN_MINOIL_1LIV,2038,0.0
RE1,AN_MINOIL_1LIV,2039,0.0
RE1,AN_MINOIL_1LIV,2040,0.0
RE1,AN_MINOIL_1LIV,2041,0.0
RE1,AN_MINOIL_1LIV,2042,0.0
RE1,AN_MINOIL_1LIV,2043,0.0
RE1,AN_MINOIL_1LIV,2044,0.0
RE1,AN_MINOIL_1LIV,2045,0.0
RE1,AN_MINOIL_1LIV,2046,0.0
RE1,AN_MINOIL_1LIV,2047,0.0
RE1,AN_MINOIL_1LIV,2048,0.0
RE1,AN_MINOIL_1LIV,2049,0.0
RE1,AN_MINOIL_1LIV,2050,0.0
RE1,AN_MINOIL_1LIV,2051,0.0
RE1,AN_MINOIL_1LIV,2052,0.0
RE1,AN_MINOIL_1LIV,2053,0.0
RE1,AN_MINOIL_1LIV,2054,0.0
RE1,AN_MINOIL_2MID,2022,0.0
RE1,AN_MINOIL_2MID,2023,0.0
RE1,AN_MINOIL_2MID,2024,0.0
RE1,AN_MINOIL_2MID,2025,0.0
RE1,AN_MINOIL_2MID,2026,0.0
RE1,AN_MINOIL_2MID,2027,0.0
RE1,AN_MINOIL_2MID,2028,0.0
RE1,AN_MINOIL_2MID,2029,0.0
RE1,AN_MINOIL_2MID,2030,0.0
RE1,AN_MINOIL_2MID,2031,0.0
RE1,AN_MINOIL_2MID,2032,0.0
RE1,AN_MINOIL_2MID,2033,0.0
RE1,AN_MINOIL_2MID,2034,0.0
RE1,AN_MINOIL_2MID,2035,0.0
RE1,AN_MINOIL_2MID,2036,0.0
RE1,AN_MINOIL_2MID,2037,0.0
RE1,AN_MINOIL_2MID,2038,0.0
RE1,AN_MINOIL_2MID,2039,0.0
RE1,AN_MINOIL_2MID,2040,0.0
RE1,AN_MINOIL_2MID,2041,0.0
RE1,AN_MINOIL_2MID,2042,0.0
RE1,AN_MINOIL_2MID,2043,0.0
RE1,AN_MINOIL_2MID,2044,0.0
RE1,AN_MINOIL_2MID,2045,0.0
RE1,AN_MINOIL_2MID,2046,0.0
RE1,AN_MINOIL_2MID,2047,0.0
RE1,AN_MINOIL_2MID,2048,0.0
RE1,AN_MINOIL_2MID,2049,0.0
RE1,AN_MINOIL_2MID,2050,0.0
RE1,AN_MINOIL_2MID,2051,0.0
RE1,AN_MINOIL_2MID,2052,0.0
RE1,AN_MINOIL_2MID,2053,0.0
RE1,AN_MINOIL_2MID,2054,0.0
RE1,AN_MINOIL_3PES,2022,0.0
RE1,AN_MINOIL_3PES,2023,0.0
RE1,AN_MINOIL_3PES,2024,0.0
RE1,AN_MINOIL_3PES,2025,0.0
RE1,AN_MINOIL_3PES,2026,0.0
RE1,AN_MINOIL_3PES,2027,0.0
RE1,AN_MINOIL_3PES,2028,0.0
RE1,AN_MINOIL_3PES,2029,0.0
RE1,AN_MINOIL_3PES,2030,0.0
RE1,AN_MINOIL_3PES,2031,0.0
RE1,AN_MINOIL_3PES,2032,0.0
RE1,AN_MINOIL_3PES,2033,0.0
RE1,AN_MINOIL_3PES,2034,0.0
RE1,AN_MINOIL_3PES,2035,0.0
RE1,AN_MINOIL_3PES,2036,0.0
