REGION,TECHNOLOGY,YEAR,VALUE
RE1,AN_DEMAGFDSL,2022,0.0
RE1,AN_DEMAGFDSL,2023,0.0
RE1,AN_DEMAGFDSL,2024,0.0
RE1,AN_DEMAGFDSL,2025,0.0
RE1,AN_DEMAGFDSL,2026,0.0
RE1,AN_DEMAGFDSL,2027,0.0
RE1,AN_DEMAGFDSL,2028,0.0
RE1,AN_DEMAGFDSL,2029,0.0
RE1,AN_DEMAGFDSL,2030,0.0
RE1,AN_DEMAGFDSL,2031,0.0
RE1,AN_DEMAGFDSL,2032,0.0
RE1,AN_DEMAGFDSL,2033,0.0
RE1,AN_DEMAGFDSL,2034,0.0
RE1,AN_DEMAGFDSL,2035,0.0
RE1,AN_DEMAGFDSL,2036,0.0
RE1,AN_DEMAGFDSL,2037,0.0
RE1,AN_DEMAGFDSL,2038,0.0
RE1,AN_DEMAGFDSL,2039,0.0
RE1,AN_DEMAGFDSL,2040,0.0
RE1,AN_DEMAGFDSL,2041,0.0
RE1,AN_DEMAGFDSL,2042,0.0
RE1,AN_DEMAGFDSL,2043,0.0
RE1,AN_DEMAGFDSL,2044,0.0
RE1,AN_DEMAGFDSL,2045,0.0
RE1,AN_DEMAGFDSL,2046,0.0
RE1,AN_DEMAGFDSL,2047,0.0
RE1,AN_DEMAGFDSL,2048,0.0
RE1,AN_DEMAGFDSL,2049,0.0
RE1,AN_DEMAGFDSL,2050,0.0
RE1,AN_DEMAGFDSL,2051,0.0
RE1,AN_DEMAGFDSL,2052,0.0
RE1,AN_DEMAGFDSL,2053,0.0
RE1,AN_DEMAGFDSL,2054,0.0
RE1,AN_DEMAGFELC,2022,0.0
RE1,AN_DEMAGFELC,2023,0.0
RE1,AN_DEMAGFELC,2024,0.0
RE1,AN_DEMAGFELC,2025,0.0
RE1,AN_DEMAGFELC,2026,0.0
RE1,AN_DEMAGFELC,2027,0.0
RE1,AN_DEMAGFELC,2028,0.0
RE1,AN_DEMAGFELC,2029,0.0
RE1,AN_DEMAGFELC,2030,0.0
RE1,AN_DEMAGFELC,2031,0.0
RE1,AN_DEMAGFELC,2032,0.0
RE1,AN_DEMAGFELC,2033,0.0
RE1,AN_DEMAGFELC,2034,0.0
RE1,AN_DEMAGFELC,2035,0.0
