REGION,TECHNOLOGY,YEAR,VALUE
RE1,AN_DEMAGFDSL,2022,3.04585592323286
RE1,AN_DEMAGFDSL,2023,3.09697191911819
RE1,AN_DEMAGFDSL,2024,3.34381501122903
RE1,AN_DEMAGFDSL,2025,3.46755921370703
RE1,AN_DEMAGFDSL,2026,3.56269761253684
RE1,AN_DEMAGFDSL,2027,0.0
RE1,AN_DEMAGFDSL,2028,0.0
RE1,AN_DEMAGFDSL,2029,0.0
RE1,AN_DEMAGFDSL,2030,0.0
RE1,AN_DEMAGFDSL,2031,0.0
RE1,AN_DEMAGFDSL,2032,0.0
RE1,AN_DEMAGFDSL,2033,0.0
RE1,AN_DEMAGFDSL,2034,0.0
RE1,AN_DEMAGFDSL,2035,0.0
RE1,AN_DEMAGFDSL,2036,0.0
RE1,AN_DEMAGFDSL,2037,0.0
RE1,AN_DEMAGFDSL,2038,0.0
RE1,AN_DEMAGFDSL,2039,0.0
RE1,AN_DEMAGFDSL,2040,0.0
RE1,AN_DEMAGFDSL,2041,0.0
RE1,AN_DEMAGFDSL,2042,0.0
RE1,AN_DEMAGFDSL,2043,0.0
RE1,AN_DEMAGFDSL,2044,0.0
RE1,AN_DEMAGFDSL,2045,0.0
RE1,AN_DEMAGFDSL,2046,0.0
RE1,AN_DEMAGFDSL,2047,0.0
RE1,AN_DEMAGFDSL,2048,0.0
RE1,AN_DEMAGFDSL,2049,0.0
RE1,AN_DEMAGFDSL,2050,0.0
RE1,AN_DEMAGFDSL,2051,0.0
RE1,AN_DEMAGFDSL,2052,0.0
RE1,AN_DEMAGFDSL,2053,0.0
RE1,AN_DEMAGFDSL,2054,0.0
RE1,AN_DEMAGFELC,2022,0.453785677594265
RE1,AN_DEMAGFELC,2023,0.477185138964453
RE1,AN_DEMAGFELC,2024,0.484971292730127
RE1,AN_DEMAGFELC,2025,0.502918573199316
RE1,AN_DEMAGFELC,2026,0.516717001675121
RE1,AN_DEMAGFELC,2027,0.0
RE1,AN_DEMAGFELC,2028,0.0
RE1,AN_DEMAGFELC,2029,0.0
RE1,AN_DEMAGFELC,2030,0.0
RE1,AN_DEMAGFELC,2031,0.0
RE1,AN_DEMAGFELC,2032,0.0
RE1,AN_DEMAGFELC,2033,0.0
RE1,AN_DEMAGFELC,2034,0.0
RE1,AN_DEMAGFELC,2035,0.0
RE1,AN_DEMAGFELC,2036,0.0
RE1,AN_DEMAGFELC,2037,0.0
RE1,AN_DEMAGFELC,2038,0.0
RE1,AN_DEMAGFELC,2039,0.0
RE1,AN_DEMAGFELC,2040,0.0
RE1,AN_DEMAGFELC,2041,0.0
RE1,AN_DEMAGFELC,2042,0.0
RE1,AN_DEMAGFELC,2043,0.0
RE1,AN_DEMAGFELC,2044,0.0
RE1,AN_DEMAGFELC,2045,0.0
RE1,AN_DEMAGFELC,2046,0.0
RE1,AN_DEMAGFELC,2047,0.0
RE1,AN_DEMAGFELC,2048,0.0
RE1,AN_DEMAGFELC,2049,0.0
RE1,AN_DEMAGFELC,2050,0.0
RE1,AN_DEMAGFELC,2051,0.0
RE1,AN_DEMAGFELC,2052,0.0
RE1,AN_DEMAGFELC,2053,0.0
RE1,AN_DEMAGFELC,2054,0.0
RE1,AN_DEMAGFGSL,2022,0.827900035154798
RE1,AN_DEMAGFGSL,2023,0.841793973893807
RE1,AN_DEMAGFGSL,2024,0.908888875325834
RE1,AN_DEMAGFGSL,2025,0.942524028179873
RE1,AN_DEMAGFGSL,2026,0.968383781791345
RE1,AN_DEMAGFGSL,2027,0.0
RE1,AN_DEMAGFGSL,2028,0.0
RE1,AN_DEMAGFGSL,2029,0.0
RE1,AN_DEMAGFGSL,2030,0.0
RE1,AN_DEMAGFGSL,2031,0.0
RE1,AN_DEMAGFGSL,2032,0.0
RE1,AN_DEMAGFGSL,2033,0.0
RE1,AN_DEMAGFGSL,2034,0.0
RE1,AN_DEMAGFGSL,2035,0.0
