REGION,TECHNOLOGY,YEAR,VALUE
RE1,AN_DEMAGFDSL,2022,99999.0
RE1,AN_DEMAGFDSL,2023,99999.0
RE1,AN_DEMAGFDSL,2024,99999.0
RE1,AN_DEMAGFDSL,2025,99999.0
RE1,AN_DEMAGFDSL,2026,99999.0
RE1,AN_DEMAGFDSL,2027,99999.0
RE1,AN_DEMAGFDSL,2028,99999.0
RE1,AN_DEMAGFDSL,2029,99999.0
RE1,AN_DEMAGFDSL,2030,99999.0
RE1,AN_DEMAGFDSL,2031,99999.0
RE1,AN_DEMAGFDSL,2032,99999.0
RE1,AN_DEMAGFDSL,2033,99999.0
RE1,AN_DEMAGFDSL,2034,99999.0
RE1,AN_DEMAGFDSL,2035,99999.0
RE1,AN_DEMAGFDSL,2036,99999.0
RE1,AN_DEMAGFDSL,2037,99999.0
RE1,AN_DEMAGFDSL,2038,99999.0
RE1,AN_DEMAGFDSL,2039,99999.0
RE1,AN_DEMAGFDSL,2040,99999.0
RE1,AN_DEMAGFDSL,2041,99999.0
RE1,AN_DEMAGFDSL,2042,99999.0
RE1,AN_DEMAGFDSL,2043,99999.0
RE1,AN_DEMAGFDSL,2044,99999.0
RE1,AN_DEMAGFDSL,2045,99999.0
RE1,AN_DEMAGFDSL,2046,99999.0
RE1,AN_DEMAGFDSL,2047,99999.0
RE1,AN_DEMAGFDSL,2048,99999.0
RE1,AN_DEMAGFDSL,2049,99999.0
RE1,AN_DEMAGFDSL,2050,99999.0
RE1,AN_DEMAGFDSL,2051,99999.0
RE1,AN_DEMAGFDSL,2052,99999.0
RE1,AN_DEMAGFDSL,2053,99999.0
RE1,AN_DEMAGFDSL,2054,99999.0
RE1,AN_DEMAGFELC,2022,99999.0
RE1,AN_DEMAGFELC,2023,99999.0
RE1,AN_DEMAGFELC,2024,99999.0
RE1,AN_DEMAGFELC,2025,99999.0
RE1,AN_DEMAGFELC,2026,99999.0
RE1,AN_DEMAGFELC,2027,99999.0
RE1,AN_DEMAGFELC,2028,99999.0
RE1,AN_DEMAGFELC,2029,99999.0
RE1,AN_DEMAGFELC,2030,99999.0
RE1,AN_DEMAGFELC,2031,99999.0
RE1,AN_DEMAGFELC,2032,99999.0
RE1,AN_DEMAGFELC,2033,99999.0
RE1,AN_DEMAGFELC,2034,99999.0
RE1,AN_DEMAGFELC,2035,99999.0
RE1,AN_DEMAGFELC,2036,99999.0
RE1,AN_DEMAGFELC,2037,99999.0
RE1,AN_DEMAGFELC,2038,99999.0
RE1,AN_DEMAGFELC,2039,99999.0
RE1,AN_DEMAGFELC,2040,99999.0
RE1,AN_DEMAGFELC,2041,99999.0
RE1,AN_DEMAGFELC,2042,99999.0
RE1,AN_DEMAGFELC,2043,99999.0
RE1,AN_DEMAGFELC,2044,99999.0
RE1,AN_DEMAGFELC,2045,99999.0
RE1,AN_DEMAGFELC,2046,99999.0
RE1,AN_DEMAGFELC,2047,99999.0
RE1,AN_DEMAGFELC,2048,99999.0
RE1,AN_DEMAGFELC,2049,99999.0
RE1,AN_DEMAGFELC,2050,99999.0
RE1,AN_DEMAGFELC,2051,99999.0
RE1,AN_DEMAGFELC,2052,99999.0
RE1,AN_DEMAGFELC,2053,99999.0
RE1,AN_DEMAGFELC,2054,99999.0
RE1,AN_DEMAGFGSL,2022,99999.0
RE1,AN_DEMAGFGSL,2023,99999.0
RE1,AN_DEMAGFGSL,2024,99999.0
RE1,AN_DEMAGFGSL,2025,99999.0
RE1,AN_DEMAGFGSL,2026,99999.0
RE1,AN_DEMAGFGSL,2027,99999.0
RE1,AN_DEMAGFGSL,2028,99999.0
RE1,AN_DEMAGFGSL,2029,99999.0
RE1,AN_DEMAGFGSL,2030,99999.0
RE1,AN_DEMAGFGSL,2031,99999.0
RE1,AN_DEMAGFGSL,2032,99999.0
RE1,AN_DEMAGFGSL,2033,99999.0
RE1,AN_DEMAGFGSL,2034,99999.0
RE1,AN_DEMAGFGSL,2035,99999.0
RE1,AN_DEMAGFGSL,2036,99999.0
RE1,AN_DEMAGFGSL,2037,99999.0
RE1,AN_DEMAGFGSL,2038,99999.0
RE1,AN_DEMAGFGSL,2039,99999.0
RE1,AN_DEMAGFGSL,2040,99999.0
RE1,AN_DEMAGFGSL,2041,99999.0
RE1,AN_DEMAGFGSL,2042,99999.0
RE1,AN_DEMAGFGSL,2043,99999.0
RE1,AN_DEMAGFGSL,2044,99999.0
RE1,AN_DEMAGFGSL,2045,99999.0
RE1,AN_DEMAGFGSL,2046,99999.0
RE1,AN_DEMAGFGSL,2047,99999.0
RE1,AN_DEMAGFGSL,2048,99999.0
RE1,AN_DEMAGFGSL,2049,99999.0
RE1,AN_DEMAGFGSL,2050,99999.0
RE1,AN_DEMAGFGSL,2051,99999.0
RE1,AN_DEMAGFGSL,2052,99999.0
RE1,AN_DEMAGFGSL,2053,99999.0
RE1,AN_DEMAGFGSL,2054,99999.0
RE1,AN_DEMAGFNGS,2022,99999.0
RE1,AN_DEMAGFNGS,2023,99999.0
RE1,AN_DEMAGFNGS,2024,99999.0
RE1,AN_DEMAGFNGS,2025,99999.0
RE1,AN_DEMAGFNGS,2026,99999.0
RE1,AN_DEMAGFNGS,2027,99999.0
RE1,AN_DEMAGFNGS,2028,99999.0
RE1,AN_DEMAGFNGS,2029,99999.0
RE1,AN_DEMAGFNGS,2030,99999.0
RE1,AN_DEMAGFNGS,2031,99999.0
