REGION,TECHNOLOGY,VALUE
RE1,AN_MINBAG,0.0
RE1,AN_MINCOA,0.0
RE1,AN_MINNGS,0.0
RE1,AN_MINOIL_1LIV,0.0
RE1,AN_MINOIL_2MID,0.0
RE1,AN_MINOIL_3PES,0.0
RE1,AN_MINOPL,0.0
RE1,AN_MINSGC,0.0
RE1,AN_MINWAS,0.0
RE1,AN_MINWAS_ORG,0.0
RE1,AN_UPSALK,0.0
RE1,AN_UPSPEM,0.0
RE1,AN_UPSSMR,0.0
RE1,CA_MINBAG,0.0
RE1,CA_MINCOA,0.0
RE1,CA_MINNGS,0.0
RE1,CA_MINOIL_1LIV,0.0
RE1,CA_MINOIL_2MID,0.0
RE1,CA_MINOIL_3PES,0.0
RE1,CA_MINOPL,0.0
RE1,CA_MINSGC,0.0
RE1,CA_MINWAS,0.0
RE1,CA_MINWAS_ORG,0.0
RE1,CA_UPSALK,0.0
RE1,CA_UPSPEM,0.0
RE1,CA_UPSREG,0.0
RE1,CA_UPSSMR,0.0
RE1,CA_UPSSMRCCS,0.0
RE1,IN_MINBAG,0.0
RE1,IN_MINCOA,0.0
RE1,IN_MINNGS,0.0
RE1,IN_MINOIL_1LIV,0.0
RE1,IN_MINOIL_2MID,0.0
RE1,IN_MINOIL_3PES,0.0
RE1,IN_MINOPL,0.0
RE1,IN_MINSGC,0.0
RE1,IN_MINWAS,0.0
RE1,IN_MINWAS_ORG,0.0
RE1,NE_MINBAG,0.0
RE1,NE_MINCOA,0.0
RE1,NE_MINNGS,0.0
RE1,NE_MINOIL_1LIV,0.0
RE1,NE_MINOIL_2MID,0.0
RE1,NE_MINOIL_3PES,0.0
RE1,NE_MINOPL,0.0
RE1,NE_MINSGC,0.0
RE1,NE_MINWAS,0.0
RE1,NE_MINWAS_ORG,0.0
RE1,NE_UPSALK,0.0
RE1,NE_UPSPEM,0.0
RE1,NE_UPSSMR,0.0
RE1,NE_UPSSMRCCS,0.0
RE1,OR_MINBAG,0.0
RE1,OR_MINCOA,0.0
RE1,OR_MINNGS,0.0
RE1,OR_MINOIL_1LIV,0.0
RE1,OR_MINOIL_2MID,0.0
RE1,OR_MINOIL_3PES,0.0
RE1,OR_MINOPL,0.0
RE1,OR_MINSGC,0.0
RE1,OR_MINWAS,0.0
RE1,OR_MINWAS_ORG,0.0
RE1,OR_UPSALK,0.0
RE1,OR_UPSPEM,0.0
RE1,OR_UPSSMR,0.0
RE1,SE_MINBAG,0.0
RE1,SE_MINCOA,0.0
RE1,SE_MINNGS,0.0
RE1,SE_MINOIL_1LIV,0.0
RE1,SE_MINOIL_2MID,0.0
RE1,SE_MINOIL_3PES,0.0
RE1,SE_MINOPL,0.0
RE1,SE_MINSGC,0.0
RE1,SE_MINWAS,0.0
RE1,SE_MINWAS_ORG,0.0
RE1,SE_UPSSMR,0.0
RE1,SE_UPSSMRCCS,0.0
RE1,SO_MINBAG,0.0
RE1,SO_MINCOA,0.0
RE1,SO_MINNGS,0.0
RE1,SO_MINOIL_1LIV,0.0
RE1,SO_MINOIL_2MID,0.0
RE1,SO_MINOIL_3PES,0.0
RE1,SO_MINOPL,0.0
RE1,SO_MINSGC,0.0
RE1,SO_MINWAS,0.0
RE1,SO_MINWAS_ORG,0.0
RE1,SO_UPSALK,0.0
RE1,SO_UPSPEM,0.0
RE1,SO_UPSREG,0.0
RE1,SO_UPSSMR,0.0
