REGION,TECHNOLOGY,VALUE
RE1,AN_MINBAG,99999.0
RE1,AN_MINCOA,122958.0
RE1,AN_MINNGS,0.0
RE1,AN_MINOIL_1LIV,18.95164248820115
RE1,AN_MINOIL_2MID,72.9968551117851
RE1,AN_MINOIL_3PES,180.4496041683419
RE1,AN_MINOPL,99999.0
RE1,AN_MINSGC,99999.0
RE1,AN_MINWAS,99999.0
RE1,AN_MINWAS_ORG,99999.0
RE1,AN_UPSALK,99999.0
RE1,AN_UPSPEM,99999.0
RE1,AN_UPSSMR,99999.0
RE1,CA_MINBAG,99999.0
RE1,CA_MINCOA,122958.0
RE1,CA_MINNGS,5643.201065673377
RE1,CA_MINOIL_1LIV,54.2671529883029
RE1,CA_MINOIL_2MID,209.0231232718987
RE1,CA_MINOIL_3PES,516.7091075181838
RE1,CA_MINOPL,99999.0
RE1,CA_MINSGC,99999.0
RE1,CA_MINWAS,99999.0
RE1,CA_MINWAS_ORG,99999.0
RE1,CA_UPSALK,99999.0
RE1,CA_UPSPEM,99999.0
RE1,CA_UPSREG,99999.0
RE1,CA_UPSSMR,99999.0
RE1,CA_UPSSMRCCS,99999.0
RE1,IN_MINBAG,99999.0
RE1,IN_MINCOA,122958.0
RE1,IN_MINNGS,0.0
RE1,IN_MINOIL_1LIV,0.0
RE1,IN_MINOIL_2MID,0.0
RE1,IN_MINOIL_3PES,0.0
RE1,IN_MINOPL,99999.0
RE1,IN_MINSGC,99999.0
RE1,IN_MINWAS,99999.0
RE1,IN_MINWAS_ORG,99999.0
RE1,NE_MINBAG,99999.0
RE1,NE_MINCOA,122958.0
RE1,NE_MINNGS,0.0
RE1,NE_MINOIL_1LIV,790.2606584537854
RE1,NE_MINOIL_2MID,3043.880910143231
RE1,NE_MINOIL_3PES,7524.531084658209
RE1,NE_MINOPL,99999.0
RE1,NE_MINSGC,99999.0
RE1,NE_MINWAS,99999.0
RE1,NE_MINWAS_ORG,99999.0
RE1,NE_UPSALK,99999.0
RE1,NE_UPSPEM,99999.0
RE1,NE_UPSSMR,99999.0
RE1,NE_UPSSMRCCS,99999.0
RE1,OR_MINBAG,99999.0
RE1,OR_MINCOA,122958.0
RE1,OR_MINNGS,1995.554208896554
RE1,OR_MINOIL_1LIV,380.1745149741557
RE1,OR_MINOIL_2MID,1464.33450314605
RE1,OR_MINOIL_3PES,3619.862541449269
RE1,OR_MINOPL,99999.0
RE1,OR_MINSGC,99999.0
RE1,OR_MINWAS,99999.0
RE1,OR_MINWAS_ORG,99999.0
RE1,OR_UPSALK,99999.0
RE1,OR_UPSPEM,99999.0
RE1,OR_UPSSMR,99999.0
RE1,SE_MINBAG,99999.0
RE1,SE_MINCOA,122958.0
RE1,SE_MINNGS,0.0
RE1,SE_MINOIL_1LIV,0.0
RE1,SE_MINOIL_2MID,0.0
RE1,SE_MINOIL_3PES,0.0
RE1,SE_MINOPL,99999.0
RE1,SE_MINSGC,99999.0
RE1,SE_MINWAS,99999.0
RE1,SE_MINWAS_ORG,99999.0
RE1,SE_UPSSMR,99999.0
RE1,SE_UPSSMRCCS,99999.0
RE1,SO_MINBAG,99999.0
RE1,SO_MINCOA,122958.0
RE1,SO_MINNGS,15.68396743007
RE1,SO_MINOIL_1LIV,95.13876751104996
RE1,SO_MINOIL_2MID,366.450075862375
RE1,SO_MINOIL_3PES,905.8715068691864
RE1,SO_MINOPL,99999.0
RE1,SO_MINSGC,99999.0
RE1,SO_MINWAS,99999.0
RE1,SO_MINWAS_ORG,99999.0
RE1,SO_UPSALK,99999.0
RE1,SO_UPSPEM,99999.0
RE1,SO_UPSREG,99999.0
RE1,SO_UPSSMR,99999.0
