REGION,FUEL,YEAR,VALUE
RE1,AN_AGFELC,2022,0.4537857
RE1,AN_AGFHEA,2022,5.7577374
RE1,AN_INDCLIM,2022,0.085546881
RE1,AN_INDDHT,2022,8.29509926
RE1,AN_INDIHT,2022,12.92590791
RE1,AN_INDILU,2022,0.249301743
RE1,AN_INDMPW,2022,4.517512754
RE1,AN_INDREF,2022,0.269609298
RE1,AN_RESCLIM_RUR,2022,0.0257434
RE1,AN_RESCLIM_URB,2022,0.101094847
RE1,AN_RESDHT_RUR,2022,1.190000938
RE1,AN_RESDHT_URB,2022,4.835726504
RE1,AN_RESILU_RUR,2022,0.03717434
RE1,AN_RESILU_URB,2022,0.159296108
RE1,AN_RESOTH_RUR,2022,0.19233376
RE1,AN_RESOTH_URB,2022,0.828673231
RE1,AN_RESREF_RUR,2022,0.080297926
RE1,AN_RESREF_URB,2022,1.145408648
RE1,AN_RESTV_RUR,2022,0.090260359
RE1,AN_RESTV_URB,2022,0.280669183
RE1,AN_RESWHT_RUR,2022,0.068023517
RE1,AN_RESWHT_URB,2022,1.519028576
RE1,AN_RESWSH_RUR,2022,0.063428631
RE1,AN_RESWSH_URB,2022,0.280197488
RE1,AN_TERCLIM_CEN,2022,2.926
RE1,AN_TERCLIM_FAN,2022,0.082
RE1,AN_TERCLIM_SPL,2022,0.322
RE1,AN_TERDHT,2022,2.88
RE1,AN_TERIHT,2022,0.251
RE1,AN_TERILU,2022,0.333
RE1,AN_TERMPW,2022,0.292
RE1,AN_TEROTH,2022,1.432
RE1,AN_TERREF_AUC,2022,0.227
RE1,AN_TERREF_CEN,2022,0.36
RE1,AN_TRAAVI,2022,13.177828
RE1,AN_TRABUS,2022,2.51545045
RE1,AN_TRAFWD,2022,2.78171436
RE1,AN_TRAMET,2022,0.123
RE1,AN_TRAMIC,2022,0.405500725
RE1,AN_TRAMRT,2022,0.850053
RE1,AN_TRAMTC,2022,2.84159483
RE1,AN_TRASTT,2022,7.065804059
RE1,AN_TRATAX,2022,1.668801645
RE1,AN_TRATCK,2022,3.486250567
RE1,CA_AGFELC,2022,0.4149926
RE1,CA_AGFHEA,2022,5.2602378
RE1,CA_INDCLIM,2022,0.109894488
RE1,CA_INDDHT,2022,8.948741413
RE1,CA_INDIHT,2022,14.48645029
RE1,CA_INDILU,2022,0.209612234
RE1,CA_INDMPW,2022,4.659890551
RE1,CA_INDREF,2022,0.448683879
RE1,CA_RESCLIM_RUR,2022,0.036544262
RE1,CA_RESCLIM_URB,2022,1.689174791
RE1,CA_RESDHT_RUR,2022,7.218916762
RE1,CA_RESDHT_URB,2022,8.873398116
RE1,CA_RESILU_RUR,2022,0.009900885
RE1,CA_RESILU_URB,2022,0.26122357
RE1,CA_RESOTH_RUR,2022,0.089742623
RE1,CA_RESOTH_URB,2022,1.469716895
RE1,CA_RESREF_RUR,2022,0.025740121
RE1,CA_RESREF_URB,2022,1.83848359
RE1,CA_RESTV_RUR,2022,0.031671472
RE1,CA_RESTV_URB,2022,0.47911379
RE1,CA_RESWHT_RUR,2022,0.000572177
RE1,CA_RESWHT_URB,2022,0.056422103
RE1,CA_RESWSH_RUR,2022,0.020670731
RE1,CA_RESWSH_URB,2022,0.410082933
RE1,CA_TERCLIM_CEN,2022,3.556
RE1,CA_TERCLIM_FAN,2022,0.1
RE1,CA_TERCLIM_SPL,2022,0.391
RE1,CA_TERDHT,2022,2.724
RE1,CA_TERIHT,2022,0.305
RE1,CA_TERILU,2022,0.404
RE1,CA_TERMPW,2022,0.355
RE1,CA_TEROTH,2022,1.74
RE1,CA_TERREF_AUC,2022,0.276
RE1,CA_TERREF_CEN,2022,0.438
RE1,CA_TRAAVI,2022,15.524564
RE1,CA_TRABUS,2022,2.808027666
RE1,CA_TRAFWD,2022,1.734695316
RE1,CA_TRAMIC,2022,0.318522898
RE1,CA_TRAMRT,2022,4.218463
RE1,CA_TRAMTC,2022,3.176607522
RE1,CA_TRASTT,2022,0.625434313
RE1,CA_TRATAX,2022,2.17743959
RE1,CA_TRATCK,2022,1.507012907
RE1,IN_AGFELC,2022,0.0008417
RE1,IN_AGFHEA,2022,0.010831
RE1,IN_RESCLIM,2022,0.021757
RE1,IN_RESDHT,2022,0.054036
RE1,IN_RESOTH,2022,0.0498
RE1,IN_RESREF,2022,0.017495
RE1,IN_TERDHT,2022,0.039
RE1,IN_TRAAVI,2022,0.159689
RE1,IN_TRAFWD,2022,0.012769
