REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
RE1,AN_DEMAGFDSL,1,2022,0.0
RE1,AN_DEMAGFDSL,2,2022,0.0
RE1,AN_DEMAGFELC,1,2022,0.0
RE1,AN_DEMAGFELC,2,2022,0.0
RE1,AN_DEMAGFGSL,1,2022,0.0
RE1,AN_DEMAGFGSL,2,2022,0.0
RE1,AN_DEMAGFNGS,1,2022,0.0
RE1,AN_DEMAGFNGS,2,2022,0.0
RE1,AN_DEMAGFWOO,1,2022,0.0
RE1,AN_DEMAGFWOO,2,2022,0.0
RE1,AN_DEMCONSDSL,1,2022,0.0
RE1,AN_DEMCONSDSL,2,2022,0.0
RE1,AN_DEMCONSELC,1,2022,0.0
RE1,AN_DEMCONSELC,2,2022,0.0
RE1,AN_DEMCONSNGS,1,2022,0.0
RE1,AN_DEMCONSNGS,2,2022,0.0
RE1,AN_DEMINDAUTBOI,1,2022,0.0
RE1,AN_DEMINDAUTBOI,2,2022,0.0
RE1,AN_DEMINDAUTFUR,1,2022,0.0
RE1,AN_DEMINDAUTFUR,2,2022,0.0
RE1,AN_DEMINDBGSBOI_HIG,1,2022,0.0
RE1,AN_DEMINDBGSBOI_HIG,2,2022,0.0
RE1,AN_DEMINDBGSBOI_LOW,1,2022,0.0
RE1,AN_DEMINDBGSBOI_LOW,2,2022,0.0
RE1,AN_DEMINDBGSBOI_MID,1,2022,0.0
RE1,AN_DEMINDBGSBOI_MID,2,2022,0.0
RE1,AN_DEMINDBGSFUR_HIG,1,2022,0.0
RE1,AN_DEMINDBGSFUR_HIG,2,2022,0.0
RE1,AN_DEMINDBGSFUR_LOW,1,2022,0.0
RE1,AN_DEMINDBGSFUR_LOW,2,2022,0.0
RE1,AN_DEMINDBGSFUR_MID,1,2022,0.0
RE1,AN_DEMINDBGSFUR_MID,2,2022,0.0
RE1,AN_DEMINDCOABOI_HIG,1,2022,0.0
RE1,AN_DEMINDCOABOI_HIG,2,2022,0.0
RE1,AN_DEMINDCOABOI_LOW,1,2022,0.0
RE1,AN_DEMINDCOABOI_LOW,2,2022,0.0
RE1,AN_DEMINDCOABOI_MID,1,2022,0.0
RE1,AN_DEMINDCOABOI_MID,2,2022,0.0
RE1,AN_DEMINDCOAFUR_HIG,1,2022,0.0
RE1,AN_DEMINDCOAFUR_HIG,2,2022,0.0
RE1,AN_DEMINDCOAFUR_LOW,1,2022,0.0
RE1,AN_DEMINDCOAFUR_LOW,2,2022,0.0
RE1,AN_DEMINDCOAFUR_MID,1,2022,0.0
RE1,AN_DEMINDCOAFUR_MID,2,2022,0.0
RE1,AN_DEMINDCOAOTH_LOW,1,2022,0.0
RE1,AN_DEMINDCOAOTH_LOW,2,2022,0.0
RE1,AN_DEMINDDSLBOI_HIG,1,2022,0.0
RE1,AN_DEMINDDSLBOI_HIG,2,2022,0.0
RE1,AN_DEMINDDSLBOI_LOW,1,2022,0.0
RE1,AN_DEMINDDSLBOI_LOW,2,2022,0.0
RE1,AN_DEMINDDSLBOI_MID,1,2022,0.0
RE1,AN_DEMINDDSLBOI_MID,2,2022,0.0
RE1,AN_DEMINDDSLFUR_HIG,1,2022,0.0
RE1,AN_DEMINDDSLFUR_HIG,2,2022,0.0
RE1,AN_DEMINDDSLFUR_LOW,1,2022,0.0
RE1,AN_DEMINDDSLFUR_LOW,2,2022,0.0
RE1,AN_DEMINDDSLFUR_MID,1,2022,0.0
RE1,AN_DEMINDDSLFUR_MID,2,2022,0.0
RE1,AN_DEMINDELCAIR_HIG,1,2022,0.0
RE1,AN_DEMINDELCAIR_HIG,2,2022,0.0
RE1,AN_DEMINDELCAIR_LOW,1,2022,0.0
RE1,AN_DEMINDELCAIR_LOW,2,2022,0.0
RE1,AN_DEMINDELCAIR_MID,1,2022,0.0
RE1,AN_DEMINDELCAIR_MID,2,2022,0.0
RE1,AN_DEMINDELCBOI_HIG,1,2022,0.0
RE1,AN_DEMINDELCBOI_HIG,2,2022,0.0
RE1,AN_DEMINDELCBOI_LOW,1,2022,0.0
RE1,AN_DEMINDELCBOI_LOW,2,2022,0.0
RE1,AN_DEMINDELCBOI_MID,1,2022,0.0
RE1,AN_DEMINDELCBOI_MID,2,2022,0.0
RE1,AN_DEMINDELCFUR_HIG,1,2022,0.0
RE1,AN_DEMINDELCFUR_HIG,2,2022,0.0
RE1,AN_DEMINDELCFUR_LOW,1,2022,0.0
RE1,AN_DEMINDELCFUR_LOW,2,2022,0.0
RE1,AN_DEMINDELCFUR_MID,1,2022,0.0
RE1,AN_DEMINDELCFUR_MID,2,2022,0.0
RE1,AN_DEMINDELCILU_HIG,1,2022,0.0
RE1,AN_DEMINDELCILU_HIG,2,2022,0.0
RE1,AN_DEMINDELCILU_LOW,1,2022,0.0
RE1,AN_DEMINDELCILU_LOW,2,2022,0.0
RE1,AN_DEMINDELCILU_MID,1,2022,0.0
RE1,AN_DEMINDELCILU_MID,2,2022,0.0
RE1,AN_DEMINDELCMPW_HIG,1,2022,0.0
RE1,AN_DEMINDELCMPW_HIG,2,2022,0.0
RE1,AN_DEMINDELCMPW_LOW,1,2022,0.0
RE1,AN_DEMINDELCMPW_LOW,2,2022,0.0
RE1,AN_DEMINDELCMPW_MID,1,2022,0.0
RE1,AN_DEMINDELCMPW_MID,2,2022,0.0
RE1,AN_DEMINDELCOTH_HIG,1,2022,0.0
RE1,AN_DEMINDELCOTH_HIG,2,2022,0.0
RE1,AN_DEMINDELCOTH_LOW,1,2022,0.0
RE1,AN_DEMINDELCOTH_LOW,2,2022,0.0
RE1,AN_DEMINDELCOTH_MID,1,2022,0.0
RE1,AN_DEMINDELCOTH_MID,2,2022,0.0
RE1,AN_DEMINDELCREF_HIG,1,2022,0.0
RE1,AN_DEMINDELCREF_HIG,2,2022,0.0
RE1,AN_DEMINDELCREF_LOW,1,2022,0.0
RE1,AN_DEMINDELCREF_LOW,2,2022,0.0
RE1,AN_DEMINDELCREF_MID,1,2022,0.0
RE1,AN_DEMINDELCREF_MID,2,2022,0.0
RE1,AN_DEMINDHDGBOI_HIG,1,2022,0.0
RE1,AN_DEMINDHDGBOI_HIG,2,2022,0.0
RE1,AN_DEMINDHDGBOI_LOW,1,2022,0.0
RE1,AN_DEMINDHDGBOI_LOW,2,2022,0.0
RE1,AN_DEMINDLPGBOI_HIG,1,2022,0.0
RE1,AN_DEMINDLPGBOI_HIG,2,2022,0.0
RE1,AN_DEMINDLPGBOI_LOW,1,2022,0.0
RE1,AN_DEMINDLPGBOI_LOW,2,2022,0.0
RE1,AN_DEMINDLPGBOI_MID,1,2022,0.0
RE1,AN_DEMINDLPGBOI_MID,2,2022,0.0
RE1,AN_DEMINDLPGFUR_HIG,1,2022,0.0
RE1,AN_DEMINDLPGFUR_HIG,2,2022,0.0
RE1,AN_DEMINDLPGFUR_LOW,1,2022,0.0
RE1,AN_DEMINDLPGFUR_LOW,2,2022,0.0
RE1,AN_DEMINDLPGFUR_MID,1,2022,0.0
RE1,AN_DEMINDLPGFUR_MID,2,2022,0.0
RE1,AN_DEMINDNGSBOI_HIG,1,2022,0.0
RE1,AN_DEMINDNGSBOI_HIG,2,2022,0.0
RE1,AN_DEMINDNGSBOI_LOW,1,2022,0.0
RE1,AN_DEMINDNGSBOI_LOW,2,2022,0.0
RE1,AN_DEMINDNGSBOI_MID,1,2022,0.0
RE1,AN_DEMINDNGSBOI_MID,2,2022,0.0
RE1,AN_DEMINDNGSFURCSS,1,2022,0.0
RE1,AN_DEMINDNGSFURCSS,2,2022,0.0
RE1,AN_DEMINDNGSFUR_HIG,1,2022,0.0
RE1,AN_DEMINDNGSFUR_HIG,2,2022,0.0
RE1,AN_DEMINDNGSFUR_LOW,1,2022,0.0
RE1,AN_DEMINDNGSFUR_LOW,2,2022,0.0
RE1,AN_DEMINDNGSFUR_MID,1,2022,0.0
RE1,AN_DEMINDNGSFUR_MID,2,2022,0.0
RE1,AN_DEMMINIDSL,1,2022,0.0
RE1,AN_DEMMINIDSL,2,2022,0.0
RE1,AN_DEMMINIELC,1,2022,0.0
RE1,AN_DEMMINIELC,2,2022,0.0
RE1,AN_DEMMINIGSL,1,2022,0.0
RE1,AN_DEMMINIGSL,2,2022,0.0
RE1,AN_DEMMININGS,1,2022,0.0
RE1,AN_DEMMININGS,2,2022,0.0
RE1,AN_DEMNSEELC,1,2022,0.0
RE1,AN_DEMNSEELC,2,2022,0.0
RE1,AN_DEMRESBGSCKN_MID_RUR,1,2022,0.0
RE1,AN_DEMRESBGSCKN_MID_RUR,2,2022,0.0
RE1,AN_DEMRESELCAIR_PAR_HIG_RUR,1,2022,0.0
RE1,AN_DEMRESELCAIR_PAR_HIG_RUR,2,2022,0.0
RE1,AN_DEMRESELCAIR_PAR_HIG_URB,1,2022,0.0
RE1,AN_DEMRESELCAIR_PAR_HIG_URB,2,2022,0.0
RE1,AN_DEMRESELCAIR_PAR_LOW_RUR,1,2022,0.0
RE1,AN_DEMRESELCAIR_PAR_LOW_RUR,2,2022,0.0
RE1,AN_DEMRESELCAIR_PAR_LOW_URB,1,2022,0.0
RE1,AN_DEMRESELCAIR_PAR_LOW_URB,2,2022,0.0
RE1,AN_DEMRESELCAIR_PAR_MID_RUR,1,2022,0.0
RE1,AN_DEMRESELCAIR_PAR_MID_RUR,2,2022,0.0
RE1,AN_DEMRESELCAIR_PAR_MID_URB,1,2022,0.0
RE1,AN_DEMRESELCAIR_PAR_MID_URB,2,2022,0.0
RE1,AN_DEMRESELCAIR_POR_HIG_RUR,1,2022,0.0
RE1,AN_DEMRESELCAIR_POR_HIG_RUR,2,2022,0.0
