codigo_nacional,codigo_regional,region,prefijo,tipo,clasificacion,renombrado,base_regional,fuente_correspondencia,score_jaccard,nota,iar_reg,iar_nac,oar_reg,oar_nac
DEMAGFDSL,AN_DEMAGFDSL,AN,AN,technology,mapeo_directo,False,DEMAGFDSL,identidad,,,AN_DSL002,DSL,AN_AGFHEA,AGFHEA
DEMAGFDSL,CA_DEMAGFDSL,CA,CA,technology,mapeo_directo,False,DEMAGFDSL,identidad,,,CA_DSL002,DSL,CA_AGFHEA,AGFHEA
DEMAGFDSL,IN_DEMAGFDSL,IN,IN,technology,mapeo_directo,False,DEMAGFDSL,identidad,,,IN_DSL002,DSL,IN_AGFHEA,AGFHEA
DEMAGFDSL,NE_DEMAGFDSL,NE,NE,technology,mapeo_directo,False,DEMAGFDSL,identidad,,,NE_DSL002,DSL,NE_AGFHEA,AGFHEA
DEMAGFDSL,OR_DEMAGFDSL,OR,OR,technology,mapeo_directo,False,DEMAGFDSL,identidad,,,OR_DSL002,DSL,OR_AGFHEA,AGFHEA
DEMAGFDSL,SE_DEMAGFDSL,SE,SE,technology,mapeo_directo,False,DEMAGFDSL,identidad,,,SE_DSL002,DSL,SE_AGFHEA,AGFHEA
DEMAGFDSL,SO_DEMAGFDSL,SO,SO,technology,mapeo_directo,False,DEMAGFDSL,identidad,,,SO_DSL002,DSL,SO_AGFHEA,AGFHEA
DEMAGFELC,AN_DEMAGFELC,AN,AN,technology,mapeo_directo,False,DEMAGFELC,identidad,,,AN_ELC003,ELC002,AN_AGFELC,AGFELC
DEMAGFELC,CA_DEMAGFELC,CA,CA,technology,mapeo_directo,False,DEMAGFELC,identidad,,,CA_ELC003,ELC002,CA_AGFELC,AGFELC
DEMAGFELC,IN_DEMAGFELC,IN,IN,technology,mapeo_directo,False,DEMAGFELC,identidad,,,IN_ELC003,ELC002,IN_AGFELC,AGFELC
DEMAGFELC,NE_DEMAGFELC,NE,NE,technology,mapeo_directo,False,DEMAGFELC,identidad,,,NE_ELC003,ELC002,NE_AGFELC,AGFELC
DEMAGFELC,OR_DEMAGFELC,OR,OR,technology,mapeo_directo,False,DEMAGFELC,identidad,,,OR_ELC003,ELC002,OR_AGFELC,AGFELC
DEMAGFELC,SE_DEMAGFELC,SE,SE,technology,mapeo_directo,False,DEMAGFELC,identidad,,,SE_ELC003,ELC002,SE_AGFELC,AGFELC
DEMAGFELC,SO_DEMAGFELC,SO,SO,technology,mapeo_directo,False,DEMAGFELC,identidad,,,SO_ELC003,ELC002,SO_AGFELC,AGFELC
DEMAGFGSL,AN_DEMAGFGSL,AN,AN,technology,mapeo_directo,False,DEMAGFGSL,identidad,,,AN_GSL002,GSL,AN_AGFHEA,AGFHEA
DEMAGFGSL,CA_DEMAGFGSL,CA,CA,technology,mapeo_directo,False,DEMAGFGSL,identidad,,,CA_GSL002,GSL,CA_AGFHEA,AGFHEA
DEMAGFGSL,IN_DEMAGFGSL,IN,IN,technology,mapeo_directo,False,DEMAGFGSL,identidad,,,IN_GSL002,GSL,IN_AGFHEA,AGFHEA
DEMAGFGSL,NE_DEMAGFGSL,NE,NE,technology,mapeo_directo,False,DEMAGFGSL,identidad,,,NE_GSL002,GSL,NE_AGFHEA,AGFHEA
DEMAGFGSL,OR_DEMAGFGSL,OR,OR,technology,mapeo_directo,False,DEMAGFGSL,identidad,,,OR_GSL002,GSL,OR_AGFHEA,AGFHEA
DEMAGFGSL,SE_DEMAGFGSL,SE,SE,technology,mapeo_directo,False,DEMAGFGSL,identidad,,,SE_GSL002,GSL,SE_AGFHEA,AGFHEA
DEMAGFGSL,SO_DEMAGFGSL,SO,SO,technology,mapeo_directo,False,DEMAGFGSL,identidad,,,SO_GSL002,GSL,SO_AGFHEA,AGFHEA
DEMAGFNGS,AN_DEMAGFNGS,AN,AN,technology,mapeo_directo,False,DEMAGFNGS,identidad,,,AN_NGS002,NGS002,AN_AGFHEA,AGFHEA
DEMAGFNGS,CA_DEMAGFNGS,CA,CA,technology,mapeo_directo,False,DEMAGFNGS,identidad,,,CA_NGS002,NGS002,CA_AGFHEA,AGFHEA
DEMAGFNGS,NE_DEMAGFNGS,NE,NE,technology,mapeo_directo,False,DEMAGFNGS,identidad,,,NE_NGS002,NGS002,NE_AGFHEA,AGFHEA
DEMAGFNGS,OR_DEMAGFNGS,OR,OR,technology,mapeo_directo,False,DEMAGFNGS,identidad,,,OR_NGS002,NGS002,OR_AGFHEA,AGFHEA
DEMAGFNGS,SO_DEMAGFNGS,SO,SO,technology,mapeo_directo,False,DEMAGFNGS,identidad,,,SO_NGS002,NGS002,SO_AGFHEA,AGFHEA
DEMAGFWOO,AN_DEMAGFWOO,AN,AN,technology,mapeo_directo,False,DEMAGFWOO,identidad,,,AN_WOO,WOO,AN_AGFHEA,AGFHEA
DEMAGFWOO,CA_DEMAGFWOO,CA,CA,technology,mapeo_directo,False,DEMAGFWOO,identidad,,,CA_WOO,WOO,CA_AGFHEA,AGFHEA
DEMAGFWOO,IN_DEMAGFWOO,IN,IN,technology,mapeo_directo,False,DEMAGFWOO,identidad,,,IN_WOO,WOO,IN_AGFHEA,AGFHEA
DEMAGFWOO,NE_DEMAGFWOO,NE,NE,technology,mapeo_directo,False,DEMAGFWOO,identidad,,,NE_WOO,WOO,NE_AGFHEA,AGFHEA
DEMAGFWOO,OR_DEMAGFWOO,OR,OR,technology,mapeo_directo,False,DEMAGFWOO,identidad,,,OR_WOO,WOO,OR_AGFHEA,AGFHEA
DEMAGFWOO,SE_DEMAGFWOO,SE,SE,technology,mapeo_directo,False,DEMAGFWOO,identidad,,,SE_WOO,WOO,SE_AGFHEA,AGFHEA
DEMAGFWOO,SO_DEMAGFWOO,SO,SO,technology,mapeo_directo,False,DEMAGFWOO,identidad,,,SO_WOO,WOO,SO_AGFHEA,AGFHEA
DEMCONSDSL,AN_DEMCONSDSL,AN,AN,technology,mapeo_directo,False,DEMCONSDSL,identidad,,,AN_DSL002,DSL,AN_CONSDSL,CONSDSL
DEMCONSDSL,CA_DEMCONSDSL,CA,CA,technology,mapeo_directo,False,DEMCONSDSL,identidad,,,CA_DSL002,DSL,CA_CONSDSL,CONSDSL
DEMCONSDSL,NE_DEMCONSDSL,NE,NE,technology,mapeo_directo,False,DEMCONSDSL,identidad,,,NE_DSL002,DSL,NE_CONSDSL,CONSDSL
DEMCONSDSL,OR_DEMCONSDSL,OR,OR,technology,mapeo_directo,False,DEMCONSDSL,identidad,,,OR_DSL002,DSL,OR_CONSDSL,CONSDSL
DEMCONSDSL,SO_DEMCONSDSL,SO,SO,technology,mapeo_directo,False,DEMCONSDSL,identidad,,,SO_DSL002,DSL,SO_CONSDSL,CONSDSL
DEMCONSELC,AN_DEMCONSELC,AN,AN,technology,mapeo_directo,False,DEMCONSELC,identidad,,,AN_ELC003,ELC002,AN_CONSELC,CONSELC
DEMCONSELC,CA_DEMCONSELC,CA,CA,technology,mapeo_directo,False,DEMCONSELC,identidad,,,CA_ELC003,ELC002,CA_CONSELC,CONSELC
DEMCONSELC,NE_DEMCONSELC,NE,NE,technology,mapeo_directo,False,DEMCONSELC,identidad,,,NE_ELC003,ELC002,NE_CONSELC,CONSELC
DEMCONSELC,OR_DEMCONSELC,OR,OR,technology,mapeo_directo,False,DEMCONSELC,identidad,,,OR_ELC003,ELC002,OR_CONSELC,CONSELC
DEMCONSELC,SO_DEMCONSELC,SO,SO,technology,mapeo_directo,False,DEMCONSELC,identidad,,,SO_ELC003,ELC002,SO_CONSELC,CONSELC
DEMCONSGSL,AN_DEMCONSGSL,AN,AN,technology,mapeo_directo,False,DEMCONSGSL,identidad,,,AN_GSL002,GSL,AN_CONSGSL,CONSGSL
DEMCONSGSL,CA_DEMCONSGSL,CA,CA,technology,mapeo_directo,False,DEMCONSGSL,identidad,,,CA_GSL002,GSL,CA_CONSGSL,CONSGSL
DEMCONSGSL,NE_DEMCONSGSL,NE,NE,technology,mapeo_directo,False,DEMCONSGSL,identidad,,,NE_GSL002,GSL,NE_CONSGSL,CONSGSL
DEMCONSGSL,OR_DEMCONSGSL,OR,OR,technology,mapeo_directo,False,DEMCONSGSL,identidad,,,OR_GSL002,GSL,OR_CONSGSL,CONSGSL
DEMCONSGSL,SO_DEMCONSGSL,SO,SO,technology,mapeo_directo,False,DEMCONSGSL,identidad,,,SO_GSL002,GSL,SO_CONSGSL,CONSGSL
DEMCONSNGS,AN_DEMCONSNGS,AN,AN,technology,mapeo_directo,False,DEMCONSNGS,identidad,,,AN_NGS002,NGS002,AN_CONSNGS,CONSNGS
DEMCONSNGS,CA_DEMCONSNGS,CA,CA,technology,mapeo_directo,False,DEMCONSNGS,identidad,,,CA_NGS002,NGS002,CA_CONSNGS,CONSNGS
DEMCONSNGS,NE_DEMCONSNGS,NE,NE,technology,mapeo_directo,False,DEMCONSNGS,identidad,,,NE_NGS002,NGS002,NE_CONSNGS,CONSNGS
DEMCONSNGS,OR_DEMCONSNGS,OR,OR,technology,mapeo_directo,False,DEMCONSNGS,identidad,,,OR_NGS002,NGS002,OR_CONSNGS,CONSNGS
DEMCONSNGS,SO_DEMCONSNGS,SO,SO,technology,mapeo_directo,False,DEMCONSNGS,identidad,,,SO_NGS002,NGS002,SO_CONSNGS,CONSNGS
DEMCOQDSL,NE_DEMCOQDSL,NE,NE,technology,mapeo_directo,False,DEMCOQDSL,identidad,,,NE_DSL002,DSL,NE_COQDSL,COQDSL
DEMCOQDSL,OR_DEMCOQDSL,OR,OR,technology,mapeo_directo,False,DEMCOQDSL,identidad,,,OR_DSL002,DSL,OR_COQDSL,COQDSL
DEMCOQGSL,NE_DEMCOQGSL,NE,NE,technology,mapeo_directo,False,DEMCOQGSL,identidad,,,NE_GSL002,GSL,NE_COQGSL,COQGSL
DEMCOQGSL,OR_DEMCOQGSL,OR,OR,technology,mapeo_directo,False,DEMCOQGSL,identidad,,,OR_GSL002,GSL,OR_COQGSL,COQGSL
DEMINDAUTBOI,AN_DEMINDAUTBOI,AN,AN,technology,mapeo_directo,False,DEMINDAUTBOI,identidad,,,,,AN_INDIHT,INDIHT
DEMINDAUTBOI,CA_DEMINDAUTBOI,CA,CA,technology,mapeo_directo,False,DEMINDAUTBOI,identidad,,,,,CA_INDIHT,INDIHT
DEMINDAUTBOI,NE_DEMINDAUTBOI,NE,NE,technology,mapeo_directo,False,DEMINDAUTBOI,identidad,,,,,NE_INDIHT,INDIHT
DEMINDAUTBOI,OR_DEMINDAUTBOI,OR,OR,technology,mapeo_directo,False,DEMINDAUTBOI,identidad,,,,,OR_INDIHT,INDIHT
DEMINDAUTBOI,SO_DEMINDAUTBOI,SO,SO,technology,mapeo_directo,False,DEMINDAUTBOI,identidad,,,,,SO_INDIHT,INDIHT
DEMINDAUTFUR,AN_DEMINDAUTFUR,AN,AN,technology,mapeo_directo,False,DEMINDAUTFUR,identidad,,,,,AN_INDDHT,INDDHT
DEMINDAUTFUR,CA_DEMINDAUTFUR,CA,CA,technology,mapeo_directo,False,DEMINDAUTFUR,identidad,,,,,CA_INDDHT,INDDHT
DEMINDAUTFUR,NE_DEMINDAUTFUR,NE,NE,technology,mapeo_directo,False,DEMINDAUTFUR,identidad,,,,,NE_INDDHT,INDDHT
DEMINDAUTFUR,OR_DEMINDAUTFUR,OR,OR,technology,mapeo_directo,False,DEMINDAUTFUR,identidad,,,,,OR_INDDHT,INDDHT
DEMINDAUTFUR,SO_DEMINDAUTFUR,SO,SO,technology,mapeo_directo,False,DEMINDAUTFUR,identidad,,,,,SO_INDDHT,INDDHT
DEMINDBAGBOI_HIG,OR_DEMINDBAGBOI_HIG,OR,OR,technology,mapeo_directo,False,DEMINDBAGBOI_HIG,identidad,,,OR_BAG,BAG,OR_INDIHT,INDIHT
DEMINDBAGBOI_HIG,SO_DEMINDBAGBOI_HIG,SO,SO,technology,mapeo_directo,False,DEMINDBAGBOI_HIG,identidad,,,SO_BAG,BAG,SO_INDIHT,INDIHT
DEMINDBAGBOI_LOW,OR_DEMINDBAGBOI_LOW,OR,OR,technology,mapeo_directo,False,DEMINDBAGBOI_LOW,identidad,,,OR_BAG,BAG,OR_INDIHT,INDIHT
DEMINDBAGBOI_LOW,SO_DEMINDBAGBOI_LOW,SO,SO,technology,mapeo_directo,False,DEMINDBAGBOI_LOW,identidad,,,SO_BAG,BAG,SO_INDIHT,INDIHT
DEMINDBAGBOI_MID,OR_DEMINDBAGBOI_MID,OR,OR,technology,mapeo_directo,False,DEMINDBAGBOI_MID,identidad,,,OR_BAG,BAG,OR_INDIHT,INDIHT
DEMINDBAGBOI_MID,SO_DEMINDBAGBOI_MID,SO,SO,technology,mapeo_directo,False,DEMINDBAGBOI_MID,identidad,,,SO_BAG,BAG,SO_INDIHT,INDIHT
DEMINDBAGFURCCS,OR_DEMINDBAGFURCCS,OR,OR,technology,mapeo_directo,False,DEMINDBAGFURCCS,identidad,,,OR_BAG,BAG,OR_INDDHT,INDDHT
DEMINDBAGFURCCS,SO_DEMINDBAGFURCCS,SO,SO,technology,mapeo_directo,False,DEMINDBAGFURCCS,identidad,,,SO_BAG,BAG,SO_INDDHT,INDDHT
DEMINDBAGFUR_HIG,OR_DEMINDBAGFUR_HIG,OR,OR,technology,mapeo_directo,False,DEMINDBAGFUR_HIG,identidad,,,OR_BAG,BAG,OR_INDDHT,INDDHT
DEMINDBAGFUR_HIG,SO_DEMINDBAGFUR_HIG,SO,SO,technology,mapeo_directo,False,DEMINDBAGFUR_HIG,identidad,,,SO_BAG,BAG,SO_INDDHT,INDDHT
DEMINDBAGFUR_LOW,OR_DEMINDBAGFUR_LOW,OR,OR,technology,mapeo_directo,False,DEMINDBAGFUR_LOW,identidad,,,OR_BAG,BAG,OR_INDDHT,INDDHT
DEMINDBAGFUR_LOW,SO_DEMINDBAGFUR_LOW,SO,SO,technology,mapeo_directo,False,DEMINDBAGFUR_LOW,identidad,,,SO_BAG,BAG,SO_INDDHT,INDDHT
DEMINDBAGFUR_MID,OR_DEMINDBAGFUR_MID,OR,OR,technology,mapeo_directo,False,DEMINDBAGFUR_MID,identidad,,,OR_BAG,BAG,OR_INDDHT,INDDHT
DEMINDBAGFUR_MID,SO_DEMINDBAGFUR_MID,SO,SO,technology,mapeo_directo,False,DEMINDBAGFUR_MID,identidad,,,SO_BAG,BAG,SO_INDDHT,INDDHT
DEMINDBGSBOI_HIG,AN_DEMINDBGSBOI_HIG,AN,AN,technology,mapeo_directo,False,DEMINDBGSBOI_HIG,identidad,,,AN_BGS,BGS,AN_INDIHT,INDIHT
DEMINDBGSBOI_HIG,CA_DEMINDBGSBOI_HIG,CA,CA,technology,mapeo_directo,False,DEMINDBGSBOI_HIG,identidad,,,CA_BGS,BGS,CA_INDIHT,INDIHT
DEMINDBGSBOI_HIG,NE_DEMINDBGSBOI_HIG,NE,NE,technology,mapeo_directo,False,DEMINDBGSBOI_HIG,identidad,,,NE_BGS,BGS,NE_INDIHT,INDIHT
DEMINDBGSBOI_HIG,OR_DEMINDBGSBOI_HIG,OR,OR,technology,mapeo_directo,False,DEMINDBGSBOI_HIG,identidad,,,OR_BGS,BGS,OR_INDIHT,INDIHT
DEMINDBGSBOI_HIG,SO_DEMINDBGSBOI_HIG,SO,SO,technology,mapeo_directo,False,DEMINDBGSBOI_HIG,identidad,,,SO_BGS,BGS,SO_INDIHT,INDIHT
DEMINDBGSBOI_LOW,AN_DEMINDBGSBOI_LOW,AN,AN,technology,mapeo_directo,False,DEMINDBGSBOI_LOW,identidad,,,AN_BGS,BGS,AN_INDIHT,INDIHT
DEMINDBGSBOI_LOW,CA_DEMINDBGSBOI_LOW,CA,CA,technology,mapeo_directo,False,DEMINDBGSBOI_LOW,identidad,,,CA_BGS,BGS,CA_INDIHT,INDIHT
