tipo,clasificacion,codigo_nacional,codigo_regional,region,base_regional,nota
fuel,nacional_sin_regionalizar,CSP,,,,fuel nacional sin presencia regional
fuel,nacional_sin_regionalizar,DAM,,,,fuel nacional sin presencia regional
fuel,nacional_sin_regionalizar,ELCZNI,,,,fuel nacional sin presencia regional
fuel,nacional_sin_regionalizar,GEO,,,,fuel nacional sin presencia regional
fuel,nacional_sin_regionalizar,LPG,,,,fuel nacional sin presencia regional
fuel,nacional_sin_regionalizar,MINIGSL,,,,fuel nacional sin presencia regional
fuel,nacional_sin_regionalizar,OFW,,,,fuel nacional sin presencia regional
fuel,nacional_sin_regionalizar,OFW_FLO,,,,fuel nacional sin presencia regional
fuel,nacional_sin_regionalizar,OIL,,,,fuel nacional sin presencia regional
fuel,nacional_sin_regionalizar,OIL002,,,,fuel nacional sin presencia regional
fuel,nacional_sin_regionalizar,ONW,,,,fuel nacional sin presencia regional
fuel,nacional_sin_regionalizar,RESDHT_ZNI,,,,fuel nacional sin presencia regional
fuel,nacional_sin_regionalizar,RESELC_ZNI,,,,fuel nacional sin presencia regional
fuel,nacional_sin_regionalizar,ROR,,,,fuel nacional sin presencia regional
fuel,nacional_sin_regionalizar,SAF,,,,fuel nacional sin presencia regional
fuel,nacional_sin_regionalizar,SOL,,,,fuel nacional sin presencia regional
fuel,nacional_sin_regionalizar,WND,,,,fuel nacional sin presencia regional
fuel,sin_match,,BDL001,,BDL001,revisar: fuel regional sin prefijo ni equivalente nacional
fuel,sin_match,,BET001,,BET001,revisar: fuel regional sin prefijo ni equivalente nacional
fuel,sin_match,,DSL001,,DSL001,revisar: fuel regional sin prefijo ni equivalente nacional
fuel,sin_match,,GSL001,,GSL001,revisar: fuel regional sin prefijo ni equivalente nacional
fuel,sin_match,,JET001,,JET001,revisar: fuel regional sin prefijo ni equivalente nacional
fuel,sin_match,,LPG001,,LPG001,revisar: fuel regional sin prefijo ni equivalente nacional
fuel,sin_match,,AN_OIL001_1LIV,AN,OIL001_1LIV,revisar: fuel regional sin equivalente nacional
fuel,sin_match,,CA_OIL001_1LIV,CA,OIL001_1LIV,revisar: fuel regional sin equivalente nacional
fuel,sin_match,,NE_OIL001_1LIV,NE,OIL001_1LIV,revisar: fuel regional sin equivalente nacional
fuel,sin_match,,OR_OIL001_1LIV,OR,OIL001_1LIV,revisar: fuel regional sin equivalente nacional
fuel,sin_match,,SO_OIL001_1LIV,SO,OIL001_1LIV,revisar: fuel regional sin equivalente nacional
fuel,sin_match,,AN_OIL001_2MED,AN,OIL001_2MED,revisar: fuel regional sin equivalente nacional
fuel,sin_match,,CA_OIL001_2MED,CA,OIL001_2MED,revisar: fuel regional sin equivalente nacional
fuel,sin_match,,NE_OIL001_2MED,NE,OIL001_2MED,revisar: fuel regional sin equivalente nacional
