Parametro,Dimension,Codigo_Destino,Region,Anio,Participacion_Efectiva,Valor_Absoluto
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_LOW,IN,2022,0.009832,0.004776
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_LOW,IN,2023,0.009102,0.004936
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_LOW,IN,2024,0.011822,0.007028
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_LOW,IN,2025,0.012323,0.007324
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_LOW,IN,2026,0.01234,0.007329
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_LOW,IN,2027,0.012354,0.007327
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_LOW,IN,2028,0.01236,0.00731
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_LOW,IN,2029,0.012366,0.007277
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_LOW,IN,2030,0.012362,0.007215
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_LOW,IN,2031,0.012349,0.007116
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_LOW,IN,2032,0.012334,0.006973
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_LOW,IN,2033,0.01232,0.006776
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_LOW,IN,2034,0.012304,0.006513
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_LOW,IN,2035,0.012289,0.006175
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_LOW,IN,2036,0.012271,0.005754
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_LOW,IN,2037,0.012264,0.005254
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_LOW,IN,2038,0.012252,0.004674
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_LOW,IN,2039,0.012236,0.00403
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_LOW,IN,2040,0.012224,0.003352
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_LOW,IN,2041,0.012211,0.002671
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_LOW,IN,2042,0.012206,0.002025
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_LOW,IN,2043,0.012198,0.001449
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_LOW,IN,2044,0.012196,0.00097
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_LOW,IN,2045,0.012196,0.000602
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_LOW,IN,2046,0.012188,0.000343
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_LOW,IN,2047,0.012189,0.000177
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_LOW,IN,2048,0.012191,8.2e-05
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_LOW,IN,2049,0.012189,3.3e-05
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_LOW,IN,2050,0.012196,1.2e-05
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_LOW,IN,2051,0.012204,4e-06
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_LOW,IN,2052,0.012215,1e-06
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_LOW,IN,2053,0.012229,0.0
ResidualCapacity,TECHNOLOGY,IN_DEMRESELCAIR_PAR_LOW,IN,2054,0.012245,0.0
