Region,Parametro,Dimension,Codigo_Origen,Codigo_Destino,Regla,Valor_Sumado,Anios
SE,ResidualCapacity,TECHNOLOGY,DEMRESELCAIR_PAR_HIG_RUR,SE_DEMRESELCAIR_PAR_HIG,colapso_sin_sufijo,0.0,2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054
SE,ResidualCapacity,TECHNOLOGY,DEMRESELCAIR_PAR_LOW_RUR,SE_DEMRESELCAIR_PAR_LOW,colapso_sin_sufijo,0.000636,2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054
IN,ResidualCapacity,TECHNOLOGY,DEMRESELCAIR_PAR_LOW_URB,IN_DEMRESELCAIR_PAR_LOW,colapso_sin_sufijo,0.125508,2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054
SE,ResidualCapacity,TECHNOLOGY,DEMRESELCAIR_PAR_LOW_URB,SE_DEMRESELCAIR_PAR_LOW,colapso_sin_sufijo,0.044697,2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054
SE,ResidualCapacity,TECHNOLOGY,DEMRESELCAIR_PAR_MID_RUR,SE_DEMRESELCAIR_PAR_MID,colapso_sin_sufijo,1.3e-05,2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054
IN,ResidualCapacity,TECHNOLOGY,DEMRESELCAIR_PAR_MID_URB,IN_DEMRESELCAIR_PAR_MID,colapso_sin_sufijo,0.0027,2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054
SE,ResidualCapacity,TECHNOLOGY,DEMRESELCAIR_PAR_MID_URB,SE_DEMRESELCAIR_PAR_MID,colapso_sin_sufijo,0.000959,2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054
SE,ResidualCapacity,TECHNOLOGY,DEMRESELCAIR_POR_HIG_RUR,SE_DEMRESELCAIR_POR_HIG,colapso_sin_sufijo,0.0,2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054
IN,ResidualCapacity,TECHNOLOGY,DEMRESELCAIR_POR_HIG_URB,IN_DEMRESELCAIR_POR_HIG,colapso_sin_sufijo,0.0,2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054
SE,ResidualCapacity,TECHNOLOGY,DEMRESELCAIR_POR_HIG_URB,SE_DEMRESELCAIR_POR_HIG,colapso_sin_sufijo,0.0,2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054
